parent_A,parent_B,G_ij,cluster_A,cluster_B,Tannin_A,Tannin_B,Tannin_midparent,Tannin_absgap,Phenol_A,Phenol_B,Phenol_midparent,Phenol_absgap,Flavonoid_A,Flavonoid_B,Flavonoid_midparent,Flavonoid_absgap,Antioxidant_A,Antioxidant_B,Antioxidant_midparent,Antioxidant_absgap,Seed_Length_A,Seed_Length_B,Seed_Length_midparent,Seed_Length_absgap,Seed_Width_A,Seed_Width_B,Seed_Width_midparent,Seed_Width_absgap,Seed_Thickness_A,Seed_Thickness_B,Seed_Thickness_midparent,Seed_Thickness_absgap,Mass_of_Seeds_A,Mass_of_Seeds_B,Mass_of_Seeds_midparent,Mass_of_Seeds_absgap,Seed_Coat_Tannin_A,Seed_Coat_Tannin_B,Seed_Coat_Tannin_midparent,Seed_Coat_Tannin_absgap,Crude_Protein_A,Crude_Protein_B,Crude_Protein_midparent,Crude_Protein_absgap,Total_Oxalate_A,Total_Oxalate_B,Total_Oxalate_midparent,Total_Oxalate_absgap,Soluble_Oxalate_A,Soluble_Oxalate_B,Soluble_Oxalate_midparent,Soluble_Oxalate_absgap,Insoluble_Oxalate_A,Insoluble_Oxalate_B,Insoluble_Oxalate_midparent,Insoluble_Oxalate_absgap
TSs24,TSs358,-0.30292679515958615,2,1,708.902476595967,604.948240539693,656.92535856783,103.954236056274,79.5223089316254,493.280416621162,286.4013627763937,413.7581076895366,85.8761231501137,106.393859340583,96.13499124534835,20.517736190469307,97.658671872829,233.724883943803,165.691777908316,136.06621207097402,8.639,8.618,8.628499999999999,0.02099999999999902,6.83,6.819,6.8245000000000005,0.01100000000000012,6.524,6.798,6.661,0.274,0.3032,0.3188,0.311,0.015599999999999947,732.829439465194,743.878474243588,738.3539568543911,11.049034778394002,,30.7540975617775,,,,1033.44238905325,,,,299.878875370553,,,,733.563513682701,,
TSs151B,TSs24,-0.3027557115967696,1,2,,708.902476595967,,,,79.5223089316254,,,,85.8761231501137,,,,97.658671872829,,,7.776,8.639,8.2075,0.8629999999999995,5.898,6.83,6.364,0.9320000000000004,5.699,6.524,6.1114999999999995,0.8250000000000002,0.2064,0.3032,0.2548,0.09680000000000002,1136.7674734124,732.829439465194,934.7984564387971,403.938033947206,,,,,,,,,,,,,,,,
TSs361,TSs24,-0.3017593158770609,1,2,697.419649368991,708.902476595967,703.161062982479,11.482827226975928,274.975748250218,79.5223089316254,177.24902859092168,195.4534393185926,148.504843097067,85.8761231501137,117.19048312359035,62.62871994695331,224.357952411057,97.658671872829,161.008312141943,126.699280538228,8.579,8.639,8.609,0.05999999999999872,6.784,6.83,6.807,0.04600000000000026,6.554,6.524,6.539,0.03000000000000025,0.3004,0.3032,0.3018,0.0028000000000000247,969.97090051681,732.829439465194,851.400169991002,237.14146105161603,36.6822429906542,,,,853.189029158319,,,,307.592219560878,,,,545.59680959744,,,
TSs361,TSs303,-0.301731141234448,1,2,697.419649368991,843.146276252702,770.2829628108466,145.726626883711,274.975748250218,159.870637257378,217.423192753798,115.10511099283997,148.504843097067,120.285901551985,134.39537232452602,28.218941545082004,224.357952411057,242.711574645193,233.53476352812498,18.353622234135997,8.579,7.741,8.16,0.838000000000001,6.784,6.075,6.4295,0.7089999999999996,6.554,6.221,6.3875,0.3330000000000002,0.3004,0.2341,0.26725,0.0663,969.97090051681,1099.36089489785,1034.66589770733,129.38999438103986,36.6822429906542,,,,853.189029158319,,,,307.592219560878,,,,545.59680959744,,,
TSs303,TSs358,-0.29766938711701674,2,1,843.146276252702,604.948240539693,724.0472583961975,238.19803571300906,159.870637257378,493.280416621162,326.57552693927,333.40977936378397,120.285901551985,106.393859340583,113.33988044628401,13.892042211402,242.711574645193,233.724883943803,238.218229294498,8.986690701389989,7.741,8.618,8.1795,0.8770000000000007,6.075,6.819,6.447,0.7439999999999998,6.221,6.798,6.5095,0.577,0.2341,0.3188,0.27645,0.08469999999999997,1099.36089489785,743.878474243588,921.619684570719,355.4824206542619,,30.7540975617775,,,,1033.44238905325,,,,299.878875370553,,,,733.563513682701,,
TSs151B,TSs303,-0.2964858016068634,1,2,,843.146276252702,,,,159.870637257378,,,,120.285901551985,,,,242.711574645193,,,7.776,7.741,7.7585,0.03500000000000014,5.898,6.075,5.9864999999999995,0.1770000000000005,5.699,6.221,5.96,0.5220000000000002,0.2064,0.2341,0.22025,0.027700000000000002,1136.7674734124,1099.36089489785,1118.064184155125,37.40657851455012,,,,,,,,,,,,,,,,
TSs155,TSs317,-0.2793986116190173,1,2,864.012320443296,679.194862253083,771.6035913481894,184.81745819021296,142.67603038409,148.827114977169,145.75157268062952,6.151084593078991,179.590054803224,208.16394267839,193.87699874080698,28.57388787516598,247.751741701418,314.401185844708,281.076463773063,66.64944414328997,7.613,8.771,8.192,1.1580000000000004,5.77,6.744,6.257,0.9740000000000002,5.826,6.263,6.044499999999999,0.4370000000000003,0.2024,0.2954,0.2489,0.093,862.649460546495,1064.4492839394,963.5493722429475,201.79982339290495,,,,,,,,,,,,,,,,
TSs157A,TSs155,-0.2793691293273879,2,1,329.972674531224,864.012320443296,596.9924974872599,534.0396459120719,365.465608641324,142.67603038409,254.07081951270703,222.789578257234,87.0501306743437,179.590054803224,133.32009273878384,92.5399241288803,282.680516222871,247.751741701418,265.2161289621445,34.92877452145299,8.551,7.613,8.082,0.9379999999999997,6.323,5.77,6.0465,0.5530000000000008,6.356,5.826,6.090999999999999,0.5300000000000002,0.2715,0.2024,0.23695,0.06910000000000002,865.295227863506,862.649460546495,863.9723442050006,2.645767317011064,,,,,,,,,,,,,,,,
TSs151B,TSs56,-0.2752544584403438,1,2,,665.975302955991,,,,112.777425355133,,,,156.045644268136,,,,205.237639680723,,,7.776,9.495,8.6355,1.7189999999999994,5.898,6.814,6.356,0.9160000000000004,5.699,6.547,6.122999999999999,0.8479999999999999,0.2064,0.3431,0.27475,0.13670000000000002,1136.7674734124,922.690182749731,1029.7288280810656,214.07729066266904,,,,,,,,,,,,,,,,
TSs98,TSs358,-0.2737032452159416,2,1,983.632105533015,604.948240539693,794.290173036354,378.683864993322,129.490219976921,493.280416621162,311.3853182990415,363.79019664424095,171.197251768599,106.393859340583,138.795555554591,64.80339242801598,376.805060174128,233.724883943803,305.2649720589655,143.080176230325,9.212,8.618,8.915,0.5939999999999994,7.132,6.819,6.9755,0.3129999999999997,7.113,6.798,6.955500000000001,0.3150000000000004,0.3607,0.3188,0.33975,0.04190000000000005,1061.50323698195,743.878474243588,902.690855612769,317.62476273836205,28.9746376012456,30.7540975617775,29.86436758151155,1.7794599605318986,938.607383578431,1033.44238905325,986.0248863158406,94.83500547481901,344.759825512942,299.878875370553,322.3193504417475,44.880950142389,593.84755806549,733.563513682701,663.7055358740955,139.71595561721097
