sample,Tannin,Phenol,Flavonoid,Antioxidant,Seed_Length,Seed_Width,Seed_Thickness,Mass_of_Seeds,Seed_Coat_Tannin,Crude_Protein,Total_Oxalate,Soluble_Oxalate,Insoluble_Oxalate,merit_index,merit_index_n_traits
TSs68,-125.7459,24.1288,-13.9621,7.8668,-0.0262,-0.0257,-0.024,0.0532,-236.4838,,,,,1.1970826085424289,6
TSs334,-141.5311,305.7374,4.0759,2.1633,0.0459,0.0034,-0.0083,0.0021,239.6068,,,,,0.675893107894798,6
TSs38,-94.1239,30.2176,30.9144,3.9783,0.018,-0.022,-0.0054,-0.0096,-138.0133,,,,,0.6126556979129347,6
TSs282,46.5282,39.8716,-8.3339,15.5889,-0.0108,-0.0261,-0.0251,0.0008,-88.1838,,,,,0.5425827745284412,6
TSs22A,-116.3122,52.667,23.569,8.2673,-0.0284,-0.0482,-0.0679,-0.0209,-53.2292,,,,,0.5424984608710436,6
TSs10,-188.4168,76.6978,13.702,-0.177,-0.0033,0.0165,0.027,0.0106,-134.1356,4.0644,0.6299,1.7775,-2.2866,0.542021174234698,10
TSs368,-112.0637,93.0888,26.0101,4.877,0.0169,-0.0071,-0.0116,-0.0016,132.6657,,,,,0.5079715107204648,6
TSs331,-106.9487,65.046,-18.1183,-2.6325,0.03,0.0209,-0.0066,0.0292,-246.7209,5.7562,7.6893,2.3847,9.6854,0.505091815801677,10
TSs325,-164.2004,-74.278,-17.1818,-4.6777,0.0348,0.0224,-0.0025,0.0092,-274.7727,6.3626,14.0272,-5.6957,43.4394,0.4534594751422686,10
TSs49A,-151.673,262.6396,8.8463,2.7298,-0.0037,-0.0108,0.0029,-0.0048,-89.986,-0.6022,-12.4005,6.2346,-41.8642,0.41553268618398087,10
TSs53,214.1756,-24.6079,51.254,5.4005,0.028,0.0069,-0.0065,0.0054,-127.2891,,,,,0.40545671975677394,6
TSs58,-136.2652,17.4857,2.9438,0.2144,0.0197,0.016,0.0159,0.0125,-32.8272,2.9767,15.1315,-1.043,35.9963,0.3719132415193725,10
TSs63A,-126.8176,87.9649,16.3096,1.6917,0.0184,0.0023,-0.0163,-0.0016,124.9488,,,,,0.36119925435041994,6
TSs9,-105.493,123.9745,-12.5206,7.0173,-0.0032,-0.0191,-0.019,-0.0061,-141.1089,-0.0135,12.9627,2.4539,25.5275,0.35266022376892986,10
TSs297,-105.2137,270.9206,46.8744,10.1756,0.0274,-0.0286,-0.0469,-0.0124,140.7923,2.4281,-0.0734,15.2849,-34.2218,0.34950620900831086,10
TSs119A,-77.2119,-42.3509,25.1628,1.613,-0.0166,0.0144,0.0101,0.0049,208.0976,3.7844,2.4532,-9.1879,27.3635,0.3410685316505123,10
TSs49,-113.7038,18.2307,26.9916,2.8021,0.0034,-0.0285,-0.0604,-0.0156,-19.9688,,,,,0.33988186601124837,6
TSs56A,-103.6536,3.5693,31.9427,-0.4069,0.0416,0.0187,0.0016,0.0025,48.7375,,,,,0.33538539514907456,6
TSs5A,-93.7713,30.762,-9.3511,3.914,-0.0141,0.0081,0.0145,0.0068,115.0195,2.6392,-10.3292,-5.8348,-10.687,0.2897186063228303,10
TSs59B,10.5347,-9.7086,3.7325,7.5725,-0.0191,-0.0224,-0.0245,-0.0008,-61.3021,,,,,0.2843524992063033,6
TSs33,-85.9266,124.7882,-28.0471,-1.9499,-0.0091,-0.005,-0.0027,0.0,-114.3655,,,,,0.2697707965680116,6
TSs7,-94.5713,-14.2514,-7.4217,1.7916,-0.0224,-0.0099,-0.0157,-0.0083,-205.5288,,,,,0.2683649824379352,6
TSs82,-101.0679,-58.3963,0.5434,1.3428,0.0395,0.0113,0.0025,0.0068,-99.089,,,,,0.2474857657553342,6
TSs60B,-135.9658,60.6988,15.5159,3.8872,-0.023,-0.0131,-0.0238,-0.0183,-60.0699,0.1125,4.0811,2.1044,4.4041,0.21871356887732193,10
