,Tannin,Phenol,Flavonoid,Antioxidant,Seed_Length,Seed_Width,Seed_Thickness,Mass_of_Seeds,Seed_Coat_Tannin,Crude_Protein,Total_Oxalate,Soluble_Oxalate,Insoluble_Oxalate
Tannin,105,105,105,105,103,103,103,103,103,104,45,45,45
Phenol,105,105,105,105,103,103,103,103,103,104,45,45,45
Flavonoid,105,105,105,105,103,103,103,103,103,104,45,45,45
Antioxidant,105,105,105,105,103,103,103,103,103,104,45,45,45
Seed_Length,103,103,103,103,105,105,105,105,105,102,45,45,45
Seed_Width,103,103,103,103,105,105,105,105,105,102,45,45,45
Seed_Thickness,103,103,103,103,105,105,105,105,105,102,45,45,45
Mass_of_Seeds,103,103,103,103,105,105,105,105,105,102,45,45,45
Seed_Coat_Tannin,103,103,103,103,105,105,105,105,105,102,45,45,45
Crude_Protein,104,104,104,104,102,102,102,102,102,104,44,44,44
Total_Oxalate,45,45,45,45,45,45,45,45,45,44,46,46,46
Soluble_Oxalate,45,45,45,45,45,45,45,45,45,44,46,46,46
Insoluble_Oxalate,45,45,45,45,45,45,45,45,45,44,46,46,46
