,Tannin,Phenol,Flavonoid,Antioxidant,Seed_Length,Seed_Width,Seed_Thickness,Mass_of_Seeds,Seed_Coat_Tannin,Crude_Protein,Total_Oxalate,Soluble_Oxalate,Insoluble_Oxalate
Tannin,1.0,-0.41270779631157,0.23285727790837388,0.16988411409626797,0.0624040897018102,0.08669657439595768,0.16345131026385723,0.09006111596090974,0.13742789270229588,-0.1181458310740187,-0.20526399837873213,0.03961828869994368,-0.20448011765531277
Phenol,-0.41270779631157,1.0,0.05552879324982011,0.22142874775841745,0.07661881873900751,-0.17178267873617264,-0.1266987261029556,-0.06827292781289826,0.22556363159157833,0.08148581830089197,0.05908970008218175,0.31284338821810126,-0.07135076239600766
Flavonoid,0.23285727790837388,0.05552879324982011,1.0,0.4865720045579865,0.11994841795982464,-0.09674229603721346,-0.22474827308405773,-0.0998081517796888,0.3446536492630827,-0.029859755894197315,0.2967780743518408,0.09622250694718468,0.2339990650139103
Antioxidant,0.16988411409626797,0.22142874775841745,0.4865720045579865,1.0,-0.029946618881576417,-0.3146270364435216,-0.2673209629785151,-0.2526455722535301,0.4205272592860961,0.18656246904962495,0.001378029117923861,0.28489130233968346,-0.1131434576982249
Seed_Length,0.062404089701810196,0.0766188187390075,0.11994841795982462,-0.029946618881576445,1.0,0.5781433870861293,0.33685455452622093,0.7695253970029733,-0.04384467021707726,-0.004585672879649328,0.10811217544412276,0.1676906914592172,0.03197652889510934
Seed_Width,0.08669657439595771,-0.17178267873617267,-0.09674229603721346,-0.3146270364435216,0.5781433870861293,1.0,0.7335244289536533,0.8429379834113212,-0.2087639309481785,-0.12970775650661337,0.09906084617576885,-0.3031745825958242,0.21275598870072182
Seed_Thickness,0.16345131026385723,-0.12669872610295563,-0.22474827308405768,-0.2673209629785151,0.33685455452622093,0.7335244289536531,1.0,0.7326586002352852,-0.08502266327071258,-0.05106971076655572,-0.2702761162738887,-0.2797610587064945,-0.1359453273496233
Mass_of_Seeds,0.09006111596090974,-0.06827292781289826,-0.09980815177968885,-0.2526455722535301,0.7695253970029733,0.8429379834113212,0.7326586002352853,1.0,-0.16332187565850848,-0.035666731808865065,0.0035083998792526973,-0.2182638911948541,0.09087559033918399
Seed_Coat_Tannin,0.13742789270229586,0.22556363159157838,0.3446536492630827,0.4205272592860961,-0.04384467021707727,-0.20876393094817844,-0.08502266327071259,-0.1633218756585085,1.0,-0.041482807605946526,-0.3035241514514899,-0.12008206840953183,-0.2306147277949353
Crude_Protein,-0.1181458310740187,0.08148581830089195,-0.029859755894197343,0.18656246904962498,-0.004585672879649318,-0.12970775650661337,-0.05106971076655571,-0.035666731808865065,-0.04148280760594654,1.0,0.19562819413972457,0.237764840974841,0.08523345290308157
Total_Oxalate,-0.20526399837873213,0.05908970008218175,0.2967780743518408,0.0013780291179238471,0.10811217544412273,0.09906084617576885,-0.27027611627388876,0.0035083998792527077,-0.30352415145148987,0.19562819413972463,1.0,0.029653293047460984,0.9125979071404907
Soluble_Oxalate,0.039618288699943695,0.31284338821810126,0.09622250694718465,0.28489130233968346,0.16769069145921725,-0.3031745825958242,-0.2797610587064945,-0.2182638911948541,-0.1200820684095319,0.23776484097484096,0.029653293047460956,1.0,-0.38161690847817437
Insoluble_Oxalate,-0.20448011765531277,-0.07135076239600764,0.2339990650139103,-0.11314345769822491,0.03197652889510935,0.21275598870072182,-0.13594532734962336,0.090875590339184,-0.2306147277949353,0.08523345290308156,0.9125979071404907,-0.38161690847817437,1.0
