,Tannin,Phenol,Flavonoid,Antioxidant,Seed_Length,Seed_Width,Seed_Thickness,Mass_of_Seeds,Seed_Coat_Tannin,Crude_Protein,Total_Oxalate,Soluble_Oxalate,Insoluble_Oxalate
Tannin,1.0,-0.3765705992121086,0.1986419241136222,0.14827907941115487,0.023623863286912978,0.11059186610369252,0.1307673721399886,0.05155295874884681,0.16202829152572157,-0.12160460898324976,-0.24729907773386034,0.05164690382081687,-0.20579710144927535
Phenol,-0.3765705992121086,1.0,0.10656230561890939,0.35993157785610613,-0.09593419145103897,-0.24480236352532447,-0.12084436195828283,-0.15600975266880462,0.1774809998682072,0.14300650805505177,0.022661396574440048,0.23293807641633724,-0.13175230566534912
Flavonoid,0.1986419241136222,0.10656230561890939,1.0,0.42942152187435206,0.1375697403681413,-0.05548538731375487,-0.22776246280931284,-0.07315599876993366,0.3182686816324738,0.06413101461645151,0.20487483530961792,0.08247694334650855,0.136231884057971
Antioxidant,0.14827907941115487,0.35993157785610613,0.42942152187435206,1.0,-0.004832403461758116,-0.26977737752997183,-0.2570702134123918,-0.2049048895136845,0.3531498484382551,0.2334044596180519,-0.06903820816864295,0.3326745718050066,-0.22964426877470356
Seed_Length,0.023623863286912978,-0.09593419145103897,0.1375697403681413,-0.004832403461758116,1.0,0.5086409770227409,0.30444541205670916,0.7106469002695417,0.00989010989010989,0.01634709444673765,0.09907773386034253,0.14229249011857706,-0.05454545454545454
Seed_Width,0.11059186610369252,-0.24480236352532445,-0.055485387313754866,-0.26977737752997183,0.5086409770227409,1.0,0.7470090609384394,0.8357799687362745,-0.1665267108394572,-0.07850199888542081,0.0893280632411067,-0.31712779973649535,0.14440052700922265
Seed_Thickness,0.1307673721399886,-0.12084436195828283,-0.22776246280931284,-0.2570702134123918,0.3044454120567091,0.7470090609384394,1.0,0.7291699064242806,-0.09769954074276564,-0.10463133908020998,-0.20257584252894822,-0.21944069315900047,-0.10474653321009031
Mass_of_Seeds,0.05155295874884681,-0.15600975266880462,-0.07315599876993366,-0.2049048895136845,0.7106469002695417,0.8357799687362745,0.7291699064242806,1.0,-0.1315674891146589,-0.006236888680301496,0.09446640316205535,-0.16429512516469036,0.10553359683794467
Seed_Coat_Tannin,0.16202829152572157,0.1774809998682072,0.3182686816324738,0.3531498484382551,0.00989010989010989,-0.16652671083945716,-0.09769954074276564,-0.1315674891146589,1.0,-0.024285980853939192,-0.3606060606060606,-0.10685111989459814,-0.31857707509881417
Crude_Protein,-0.12160460898324976,0.14300650805505177,0.06413101461645151,0.2334044596180519,0.01634709444673765,-0.07850199888542082,-0.10463133908020998,-0.006236888680301496,-0.024285980853939192,1.0,0.27737843551797037,0.25722339675828043,0.09062720225510923
Total_Oxalate,-0.24729907773386034,0.022661396574440048,0.20487483530961792,-0.06903820816864295,0.09907773386034253,0.0893280632411067,-0.20257584252894822,0.09446640316205535,-0.3606060606060606,0.27737843551797037,1.0,0.09071847055195806,0.8325007708911503
Soluble_Oxalate,0.05164690382081687,0.23293807641633724,0.08247694334650855,0.3326745718050066,0.14229249011857706,-0.31712779973649535,-0.21944069315900047,-0.16429512516469036,-0.10685111989459814,0.25722339675828043,0.09071847055195806,1.0,-0.37897008942337346
Insoluble_Oxalate,-0.20579710144927535,-0.13175230566534912,0.136231884057971,-0.22964426877470356,-0.05454545454545454,0.14440052700922265,-0.10474653321009031,0.10553359683794467,-0.31857707509881417,0.09062720225510923,0.8325007708911503,-0.37897008942337346,1.0
