trait,n,mean,sd,min,max,shapiro_p,shapiro_normal_at_0.05
Tannin,105,558.7796556433358,211.68953463381067,108.51678142566203,1085.5412640762604,0.00496434713342898,False
Phenol,105,210.45002482188104,133.38978592832999,77.65129520804251,779.1659132334628,3.683978465546135e-11,False
Flavonoid,105,127.00830219580807,40.65971155112993,20.70639588018463,232.26312948478426,0.5921748888167083,True
Antioxidant,105,275.28439132783234,96.06057679965177,13.864981300734769,519.7202129466955,0.04924267537330337,False
Seed_Length,105,8.563551428571433,0.433957515265338,7.643462216545196,9.940421905137978,0.12932442487901158,True
Seed_Width,105,6.68755238095238,0.3126584731427041,5.896784577278145,7.566135850855719,0.510448315186745,True
Seed_Thickness,105,6.366095062151255,0.34538786109247843,5.584993995957205,7.119932014567726,0.618885640823572,True
Mass_of_Seeds,105,0.29019238095238087,0.039924065174132974,0.20341672171148945,0.44608774552620534,0.05268974260386262,True
Seed_Coat_Tannin,105,797.0837916000633,225.60473564449796,240.137991787037,1381.37953633161,0.6867458694550546,True
Crude_Protein,104,35.900332932692294,4.9359484822912005,24.131923512371074,63.102345596356926,3.032126026112579e-07,False
Total_Oxalate,46,1078.7487956626398,213.08458867008977,801.227183073337,1681.82515659584,0.0028148474232820484,False
Soluble_Oxalate,46,354.3164581774974,94.25451689901126,129.790809945665,625.93786407767,0.23419316242525204,True
Insoluble_Oxalate,46,724.4323374851425,230.4296670133199,449.002374966155,1336.18680089617,0.0002927639713310008,False
