sample,Tannin,Phenol,Flavonoid,Antioxidant,Mass_of_Seeds,Seed_Coat_Tannin,Crude_Protein,Total_Oxalate,Soluble_Oxalate,Insoluble_Oxalate
TSs157A,0.5102656818839821,0.5124926016741355,0.4069060607877225,0.4931179108319045,0.42142857142857143,0.35315493826583544,1.0,0.4763580246112914,0.5424873762075403,0.4783597208416027
TSs282,0.332468876473016,0.7757091823793016,0.6220130687608657,1.0,0.021428571428571422,0.6606219214700302,0.3802039710302015,0.4763580246112914,0.5424873762075403,0.4783597208416027
TSs38,0.6587099675366674,0.37977456244187024,0.7494274923565734,0.5823512566111194,0.4357142857142858,0.7583721995308016,0.261319406808888,0.4763580246112914,0.5424873762075403,0.4783597208416027
TSs22A,0.791005747303449,0.48756024351061134,0.8350818296265212,0.7366282294343889,0.042857142857142844,0.6000261704255497,0.3008819037296152,0.4763580246112914,0.5424873762075403,0.4783597208416027
TSs49,0.8131664377190659,0.40505834108396044,0.8877045740663029,0.5400364676413121,0.17857142857142855,0.5632959781663878,0.3670000492683647,0.4763580246112914,0.5424873762075403,0.4783597208416027
TSs68,0.7278808897540302,0.6275259998308954,0.5309993405671123,0.7222224236118915,0.10714285714285715,0.7676645699170959,0.27659259989160956,0.4763580246112914,0.5424873762075403,0.4783597208416027
TSs334,0.7453907611943056,0.6594946943434514,0.5127510341106648,0.5170611286118734,0.5,0.3660420035330074,0.30639996058530816,0.4763580246112914,0.5424873762075403,0.4783597208416027
TSs10A,0.41806858571982974,0.5669891984442378,0.6051555662130568,0.7276309445699102,0.24285714285714285,0.5438233122412165,0.3821254372567374,0.4763580246112914,0.5424873762075403,0.4783597208416027
TSs297,0.8846966495623301,1.0,1.0,0.8052751204410917,0.2142857142857143,0.36558402108588567,0.2800413854264177,0.4776171123801943,0.0,0.1345680753380655
TSs59B,0.5465143497785471,0.5190216242495984,0.6136082968646964,0.7116373825948575,0.12857142857142856,0.5874718434260826,0.3761639651179977,0.4763580246112914,0.5424873762075403,0.4783597208416027
