trait,n_total_markers,n_ayb_anchored,pct_anchored
Tannin,1625,1473,90.64615384615385
Phenol,1625,1473,90.64615384615385
Flavonoid,1625,1473,90.64615384615385
Antioxidant,1625,1473,90.64615384615385
Seed_Length,1591,1445,90.82338152105594
Seed_Width,1591,1445,90.82338152105594
Seed_Thickness,1591,1445,90.82338152105594
Mass_of_Seeds,1591,1445,90.82338152105594
Seed_Coat_Tannin,1591,1445,90.82338152105594
Crude_Protein,1585,1439,90.78864353312302
Total_Oxalate,1161,1054,90.78380706287683
Soluble_Oxalate,1161,1054,90.78380706287683
Insoluble_Oxalate,1161,1054,90.78380706287683
