,PC1,PC2,PC3,PC4,PC5,variance_explained
Tannin,0.10842974930741989,-0.28506218632483565,0.056831302615458476,-0.39520216207556536,0.5192911329448462,
Phenol,-0.12925709243549616,0.08423281102049585,0.2978438125220803,0.4873299344837767,-0.4181526697045168,
Flavonoid,-0.13272897492181462,0.14748932192121705,0.4408059297101831,-0.32453029439977776,-0.1221781890824731,
Antioxidant,-0.14937724392725454,-0.11773843372205967,0.5340091205067006,-0.15633141163215641,-0.018966113508872187,
Seed_Length,0.36953068831706,0.05243229082642978,0.330132569373877,0.26146613092188914,0.11418874745112628,
Seed_Width,0.5077051407390418,0.11182518758290864,0.07247875261536525,0.0017878243677747,-0.08394949448153619,
Seed_Thickness,0.4655301500894136,-0.17600019238007325,0.052913820648156966,-0.044399694841605386,-0.040287398688541504,
Mass_of_Seeds,0.5207493358458374,0.0358817894209905,0.15524855333042384,0.09238441055484914,0.0010412561150478575,
Seed_Coat_Tannin,-0.02829020457379139,-0.28442113715010053,0.31884883517098833,-0.3721287754239544,-0.3995001848028825,
Crude_Protein,-0.08199281006300581,0.10139588374462333,0.30695572314599356,0.03367232774577666,0.37966548409034256,
Total_Oxalate,-0.032406475125532866,0.6040832982716493,0.10858434236560424,-0.09411178355746783,0.16790274318246112,
Soluble_Oxalate,-0.19614185905994994,-0.11046681381555362,0.2821439375842538,0.4277986214600963,0.4315548393308714,
Insoluble_Oxalate,0.048419579548565614,0.6001793895883348,-0.01260288379686541,-0.25731124765159913,-0.01760415729334816,
,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13
var_explained,0.247020712454241,0.18217404639674015,0.16101704611053946,0.1270385411091109,0.08771571347739139,0.06616467643495963,0.03691345496424616,0.03004188600342188,0.02434310108544689,0.021364830630549593,0.010560306631495615,0.005645684701857288,2.4181457876252527e-30
