trait,n_samples,n_markers_subset,h2_point,h2_boot_mean,h2_boot_sd,h2_boot_ci95_low,h2_boot_ci95_high,n_boot_finite
Tannin,93,1588,0.0001660937399596257,0.9998339062600402,1.1130090340862554e-16,0.9998339062600403,0.9998339062600403,200
Phenol,93,1588,0.0001660937399596257,0.999699167644253,0.0019054917782153214,0.9998339062600403,0.9998339062600403,200
Flavonoid,93,1588,0.0001660937399596257,0.9998339062600402,1.1130090340862554e-16,0.9998339062600403,0.9998339062600403,200
Antioxidant,93,1588,0.406872573195163,0.9998339062600402,1.1130090340862554e-16,0.9998339062600403,0.9998339062600403,200
Seed_Length,95,1591,0.25543354438658694,0.9998339062600402,1.1130090340862554e-16,0.9998339062600403,0.9998339062600403,200
Seed_Width,95,1591,0.10578498467530895,0.9985334965762999,0.009252835364639623,0.9998338924271091,0.9998339062600403,200
Seed_Thickness,95,1591,0.18413448292882592,0.9962830550946465,0.017617864502172644,0.9331291874896641,0.9998424204694195,200
Mass_of_Seeds,95,1591,0.0001660937399596257,0.9981375504788861,0.014509408884721532,0.9998339062600403,0.9998339062600403,200
Seed_Coat_Tannin,95,1591,0.0001660937399596257,0.9998339062600402,1.1130090340862554e-16,0.9998339062600403,0.9998339062600403,200
Crude_Protein,41,1474,0.0001660937399596257,0.9998339062600402,1.1130090340862554e-16,0.9998339062600403,0.9998339062600403,200
Total_Oxalate,41,1474,0.17165950451702935,0.9998339062600402,1.1130090340862554e-16,0.9998339062600403,0.9998339062600403,200
Soluble_Oxalate,41,1474,0.7050532722113484,0.9998339062600402,1.1130090340862554e-16,0.9998339062600403,0.9998339062600403,200
Insoluble_Oxalate,41,1474,0.01700166898366148,0.9998339062600402,1.1130090340862554e-16,0.9998339062600403,0.9998339062600403,200
