trait,h2,neg2_delta_logL
Tannin,0.001,0.0
Tannin,0.004413793103448276,0.06177950233404772
Tannin,0.007827586206896553,0.12309986874220158
Tannin,0.011241379310344829,0.18398357304624824
Tannin,0.014655172413793105,0.24445179734857447
Tannin,0.01806896551724138,0.304524526102
Tannin,0.021482758620689657,0.3642206323285109
Tannin,0.024896551724137933,0.42355795667924667
Tannin,0.02831034482758621,0.48255337997227343
Tannin,0.031724137931034485,0.5412228897902196
Tannin,0.03513793103448276,0.5995816416758544
Tannin,0.03855172413793104,0.6576440154047987
Tannin,0.04196551724137931,0.7154236667776104
Tannin,0.04537931034482759,0.7729335753330133
Tannin,0.048793103448275865,0.8301860883425434
Tannin,0.05220689655172414,0.8871929614118699
Tannin,0.05562068965517242,0.9439653959901761
Tannin,0.05903448275862069,1.0005140740530578
Tannin,0.06244827586206897,1.0568491902025698
Tannin,0.06586206896551725,1.1129804814044064
Tannin,0.06927586206896552,1.1689172545652582
Tannin,0.0726896551724138,1.2246684121244016
Tannin,0.07610344827586207,1.280242475832324
Tannin,0.07951724137931035,1.335647608856334
Tannin,0.08293103448275863,1.3908916363582193
Tannin,0.0863448275862069,1.4459820646582102
Tannin,0.08975862068965518,1.5009260991041629
Tannin,0.09317241379310345,1.5557306607435066
Tannin,0.09658620689655173,1.6104024018936798
Tannin,0.1,1.6649477206956362
Tannin,0.11,1.824056571156234
Tannin,0.12,1.9822762993151173
Tannin,0.13,2.139736570879677
Tannin,0.14,2.296554668388467
Tannin,0.15,2.4528371868436807
Tannin,0.16,2.608681460470507
Tannin,0.16999999999999998,2.7641767700829405
Tannin,0.18,2.9194053703612326
Tannin,0.19,3.0744433684733394
Tannin,0.2,3.229361479336717
Tannin,0.21000000000000002,3.3842256780063735
Tannin,0.22,3.5390977658636302
Tannin,0.22999999999999998,3.6940358642775664
Tannin,0.24,3.8490948469760724
Tannin,0.25,4.004326720444965
Tannin,0.26,4.159780960095304
Tannin,0.27,4.315504808672131
Tannin,0.28,4.4715435423404415
Tannin,0.29,4.627940709033737
Tannin,0.3,4.784738342955961
Tannin,0.31,4.941977158541022
Tannin,0.32,5.099696726708089
Tannin,0.33,5.257935635843523
Tannin,0.34,5.416731639611385
Tannin,0.35,5.576121793419361
Tannin,0.36,5.736142581133095
Tannin,0.37,5.896830033436572
Tannin,0.38,6.058219839073445
Tannin,0.39,6.22034745006863
Tannin,0.39999999999999997,6.383248181916315
Tannin,0.41,6.546957309618506
Tannin,0.42,6.711510160388002
Tannin,0.43,6.876942203761132
Tannin,0.44,7.043289139812714
Tannin,0.45,7.2105869861286465
Tannin,0.46,7.3788721641559505
Tannin,0.47,7.548181585535758
Tannin,0.48,7.718552739004849
Tannin,0.49,7.89002377845668
Tannin,0.5,8.0626336127483
Tannin,0.51,8.23642199786218
Tannin,0.52,8.411429632047998
Tannin,0.53,8.587698254604561
Tannin,0.54,8.765270749009574
Tannin,0.55,8.944191251150755
Tannin,0.56,9.124505263493234
Tannin,0.5700000000000001,9.306259776094976
Tannin,0.5800000000000001,9.489503395490829
Tannin,0.59,9.67428648259579
Tannin,0.6,9.860661300934453
Tannin,0.61,10.048682176692296
Tannin,0.62,10.238405672328213
Tannin,0.63,10.429890775768513
Tannin,0.64,10.623199107570713
Tannin,0.65,10.818395148890431
Tannin,0.66,11.015546493644933
Tannin,0.67,11.214724128985836
Tannin,0.68,11.416002749093991
Tannin,0.69,11.619461108479982
Tannin,0.7,11.82518242248534
Tannin,0.71,12.03325482466903
Tannin,0.72,12.243771893374173
Tannin,0.73,12.456833263292879
Tannin,0.74,12.672545342571425
Tannin,0.75,12.891022162479658
Tannin,0.76,13.11238639562714
Tannin,0.77,13.336770591238064
Tannin,0.78,13.564318693798327
Tannin,0.79,13.79518793698071
Tannin,0.8,14.029551242128491
Tannin,0.81,14.267600306013037
Tannin,0.82,14.509549646223832
Tannin,0.83,14.755642001047363
Tannin,0.84,15.006155682107305
Tannin,0.85,15.261414800604143
Tannin,0.86,15.521803817126965
Tannin,0.87,15.787788756133182
Tannin,0.88,16.059948971977292
Tannin,0.89,16.339026125252985
Tannin,0.9,16.626002190094482
Tannin,0.91,16.922228352141474
Tannin,0.9130689655172414,17.015272130037147
Tannin,0.9161379310344828,17.10943458407837
Tannin,0.9192068965517242,17.20479684597376
Tannin,0.9222758620689655,17.301451794431614
Tannin,0.925344827586207,17.399506341196798
Tannin,0.9284137931034483,17.499084262013866
