group,trait,n,rep,ST_r,MT_r,delta_r
oxalate_triplet,Total_Oxalate,41,0,0.028943276560692642,0.028943276560692663,2.0816681711721685e-17
oxalate_triplet,Total_Oxalate,41,1,0.23162187735783346,0.23162187735783352,5.551115123125783e-17
oxalate_triplet,Total_Oxalate,41,2,0.2035514595582258,0.203551459558226,2.220446049250313e-16
oxalate_triplet,Total_Oxalate,41,3,0.23561402578448246,0.23561402578448248,2.7755575615628914e-17
oxalate_triplet,Total_Oxalate,41,4,0.2519920239502577,0.25199202395025766,-5.551115123125783e-17
oxalate_triplet,Total_Oxalate,41,5,0.1472384011198945,0.14723840111989453,2.7755575615628914e-17
oxalate_triplet,Total_Oxalate,41,6,0.3012625480026413,0.3012625480026413,0.0
oxalate_triplet,Total_Oxalate,41,7,0.15001026161599884,0.15001026161599887,2.7755575615628914e-17
oxalate_triplet,Total_Oxalate,41,8,0.15346313863131975,0.15346313863131975,0.0
oxalate_triplet,Total_Oxalate,41,9,0.2255560796209846,0.22555607962098445,-1.3877787807814457e-16
oxalate_triplet,Total_Oxalate,41,10,0.1024781333114167,0.10247813331141661,-8.326672684688674e-17
oxalate_triplet,Total_Oxalate,41,11,0.2745121510195195,0.27451215101951953,5.551115123125783e-17
oxalate_triplet,Total_Oxalate,41,12,0.2766109186229948,0.2766109186229948,0.0
oxalate_triplet,Total_Oxalate,41,13,0.36431184040855474,0.3643118404085548,5.551115123125783e-17
oxalate_triplet,Total_Oxalate,41,14,0.19950297102957373,0.19950297102957376,2.7755575615628914e-17
oxalate_triplet,Total_Oxalate,41,15,0.32141700125581524,0.3214170012558153,5.551115123125783e-17
oxalate_triplet,Total_Oxalate,41,16,0.14767422788875473,0.14767422788875492,1.942890293094024e-16
oxalate_triplet,Total_Oxalate,41,17,0.285601481824584,0.28560148182458406,5.551115123125783e-17
oxalate_triplet,Total_Oxalate,41,18,0.1345984907206703,0.13459849072067026,-2.7755575615628914e-17
oxalate_triplet,Total_Oxalate,41,19,0.17187333170122113,0.1718733317012213,1.6653345369377348e-16
oxalate_triplet,Total_Oxalate,41,20,0.18402162987401435,0.18402162987401427,-8.326672684688674e-17
oxalate_triplet,Total_Oxalate,41,21,0.15320296057366317,0.15320296057366312,-5.551115123125783e-17
oxalate_triplet,Total_Oxalate,41,22,0.3768509472739231,0.3768509472739232,1.1102230246251565e-16
oxalate_triplet,Total_Oxalate,41,23,0.32214886633031314,0.3221488663303131,-5.551115123125783e-17
oxalate_triplet,Total_Oxalate,41,24,0.22772363507076307,0.22772363507076304,-2.7755575615628914e-17
oxalate_triplet,Total_Oxalate,41,25,0.2035574078474747,0.20355740784747467,-2.7755575615628914e-17
oxalate_triplet,Total_Oxalate,41,26,0.17565952807622875,0.1756595280762287,-5.551115123125783e-17
oxalate_triplet,Total_Oxalate,41,27,0.1336076146458502,0.13360761464585016,-2.7755575615628914e-17
oxalate_triplet,Total_Oxalate,41,28,0.08071688716941118,0.08071688716941115,-2.7755575615628914e-17
oxalate_triplet,Total_Oxalate,41,29,0.13684924529508974,0.13684924529508968,-5.551115123125783e-17
oxalate_triplet,Total_Oxalate,41,30,0.031778702007102685,0.03177870200710275,6.245004513516506e-17
oxalate_triplet,Total_Oxalate,41,31,0.27191457134553293,0.271914571345533,5.551115123125783e-17
oxalate_triplet,Total_Oxalate,41,32,0.21824609973012335,0.21824609973012332,-2.7755575615628914e-17
oxalate_triplet,Total_Oxalate,41,33,0.297947421286058,0.29794742128605806,5.551115123125783e-17
oxalate_triplet,Total_Oxalate,41,34,0.1460635140949735,0.14606351409497348,-2.7755575615628914e-17
oxalate_triplet,Total_Oxalate,41,35,0.2936582973775731,0.2936582973775731,0.0
oxalate_triplet,Total_Oxalate,41,36,0.28246532483768055,0.2824653248376805,-5.551115123125783e-17
oxalate_triplet,Total_Oxalate,41,37,0.20994975235970165,0.2099497523597016,-5.551115123125783e-17
oxalate_triplet,Total_Oxalate,41,38,0.2511817508597145,0.2511817508597145,0.0
oxalate_triplet,Total_Oxalate,41,39,0.272464157366557,0.272464157366557,0.0
oxalate_triplet,Total_Oxalate,41,40,0.26381523279460073,0.2638152327946007,-5.551115123125783e-17
oxalate_triplet,Total_Oxalate,41,41,0.22593807208297378,0.22593807208297387,8.326672684688674e-17
oxalate_triplet,Total_Oxalate,41,42,0.1510351964757818,0.1510351964757818,0.0
oxalate_triplet,Total_Oxalate,41,43,0.15630749727064325,0.1563074972706433,5.551115123125783e-17
oxalate_triplet,Total_Oxalate,41,44,0.25603233598297914,0.25603233598297914,0.0
oxalate_triplet,Total_Oxalate,41,45,0.26639264991140016,0.2663926499114001,-5.551115123125783e-17
oxalate_triplet,Total_Oxalate,41,46,0.14891522614755712,0.14891522614755712,0.0
oxalate_triplet,Total_Oxalate,41,47,0.2439914970422855,0.2439914970422855,0.0
oxalate_triplet,Total_Oxalate,41,48,0.21090048086212004,0.21090048086211993,-1.1102230246251565e-16
oxalate_triplet,Total_Oxalate,41,49,0.29063920255640807,0.29063920255640807,0.0
oxalate_triplet,Soluble_Oxalate,41,0,0.035065572541674084,0.035065572541674125,4.163336342344337e-17
oxalate_triplet,Soluble_Oxalate,41,1,0.18981703850484394,0.1898170385048439,-2.7755575615628914e-17
oxalate_triplet,Soluble_Oxalate,41,2,0.03369016232161283,0.03369016232161285,2.0816681711721685e-17
oxalate_triplet,Soluble_Oxalate,41,3,0.014036496068893137,0.014036496068893345,2.0816681711721685e-16
oxalate_triplet,Soluble_Oxalate,41,4,0.13006245978862338,0.13006245978862332,-5.551115123125783e-17
oxalate_triplet,Soluble_Oxalate,41,5,0.19051853016853226,0.19051853016853237,1.1102230246251565e-16
oxalate_triplet,Soluble_Oxalate,41,6,0.05683748731445873,0.056837487314458715,-1.3877787807814457e-17
oxalate_triplet,Soluble_Oxalate,41,7,-0.006111688417176048,-0.006111688417175923,1.249000902703301e-16
oxalate_triplet,Soluble_Oxalate,41,8,0.09567484946331231,0.09567484946331231,0.0
oxalate_triplet,Soluble_Oxalate,41,9,0.05623312163627402,0.05623312163627399,-2.7755575615628914e-17
oxalate_triplet,Soluble_Oxalate,41,10,0.17596117246411755,0.17596117246411758,2.7755575615628914e-17
oxalate_triplet,Soluble_Oxalate,41,11,0.12748029823238652,0.1274802982323865,-2.7755575615628914e-17
oxalate_triplet,Soluble_Oxalate,41,12,-0.042426511183099216,-0.042426511183099244,-2.7755575615628914e-17
oxalate_triplet,Soluble_Oxalate,41,13,0.07076109769797742,0.07076109769797753,1.1102230246251565e-16
oxalate_triplet,Soluble_Oxalate,41,14,0.040779542966076734,0.04077954296607662,-1.1102230246251565e-16
oxalate_triplet,Soluble_Oxalate,41,15,-0.014519447564856902,-0.014519447564856916,-1.3877787807814457e-17
oxalate_triplet,Soluble_Oxalate,41,16,0.08432569765594311,0.08432569765594322,1.1102230246251565e-16
oxalate_triplet,Soluble_Oxalate,41,17,0.09918813914831595,0.09918813914831584,-1.1102230246251565e-16
oxalate_triplet,Soluble_Oxalate,41,18,0.05836431588262698,0.058364315882626965,-1.3877787807814457e-17
oxalate_triplet,Soluble_Oxalate,41,19,-0.03035941363910854,-0.03035941363910878,-2.42861286636753e-16
oxalate_triplet,Soluble_Oxalate,41,20,0.08321603638738961,0.08321603638738957,-4.163336342344337e-17
oxalate_triplet,Soluble_Oxalate,41,21,0.017044219342620494,0.01704421934262043,-6.245004513516506e-17
