GO_id,k_in_fg,K_in_bg,n_fg,N_bg,fold_enrichment,p_value,q_bh
GO:0004418,3,3,1193,15788,13.233864207879297,0.000430456862011389,0.2505258936906284
GO:0016844,5,13,1193,15788,5.089947772261268,0.0018804562853568952,0.52354862644323
GO:0031225,5,15,1193,15788,4.411288069293098,0.0038631361798958583,0.52354862644323
GO:0010215,5,15,1193,15788,4.411288069293098,0.0038631361798958583,0.52354862644323
GO:0006865,2,2,1193,15788,13.233864207879295,0.005705450901521232,0.52354862644323
GO:0005093,2,2,1193,15788,13.233864207879295,0.005705450901521232,0.52354862644323
GO:0016049,5,17,1193,15788,3.8923130023174397,0.007012594530505492,0.52354862644323
GO:0004402,3,6,1193,15788,6.616932103939648,0.0072349923819713035,0.52354862644323
GO:0005247,4,12,1193,15788,4.411288069293099,0.009817151957986821,0.52354862644323
GO:0006098,3,7,1193,15788,5.671656089091127,0.01195394357010051,0.52354862644323
GO:0006821,4,13,1193,15788,4.071958217809014,0.013344572256933447,0.52354862644323
GO:0003924,20,158,1193,15788,1.675172684541683,0.015765624298269623,0.52354862644323
GO:0005092,2,3,1193,15788,8.822576138586198,0.016255438980540916,0.52354862644323
GO:0006275,2,3,1193,15788,8.822576138586198,0.016255438980540916,0.52354862644323
GO:0030337,2,3,1193,15788,8.822576138586198,0.016255438980540916,0.52354862644323
GO:0000184,2,3,1193,15788,8.822576138586198,0.016255438980540916,0.52354862644323
GO:0030247,8,45,1193,15788,2.3526869702896525,0.01822263992805199,0.52354862644323
GO:0016757,10,64,1193,15788,2.06779128248114,0.02106536195959094,0.52354862644323
GO:0000159,4,15,1193,15788,3.5290304554344787,0.022574205968672763,0.52354862644323
GO:0030001,14,104,1193,15788,1.7814817202914437,0.02451740431768141,0.52354862644323
GO:0003955,3,9,1193,15788,4.411288069293099,0.025592574967248725,0.52354862644323
GO:0005089,3,9,1193,15788,4.411288069293099,0.025592574967248725,0.52354862644323
GO:0004386,5,23,1193,15788,2.8769270017128905,0.026161308711128328,0.52354862644323
GO:0016758,24,209,1193,15788,1.5196781865507325,0.02623791018678507,0.52354862644323
GO:0006468,103,1134,1193,15788,1.2020176485110825,0.02717869936742204,0.52354862644323
GO:0004672,103,1135,1193,15788,1.200958602124729,0.02775491060693922,0.52354862644323
GO:0019888,4,16,1193,15788,3.3084660519698237,0.028341070057083844,0.52354862644323
GO:0007264,2,4,1193,15788,6.616932103939647,0.030886404393136425,0.52354862644323
GO:0010223,2,4,1193,15788,6.616932103939647,0.030886404393136425,0.52354862644323
GO:0009360,2,4,1193,15788,6.616932103939647,0.030886404393136425,0.52354862644323
GO:1901601,2,4,1193,15788,6.616932103939647,0.030886404393136425,0.52354862644323
GO:0033014,3,10,1193,15788,3.9701592623637887,0.03454419430062524,0.52354862644323
GO:0008643,3,10,1193,15788,3.9701592623637887,0.03454419430062524,0.52354862644323
GO:0005351,3,10,1193,15788,3.9701592623637887,0.03454419430062524,0.52354862644323
GO:0016161,3,11,1193,15788,3.60923569305799,0.04488978807322765,0.52354862644323
GO:0000272,3,11,1193,15788,3.60923569305799,0.04488978807322765,0.52354862644323
GO:0005216,7,44,1193,15788,2.1053874876171608,0.04536287461732568,0.52354862644323
GO:0009058,12,93,1193,15788,1.7075953816618448,0.04705275726091245,0.52354862644323
GO:0000162,2,5,1193,15788,5.293545683151718,0.04892236302347992,0.52354862644323
GO:0006777,2,5,1193,15788,5.293545683151718,0.04892236302347992,0.52354862644323
GO:0004298,4,19,1193,15788,2.78607667534301,0.050446853659557936,0.52354862644323
GO:0005839,4,19,1193,15788,2.78607667534301,0.050446853659557936,0.52354862644323
GO:0051603,4,19,1193,15788,2.78607667534301,0.050446853659557936,0.52354862644323
GO:0004177,3,12,1193,15788,3.308466051969824,0.0565806667783079,0.52354862644323
GO:0004525,3,12,1193,15788,3.308466051969824,0.0565806667783079,0.52354862644323
GO:0005783,6,37,1193,15788,2.146032033710156,0.057005135120445916,0.52354862644323
GO:0007165,21,193,1193,15788,1.4399541366086281,0.058051293662751476,0.52354862644323
GO:0051537,4,20,1193,15788,2.646772841575859,0.0594227753219029,0.52354862644323
GO:0016866,3,13,1193,15788,3.0539686633567604,0.06955149513472024,0.52354862644323
GO:0009082,2,6,1193,15788,4.411288069293099,0.06976604834423422,0.52354862644323
GO:0010277,2,6,1193,15788,4.411288069293099,0.06976604834423422,0.52354862644323
GO:0004571,2,6,1193,15788,4.411288069293099,0.06976604834423422,0.52354862644323
GO:0008235,2,6,1193,15788,4.411288069293099,0.06976604834423422,0.52354862644323
GO:0052861,2,6,1193,15788,4.411288069293099,0.06976604834423422,0.52354862644323
GO:0006890,2,6,1193,15788,4.411288069293099,0.06976604834423422,0.52354862644323
GO:0046912,2,6,1193,15788,4.411288069293099,0.06976604834423422,0.52354862644323
GO:0004076,1,1,1193,15788,13.233864207879295,0.07556371928046618,0.52354862644323
GO:0003904,1,1,1193,15788,13.233864207879295,0.07556371928046618,0.52354862644323
GO:0004198,1,1,1193,15788,13.233864207879295,0.07556371928046618,0.52354862644323
GO:0004140,1,1,1193,15788,13.233864207879295,0.07556371928046618,0.52354862644323
GO:0043967,1,1,1193,15788,13.233864207879295,0.07556371928046618,0.52354862644323
GO:0008676,1,1,1193,15788,13.233864207879295,0.07556371928046618,0.52354862644323
GO:0032981,1,1,1193,15788,13.233864207879295,0.07556371928046618,0.52354862644323
GO:0036297,1,1,1193,15788,13.233864207879295,0.07556371928046618,0.52354862644323
GO:0031429,1,1,1193,15788,13.233864207879295,0.07556371928046618,0.52354862644323
GO:0006808,1,1,1193,15788,13.233864207879295,0.07556371928046618,0.52354862644323
GO:0043968,1,1,1193,15788,13.233864207879295,0.07556371928046618,0.52354862644323
GO:0008987,1,1,1193,15788,13.233864207879295,0.07556371928046618,0.52354862644323
