"GO.ID","Term","Annotated","Significant","Expected","Rank in elim","classic","elim","ontology","q_classic_bh","q_elim_bh"
"GO:0030244","cellulose biosynthetic process",46,3,0.36,1,0.0056,0.0056,"BP",0.22804347826087,0.228367346938776
"GO:0009100","glycoprotein metabolic process",58,3,0.46,2,0.0106,0.0106,"BP",0.22804347826087,0.228367346938776
"GO:0006006","glucose metabolic process",27,2,0.21,3,0.0189,0.0189,"BP",0.22804347826087,0.228367346938776
"GO:0007154","cell communication",322,6,2.54,4,0.0408,0.0408,"BP",0.22804347826087,0.228367346938776
"GO:0007165","signal transduction",322,6,2.54,5,0.0408,0.0408,"BP",0.22804347826087,0.228367346938776
"GO:0023052","signaling",323,6,2.54,6,0.0413,0.0413,"BP",0.22804347826087,0.228367346938776
"GO:0019318","hexose metabolic process",45,2,0.35,7,0.0487,0.0487,"BP",0.22804347826087,0.228367346938776
"GO:1901135","carbohydrate derivative metabolic proces...",253,5,1.99,8,0.0488,0.0488,"BP",0.22804347826087,0.228367346938776
"GO:0007005","mitochondrion organization",7,1,0.06,9,0.0539,0.0539,"BP",0.22804347826087,0.228367346938776
"GO:0009741","response to brassinosteroid",7,1,0.06,10,0.0539,0.0539,"BP",0.22804347826087,0.228367346938776
"GO:0009742","brassinosteroid mediated signaling pathw...",7,1,0.06,11,0.0539,0.0539,"BP",0.22804347826087,0.228367346938776
"GO:0010016","shoot system morphogenesis",7,1,0.06,12,0.0539,0.0539,"BP",0.22804347826087,0.228367346938776
"GO:0043401","steroid hormone receptor signaling pathw...",7,1,0.06,13,0.0539,0.0539,"BP",0.22804347826087,0.228367346938776
"GO:0048545","response to steroid hormone",7,1,0.06,14,0.0539,0.0539,"BP",0.22804347826087,0.228367346938776
"GO:0071367","cellular response to brassinosteroid sti...",7,1,0.06,15,0.0539,0.0539,"BP",0.22804347826087,0.228367346938776
"GO:0071383","cellular response to steroid hormone sti...",7,1,0.06,16,0.0539,0.0539,"BP",0.22804347826087,0.228367346938776
"GO:1905393","plant organ formation",7,1,0.06,17,0.0539,0.0539,"BP",0.22804347826087,0.228367346938776
"GO:0005996","monosaccharide metabolic process",50,2,0.39,18,0.0588,0.0588,"BP",0.22804347826087,0.228367346938776
"GO:0048646","anatomical structure formation involved ...",8,1,0.06,19,0.0613,0.0613,"BP",0.22804347826087,0.228367346938776
"GO:0045454","cell redox homeostasis",115,3,0.91,20,0.0619,0.0619,"BP",0.22804347826087,0.228367346938776
"GO:0006555","methionine metabolic process",9,1,0.07,21,0.0687,0.0687,"BP",0.22804347826087,0.228367346938776
"GO:0006486","protein glycosylation",55,2,0.43,22,0.0696,0.0696,"BP",0.22804347826087,0.228367346938776
"GO:0009101","glycoprotein biosynthetic process",55,2,0.43,23,0.0696,0.0696,"BP",0.22804347826087,0.228367346938776
"GO:0043413","macromolecule glycosylation",55,2,0.43,24,0.0696,0.0696,"BP",0.22804347826087,0.228367346938776
"GO:0014070","response to organic cyclic compound",10,1,0.08,25,0.0761,0.0761,"BP",0.22804347826087,0.228367346938776
"GO:0071396","cellular response to lipid",10,1,0.08,26,0.0761,0.0761,"BP",0.22804347826087,0.228367346938776
"GO:0071407","cellular response to organic cyclic comp...",10,1,0.08,27,0.0761,0.0761,"BP",0.22804347826087,0.228367346938776
"GO:0016052","carbohydrate catabolic process",61,2,0.48,28,0.0832,0.0832,"BP",0.22804347826087,0.228367346938776
"GO:0070085","glycosylation",61,2,0.48,29,0.0832,0.0832,"BP",0.22804347826087,0.228367346938776
"GO:0006536","glutamate metabolic process",11,1,0.09,30,0.0834,0.0834,"BP",0.22804347826087,0.228367346938776
"GO:0019725","cellular homeostasis",134,3,1.06,31,0.0887,0.0887,"BP",0.22804347826087,0.228367346938776
"GO:0000272","polysaccharide catabolic process",12,1,0.09,32,0.0906,0.0906,"BP",0.22804347826087,0.228367346938776
"GO:0007264","small GTPase-mediated signal transductio...",12,1,0.09,33,0.0906,0.0906,"BP",0.22804347826087,0.228367346938776
"GO:0141124","intracellular signaling cassette",12,1,0.09,34,0.0906,0.0906,"BP",0.22804347826087,0.228367346938776
"GO:1901137","carbohydrate derivative biosynthetic pro...",139,3,1.09,35,0.0964,0.0964,"BP",0.22804347826087,0.228367346938776
"GO:0006094","gluconeogenesis",13,1,0.1,36,0.0978,0.0978,"BP",0.22804347826087,0.228367346938776
"GO:0006821","chloride transport",13,1,0.1,37,0.0978,0.0978,"BP",0.22804347826087,0.228367346938776
"GO:0019319","hexose biosynthetic process",13,1,0.1,38,0.0978,0.0978,"BP",0.22804347826087,0.228367346938776
"GO:0033993","response to lipid",13,1,0.1,39,0.0978,0.0978,"BP",0.22804347826087,0.228367346938776
"GO:0046364","monosaccharide biosynthetic process",13,1,0.1,40,0.0978,0.0978,"BP",0.22804347826087,0.228367346938776
"GO:0042592","homeostatic process",140,3,1.1,41,0.098,0.098,"BP",0.22804347826087,0.228367346938776
"GO:0006835","dicarboxylic acid transport",14,1,0.11,42,0.1049,0.1049,"BP",0.22804347826087,0.228367346938776
"GO:0009653","anatomical structure morphogenesis",14,1,0.11,43,0.1049,0.1049,"BP",0.22804347826087,0.228367346938776
"GO:0015740","C4-dicarboxylate transport",14,1,0.11,44,0.1049,0.1049,"BP",0.22804347826087,0.228367346938776
"GO:0015743","malate transport",14,1,0.11,45,0.1049,0.1049,"BP",0.22804347826087,0.228367346938776
"GO:0005975","carbohydrate metabolic process",682,11,5.37,46,0.017,0.1069,"BP",0.22804347826087,0.228367346938776
"GO:0009755","hormone-mediated signaling pathway",15,1,0.12,47,0.1119,0.1119,"BP",0.228367346938776,0.228367346938776
"GO:0032870","cellular response to hormone stimulus",15,1,0.12,48,0.1119,0.1119,"BP",0.228367346938776,0.228367346938776
"GO:0071495","cellular response to endogenous stimulus",15,1,0.12,49,0.1119,0.1119,"BP",0.228367346938776,0.228367346938776
"GO:0048367","shoot system development",17,1,0.13,50,0.1259,0.1259,"BP",0.246862745098039,0.246862745098039
"GO:1901701","cellular response to oxygen-containing c...",17,1,0.13,51,0.1259,0.1259,"BP",0.246862745098039,0.246862745098039
"GO:0000096","sulfur amino acid metabolic process",20,1,0.16,52,0.1464,0.1464,"BP",0.265857142857143,0.265857142857143
"GO:0006470","protein dephosphorylation",86,2,0.68,53,0.147,0.147,"BP",0.265857142857143,0.265857142857143
"GO:0006721","terpenoid metabolic process",21,1,0.17,54,0.1532,0.1532,"BP",0.265857142857143,0.265857142857143
"GO:0016114","terpenoid biosynthetic process",21,1,0.17,55,0.1532,0.1532,"BP",0.265857142857143,0.265857142857143
"GO:0006820","monoatomic anion transport",22,1,0.17,56,0.1599,0.1599,"BP",0.265857142857143,0.265857142857143
"GO:0070887","cellular response to chemical stimulus",22,1,0.17,57,0.1599,0.1599,"BP",0.265857142857143,0.265857142857143
"GO:0046034","ATP metabolic process",91,2,0.72,58,0.1608,0.1608,"BP",0.265857142857143,0.265857142857143
"GO:0009066","aspartate family amino acid metabolic pr...",23,1,0.18,59,0.1665,0.1665,"BP",0.265857142857143,0.265857142857143
