"GO.ID","Term","Annotated","Significant","Expected","Rank in elim","classic","elim","ontology","q_classic_bh","q_elim_bh"
"GO:0042575","DNA polymerase complex",5,1,0.05,1,0.047,0.047,"CC",1,1
"GO:0008303","caspase complex",6,1,0.06,2,0.056,0.056,"CC",1,1
"GO:0042765","GPI-anchor transamidase complex",6,1,0.06,3,0.056,0.056,"CC",1,1
"GO:1990234","transferase complex",105,3,1.01,4,0.078,0.078,"CC",1,1
"GO:0016020","membrane",1238,16,11.92,5,0.093,0.093,"CC",1,1
"GO:0000123","histone acetyltransferase complex",15,1,0.14,6,0.135,0.135,"CC",1,1
"GO:0031248","protein acetyltransferase complex",16,1,0.15,7,0.144,0.144,"CC",1,1
"GO:1902493","acetyltransferase complex",16,1,0.15,8,0.144,0.144,"CC",1,1
"GO:0140534","endoplasmic reticulum protein-containing...",22,1,0.21,9,0.192,0.192,"CC",1,1
"GO:0005783","endoplasmic reticulum",85,2,0.82,10,0.197,0.197,"CC",1,1
"GO:0015935","small ribosomal subunit",24,1,0.23,11,0.208,0.208,"CC",1,1
"GO:0016459","myosin complex",26,1,0.25,12,0.223,0.223,"CC",1,1
"GO:0140535","intracellular protein-containing complex",109,2,1.05,13,0.283,0.283,"CC",1,1
"GO:0061695","transferase complex, transferring phosph...",36,1,0.35,14,0.295,0.295,"CC",1,1
"GO:0044391","ribosomal subunit",42,1,0.4,15,0.336,0.336,"CC",1,1
"GO:1905368","peptidase complex",42,1,0.4,16,0.336,0.336,"CC",1,1
"GO:1905369","endopeptidase complex",42,1,0.4,17,0.336,0.336,"CC",1,1
"GO:0015629","actin cytoskeleton",46,1,0.44,18,0.361,0.361,"CC",1,1
"GO:0005789","endoplasmic reticulum membrane",48,1,0.46,19,0.374,0.374,"CC",1,1
"GO:0042175","nuclear outer membrane-endoplasmic retic...",48,1,0.46,20,0.374,0.374,"CC",1,1
"GO:0098827","endoplasmic reticulum subcompartment",48,1,0.46,21,0.374,0.374,"CC",1,1
"GO:0031984","organelle subcompartment",49,1,0.47,22,0.38,0.38,"CC",1,1
"GO:0012505","endomembrane system",155,2,1.49,23,0.444,0.444,"CC",1,1
"GO:0005739","mitochondrion",67,1,0.65,24,0.481,0.481,"CC",1,1
"GO:1902494","catalytic complex",282,3,2.71,25,0.519,0.519,"CC",1,1
"GO:0005840","ribosome",291,3,2.8,26,0.541,0.541,"CC",1,1
"GO:0000785","chromatin",82,1,0.79,27,0.552,0.552,"CC",1,1
"GO:1990904","ribonucleoprotein complex",86,1,0.83,28,0.57,0.57,"CC",1,1
"GO:0005856","cytoskeleton",113,1,1.09,29,0.671,0.671,"CC",1,1
"GO:0005737","cytoplasm",580,5,5.58,30,0.681,0.681,"CC",1,1
"GO:0005694","chromosome",133,1,1.28,31,0.731,0.731,"CC",1,1
"GO:0043228","non-membrane-bounded organelle",621,5,5.98,32,0.742,0.742,"CC",1,1
"GO:0043232","intracellular non-membrane-bounded organ...",621,5,5.98,33,0.742,0.742,"CC",1,1
"GO:0031090","organelle membrane",138,1,1.33,34,0.744,0.744,"CC",1,1
"GO:0005618","cell wall",139,1,1.34,35,0.747,0.747,"CC",1,1
"GO:0030312","external encapsulating structure",147,1,1.42,36,0.767,0.767,"CC",1,1
"GO:0110165","cellular anatomical entity",3126,30,30.1,37,0.771,0.771,"CC",1,1
"GO:0098796","membrane protein complex",197,1,1.9,38,0.86,0.86,"CC",1,1
"GO:0071944","cell periphery",213,1,2.05,39,0.881,0.881,"CC",1,1
"GO:0032991","protein-containing complex",761,5,7.33,40,0.889,0.889,"CC",1,1
"GO:0043226","organelle",1466,11,14.11,41,0.906,0.906,"CC",1,1
"GO:0043229","intracellular organelle",1466,11,14.11,42,0.906,0.906,"CC",1,1
