"GO.ID","Term","Annotated","Significant","Expected","Rank in elim","classic","elim","ontology","q_classic_bh","q_elim_bh"
"GO:0016760","cellulose synthase (UDP-forming) activit...",39,3,0.31,1,0.0036,0.0036,"MF",0.271153846153846,0.276470588235294
"GO:0034061","DNA polymerase activity",19,2,0.15,2,0.0098,0.0098,"MF",0.271153846153846,0.276470588235294
"GO:0008378","galactosyltransferase activity",25,2,0.2,3,0.0167,0.0167,"MF",0.271153846153846,0.276470588235294
"GO:0009055","electron transfer activity",155,4,1.23,4,0.0352,0.0352,"MF",0.271153846153846,0.276470588235294
"GO:0005216","monoatomic ion channel activity",95,3,0.76,5,0.0401,0.0401,"MF",0.271153846153846,0.276470588235294
"GO:0030246","carbohydrate binding",170,4,1.35,6,0.0468,0.0468,"MF",0.271153846153846,0.276470588235294
"GO:0015018","galactosylgalactosylxylosylprotein 3-bet...",6,1,0.05,7,0.0468,0.0468,"MF",0.271153846153846,0.276470588235294
"GO:0052736","beta-glucanase activity",6,1,0.05,8,0.0468,0.0468,"MF",0.271153846153846,0.276470588235294
"GO:0052861","endo-1,3(4)-beta-glucanase activity",6,1,0.05,9,0.0468,0.0468,"MF",0.271153846153846,0.276470588235294
"GO:0016791","phosphatase activity",174,4,1.39,10,0.0502,0.0502,"MF",0.271153846153846,0.276470588235294
"GO:0015267","channel activity",105,3,0.84,11,0.0513,0.0513,"MF",0.271153846153846,0.276470588235294
"GO:0022803","passive transmembrane transporter activi...",105,3,0.84,12,0.0513,0.0513,"MF",0.271153846153846,0.276470588235294
"GO:0004347","glucose-6-phosphate isomerase activity",7,1,0.06,13,0.0544,0.0544,"MF",0.271153846153846,0.276470588235294
"GO:0008252","nucleotidase activity",7,1,0.06,14,0.0544,0.0544,"MF",0.271153846153846,0.276470588235294
"GO:0016646","oxidoreductase activity, acting on the C...",7,1,0.06,15,0.0544,0.0544,"MF",0.271153846153846,0.276470588235294
"GO:0004721","phosphoprotein phosphatase activity",108,3,0.86,16,0.055,0.055,"MF",0.271153846153846,0.276470588235294
"GO:0005092","GDP-dissociation inhibitor activity",9,1,0.07,17,0.0694,0.0694,"MF",0.271153846153846,0.276470588235294
"GO:0036402","proteasome-activating activity",9,1,0.07,18,0.0694,0.0694,"MF",0.271153846153846,0.276470588235294
"GO:0048029","monosaccharide binding",9,1,0.07,19,0.0694,0.0694,"MF",0.271153846153846,0.276470588235294
"GO:0022836","gated channel activity",55,2,0.44,20,0.071,0.071,"MF",0.271153846153846,0.276470588235294
"GO:0015020","glucuronosyltransferase activity",10,1,0.08,21,0.0768,0.0768,"MF",0.271153846153846,0.276470588235294
"GO:0016161","beta-amylase activity",11,1,0.09,22,0.0842,0.0842,"MF",0.271153846153846,0.276470588235294
"GO:0042578","phosphoric ester hydrolase activity",212,4,1.69,23,0.089,0.089,"MF",0.271153846153846,0.276470588235294
"GO:0005215","transporter activity",880,11,7.01,24,0.0909,0.0909,"MF",0.271153846153846,0.276470588235294
"GO:0005247","voltage-gated chloride channel activity",12,1,0.1,25,0.0915,0.0915,"MF",0.271153846153846,0.276470588235294
"GO:0005254","chloride channel activity",12,1,0.1,26,0.0915,0.0915,"MF",0.271153846153846,0.276470588235294
"GO:0015108","chloride transmembrane transporter activ...",13,1,0.1,27,0.0987,0.0987,"MF",0.271153846153846,0.276470588235294
