trait,n,trait_mean,trait_sd,beta,se,z,wald_p,h2_mle,wald_p_holm
Soluble_Oxalate,41,354.771342092992,91.9016240840722,98.65151553777642,30.85323775409858,3.197444505631226,0.0013865108686350964,0.46944897959183673,0.018024641292256255
Phenol,93,209.79306069146884,128.6336965808468,68.87282398533809,32.40888638764068,2.125121584294953,0.03357646897425028,0.001,0.40291762769100337
Insoluble_Oxalate,41,733.6622132658447,240.95558989550216,-142.54903278185876,84.3343595254563,-1.690284168682521,0.09097360236460347,0.001,1.0
Flavonoid,93,129.00047739146672,39.23718822171429,16.52179764270038,9.979541225322539,1.6555668511872295,0.09780956783572858,0.001,1.0
Seed_Coat_Tannin,95,802.006123271945,215.60487543124654,72.1043562585956,55.07143728694737,1.3092877144807196,0.1904369096018103,0.001,1.0
Antioxidant,93,280.3290879671733,92.93097922682483,32.769204570860516,25.378629806138953,1.2912125209743917,0.19662999454783997,0.3676122448979592,1.0
Mass_of_Seeds,95,0.291965371782187,0.04016093132779798,-0.012979855950594399,0.010697799476218765,-1.2133201766820036,0.22500743170544749,0.2250408163265306,1.0
Seed_Width,95,6.700602412490572,0.3141917329572465,-0.09669296866500839,0.0827745598223214,-1.1681483884971826,0.24274691474796523,0.12320408163265306,1.0
Seed_Thickness,95,6.391618832904575,0.34036432855408894,-0.09887962800865634,0.09029839466317258,-1.0950319590674134,0.2735026354000983,0.1843061224489796,1.0
Seed_Length,95,8.565734707449197,0.43141686149324077,0.08263643544329344,0.11534402464040362,0.7164344724481453,0.4737231154835696,0.26577551020408163,1.0
Total_Oxalate,41,1088.4335553588367,221.63504374782104,-43.07746708504585,83.28721365152245,-0.5172158509862507,0.6050054881278282,0.2046734693877551,1.0
Tannin,93,565.3524369656209,209.1745957627574,-17.22820236889804,53.966904625686176,-0.3192364373756963,0.7495472283046616,0.001,1.0
Crude_Protein,92,36.13162718117512,5.102483191247571,0.20860132262883707,1.3576631717044432,0.15364733092594235,0.877887815332071,0.02136734693877551,1.0
