trait,mlm_beta,mlm_wald_p,mlm_wald_p_holm,farmcpu_p,farmcpu_effect,pip_bayesB_focal,pip_bayesC_focal,effect_bayesB_focal,effect_bayesC_focal
Soluble_Oxalate,98.65151553777642,0.001386510868635,0.0180246412922562,0.0136634714669865,90.2290513477109,0.0663999999999999,0.0802,1.43410458433165,1.08212801042024
Phenol,68.87282398533809,0.0335764689742502,0.4029176276910033,0.0187730875412741,73.3752085325805,0.0279999999999998,0.0356,0.0480411084712873,0.485317709614797
Insoluble_Oxalate,-142.54903278185876,0.0909736023646034,1.0,0.149243501218917,-140.045793232203,0.0142,0.0527999999999998,-1.88614651989062,-1.40548226904624
Flavonoid,16.52179764270038,0.0978095678357285,1.0,0.111379951364976,15.5956202796226,0.0106,0.0259999999999999,0.614169690927684,0.195854160864922
Seed_Coat_Tannin,72.1043562585956,0.1904369096018103,1.0,0.151055864412924,82.3712492469537,0.0071999999999999,0.0441999999999999,-0.0231150164991458,0.548773861058298
Antioxidant,32.76920457086052,0.1966299945478399,1.0,0.186548764552208,33.1839581857395,0.0549999999999999,0.0493999999999998,0.491036224292054,0.103853743026969
Mass_of_Seeds,-0.0129798559505943,0.2250074317054474,1.0,0.194746213619041,-0.0133210980958958,0.0767999999999997,0.0457999999999998,-0.0001015765434217,-0.0002124137271265
Seed_Width,-0.0966929686650083,0.2427469147479652,1.0,0.26032452493189,-0.0957318914750376,0.0797999999999998,0.0293999999999999,-0.0007476645480915,-0.0009892151433795
Seed_Thickness,-0.0988796280086563,0.2735026354000983,1.0,0.315863358889623,-0.0858453017118617,0.0901999999999997,0.0329999999999998,-0.0002261386506077,-0.0007106746352822
Seed_Length,0.0826364354432934,0.4737231154835696,1.0,0.483164139153693,0.0750008815556535,0.0236,0.0429999999999998,-0.0007291127314484,0.0009034340640154
Total_Oxalate,-43.07746708504585,0.6050054881278282,1.0,0.583965576129715,-49.8167418844937,0.0365999999999998,0.0457999999999999,0.237347067976067,-1.90262218935525
Tannin,-17.22820236889804,0.7495472283046616,1.0,0.821532598167873,-11.8446588016749,0.0089999999999999,0.0207999999999999,0.502894683305355,0.394922066463944
Crude_Protein,0.208601322628837,0.877887815332071,1.0,0.936658167356103,0.115859623326099,0.0291999999999998,0.0373999999999998,0.0527692521346924,0.0060917682925961
