probIn scale
0.03650712 1093.422
0.03607226 1127.372
0.02744523 1123.104
0.02733644 1028.307
0.03629084 1004.616
0.04379309 1008.463
0.03435093 1014.991
0.02137587 966.4146
0.01901061 960.2297
0.01486961 945.3512
0.008584524 928.445
0.00279826 918.5562
0.007170265 876.7532
0.0009923514 866.2003
0.004515717 918.3203
0.004641369 900.3812
0.007370881 912.0107
0.01337883 935.4784
0.01226781 992.1469
0.02586127 951.518
0.04338635 933.8934
0.04139124 973.1405
0.05378844 1025.703
0.03756335 1036.984
0.02569112 1020.685
0.02209216 1092.287
0.01871979 1081.228
0.02806864 1073.7
0.035458 1085.222
0.03253296 1033.71
0.03228996 1068.374
0.02616928 988.8212
0.05324366 951.7723
0.04601707 992.8537
0.04830696 1005.863
0.05074445 1055.951
0.08404485 1038.192
0.05621209 1104.142
0.04295727 1102.48
0.03042772 1067.797
0.0401257 1044.717
0.01179576 967.6209
0.01583778 967.2271
0.01084083 953.6987
0.02285846 889.4662
0.00616701 934.1175
0.007935868 878.1955
0.01895853 885.3227
0.04696066 914.054
0.05360108 818.9831
0.04512219 800.2985
0.03302232 779.655
0.03501904 794.5868
0.02777954 752.464
0.03432073 722.038
0.0354751 705.0275
0.04834753 760.0144
0.04666365 766.7895
0.03150458 776.6232
0.0306486 704.7997
0.01906383 686.3022
0.01588078 659.6446
0.03083659 655.4478
0.03574164 669.2247
0.07493314 652.0125
0.0594978 631.635
0.0701871 598.7853
0.05431259 575.9704
0.04014828 593.4438
0.04190049 622.1864
0.04058491 612.5453
0.04762471 650.5254
0.03842227 626.269
0.02710311 612.5091
0.01580758 689.2565
0.01274377 674.1801
0.004042668 695.316
0.00162334 706.1012
0.0132205 684.4784
0.03319151 668.0617
0.01784403 649.5906
0.02345859 687.7042
0.0361492 690.178
0.0190409 647.6617
0.01597215 684.5268
0.01936704 682.5433
0.01804999 696.055
0.03903114 730.4258
0.02169008 753.1544
0.03040521 784.4758
0.0180668 783.6184
0.02415931 756.728
0.05282228 747.7492
0.1020698 749.6973
0.0852583 743.9592
0.05985678 671.8894
0.06414607 705.8651
0.05167245 700.1436
0.0303129 716.328
0.0311423 720.865
0.04046699 768.2102
0.04664233 759.9139
0.0562588 774.1254
0.05062231 732.2846
0.03013907 745.5048
0.03471251 717.7371
0.02436379 719.9865
0.01332734 744.6586
0.0153566 726.6836
0.02357963 698.811
0.03910356 751.382
0.03888466 759.4691
0.02716955 817.8133
0.02993208 848.7668
0.03989705 868.801
0.0457394 857.8308
0.05476569 842.8076
0.03748992 853.4774
0.02330518 862.6227
0.03761765 906.4924
0.05457219 937.3655
0.01538167 968.2681
0.02422658 866.1241
0.03332913 822.7344
0.06264524 801.1735
0.06236409 787.0591
0.05257848 784.1327
0.0505542 772.8391
0.03290582 750.6052
0.04401189 818.5052
0.05447657 841.3638
0.0596299 877.3447
0.0567849 848.4248
0.06794928 848.1715
0.05582671 832.3999
0.0475357 829.6909
0.06235959 843.9896
0.0529736 909.6628
0.04479629 898.2825
0.04708052 827.0764
0.06514056 841.0019
0.04416313 831.0699
0.04103355 861.857
0.03339499 848.977
0.03338087 833.1616
0.05204928 772.9683
0.04824875 771.797
0.04043327 767.3335
0.04056936 782.2565
0.04110297 738.7016
0.0361943 708.5145
0.04242064 690.0623
0.06610341 685.2886
0.05630562 645.7782
0.07292011 653.0663
0.06735851 647.9967
0.05927986 650.7234
0.04149518 664.4589
0.02807631 638.0847
0.04489015 688.2067
0.02341227 716.1826
0.01816215 712.7304
0.02691165 652.9292
0.01790228 668.672
0.04591846 714.3117
0.03491266 708.6738
0.0489336 692.9041
0.04365617 712.9614
0.05776014 772.8119
0.06129258 802.6067
0.05585163 767.0233
0.04599776 745.9265
0.04273451 801.8342
0.03558732 844.4691
0.02384171 823.3289
0.002564685 847.0931
0.009411688 800.2687
0.01285555 813.2682
0.02111465 783.7832
0.02103154 742.3896
0.02260615 808.111
0.02554053 772.7674
0.009197712 758.2934
0.01783407 724.6406
0.01485981 754.1434
0.03053912 780.9227
0.03488999 776.6764
0.04216773 799.7519
0.04700622 828.6923
0.05097897 811.9905
0.06146833 785.946
0.03434935 740.869
0.02817832 705.6566
0.02957113 637.6757
0.02859452 652.7675
0.02400263 647.4991
0.0113546 633.9856
0.03048713 632.0628
0.02625442 619.668
0.04527922 621.6317
0.04687609 649.0233
0.04377241 663.1561
0.02248138 599.3179
0.02907584 631.4266
0.03147064 671.6812
0.02728606 656.9808
0.02113942 665.8977
0.01274064 655.9016
0.008965717 649.6483
0.006097766 630.439
0.006228426 613.8464
0.009435886 627.454
0.00878651 624.6496
0.01041091 630.607
0.01117712 695.5281
0.0107226 684.2185
0.0117146 666.0165
0.01893322 705.2126
0.01969679 674.4832
0.02264159 628.7395
0.0338381 562.7436
0.03674113 589.249
0.0290198 616.4735
0.03458644 625.0139
0.04134794 623.663
0.07272133 628.7587
0.08180124 562.3462
0.08940081 552.1216
0.08640823 524.7609
0.06851602 525.1581
0.08155986 534.2537
0.1128115 503.5297
0.07832975 476.6261
0.04268854 485.2482
0.05379851 510.315
0.0613213 509.81
0.04315053 559.0007
0.07113489 552.0027
0.06273853 593.2508
0.04873427 562.5414
0.04438711 626.844
0.05615465 620.7232
0.05909005 598.0443
0.07194804 585.4942
0.05512713 555.3186
0.0717614 493.9276
0.06071627 457.6896
0.05675961 444.1471
0.06476879 430.8976
0.05061448 429.1102
0.05594968 416.7732
0.05577884 411.3821
0.06164175 389.7448
0.0469786 379.2224
0.06435043 372.8493
0.03490694 378.3198
0.0212361 386.9318
0.01573107 369.0131
0.02976126 377.4933
0.03448546 391.228
0.04122737 388.8543
0.05396289 396.5221
0.0632378 409.097
0.07434184 390.2689
0.07333103 395.4032
0.05948623 388.6587
0.05639652 353.1911
0.03998716 385.339
0.05115938 394.3761
0.05277933 401.6129
0.05890945 451.8586
0.02837694 452.6709
0.02650675 465.7588
0.03034246 505.529
0.04532977 475.9794
0.05474472 485.5452
0.07646041 466.6856
0.02701897 494.1409
0.05285728 474.2676
0.03403279 499.77
0.03565301 498.1271
0.02918939 475.1609
0.03871582 470.073
0.02740342 473.0645
0.06201311 456.508
0.0660331 457.1579
0.06713901 462.242
0.05344563 436.2599
0.062486 424.3771
0.06578068 459.5198
0.08226978 430.8363
0.1030046 438.1498
0.0963512 433.483
0.04422475 466.4213
0.0704891 471.0905
0.0914198 492.7991
0.06233139 493.9662
0.04423047 503.4021
0.07459547 491.2709
0.07391901 473.9549
0.05389153 484.1989
0.05074145 482.3692
0.04502302 493.4714
0.05948751 514.2075
0.05311718 520.2274
0.05037676 526.6574
0.03338272 505.2318
0.02714804 495.6548
0.04986993 453.1762
0.03259652 460.2158
0.03276229 481.9766
0.06291178 488.1638
0.08141425 502.6047
0.03883876 531.0755
0.07415166 540.7894
0.08353318 597.8215
0.07242353 614.6441
0.07166269 671.701
0.07637179 746.3675
0.1134403 732.3049
0.07855737 796.1042
0.04558367 848.2068
0.02658132 856.4527
0.02662089 842.7575
0.05084609 786.5158
0.05182447 813.9068
0.07669813 781.6484
0.09016466 819.7512
0.07111308 785.5441
0.06834783 858.1953
0.07171963 875.7621
0.07389645 869.5445
0.05151238 885.5265
0.03233214 946.69
0.03512183 923.6432
0.02695529 872.8693
0.0135429 883.2682
0.01320375 906.3029
0.02274773 878.4625
0.02725194 868.0499
0.03694291 872.1825
0.03058393 895.987
0.03888424 954.3425
0.0512378 935.0627
0.06075968 973.4724
0.06175439 947.9207
0.05368704 944.4482
0.05906649 899.0682
0.05281768 951.938
0.03941177 997.4402
0.02078003 1034.333
0.007440138 1067.733
0.02066184 1010.235
0.01440762 967.3912
0.02655757 1012.706
0.04052423 1070.875
0.04841345 1004.474
0.02349752 968.8281
0.02353046 1085.429
0.02652278 1051.061
0.02702826 1045.1
0.04332934 960.5319
0.03966684 957.2564
0.04643421 943.5621
0.0398513 1001.185
0.03301884 1081.13
0.05120222 1105.837
0.03210151 1161.379
0.03227665 1119.385
0.0328636 1141.811
0.02672976 1198.705
0.02586255 1100.442
0.03210835 1013.955
0.03126525 1009.816
0.03777736 993.4299
0.04277938 1019.189
0.03972905 1037.327
0.0547072 1012.842
0.05396695 1008.318
0.05583265 1009.25
0.04392077 1024.279
0.04135979 1044.463
0.03398509 1101.691
0.02623795 1055.761
0.02605786 1064.989
0.01247257 1048.679
0.00944796 1008.32
0.01326464 1070.236
0.01186574 1069.615
0.02338937 1079.661
0.0197315 1055.297
0.02429214 994.3657
0.02288059 1030.905
0.01726221 1044.087
0.02463424 988.8226
0.02167482 885.8791
0.01403343 881.8235
0.02655034 945.9207
0.01043289 896.2731
0.009226504 961.2861
0.009935748 1027.832
0.00623365 1060.177
0.01007584 1054.922
0.01911523 1124.658
0.01990638 1085.347
0.02803904 1072.172
0.025197 1068.589
0.01753054 1176.472
0.03105087 1161.157
0.0485791 1182.934
0.02600832 1170.521
0.0292604 1204.778
0.01026597 1193.994
0.02160383 1302.158
0.0241216 1303.124
0.02296279 1218.059
0.02743258 1273.756
0.0190506 1296.123
0.02096733 1326.16
0.01510441 1416.073
0.03501997 1402.968
0.04783517 1450.457
0.05223626 1626.997
0.05891028 1747.193
0.05042613 1683.585
0.04000601 1594.546
0.05366066 1567.21
0.04952696 1476.276
0.02389483 1449.172
0.04583268 1492.075
0.02379547 1535.776
0.03131909 1525.955
0.03471502 1566.569
0.0317769 1501.173
0.02221946 1519.171
0.02697368 1454.883
0.03221566 1495.997
0.03540751 1454.406
0.03752942 1506.75
0.03835418 1441.869
0.02369 1401.477
0.01452251 1457.409
0.00903403 1508.859
0.01179482 1550.897
0.005005097 1608.823
0.007749249 1688.836
0.0153504 1473.964
0.02484541 1496.059
0.02399435 1520.566
0.03010056 1623.682
0.02792876 1546.056
0.04480206 1525.07
0.03146872 1618.973
0.04450325 1646.275
0.02390933 1641.837
0.02142984 1800.22
0.0333009 1650.526
0.04464231 1625.12
0.05361181 1640.867
0.03759782 1512.372
0.04281643 1428.051
0.04270826 1540.65
0.0204396 1405.972
0.02485956 1344.831
0.0163419 1388.866
0.01870119 1341.117
0.02760476 1240.034
0.02777339 1258.615
0.04345287 1144.371
0.04110419 1114.435
0.04331628 1037.4
0.03784919 1132.323
0.05568254 1182.795
0.06150531 1080.255
0.03171643 1143.854
0.0483019 1105.78
0.03314657 1117.424
0.01832211 1052.503
0.0268393 1060.825
0.01925561 1036.906
0.002852083 1073.583
0.0002443257 1059.264
0.001294688 1094.895
0.01857264 1137.73
0.01642758 1181.227
0.0207008 1173.433
0.02896128 1108.112
0.02301172 1102.04
0.02075428 978.2954
0.03373515 979.4808
0.02207814 962.8322
0.02934251 953.5776
0.01943572 944.8486
0.02640019 958.1069
0.0232346 998.2791
0.02314824 1041.206
0.01087133 1132.496
0.01153817 1142.399
0.01607426 1182.666
0.02885408 1118.379
0.03768506 1170.252
0.03644483 1227.848
0.03832286 1240.902
0.03322919 1192.26
0.05079098 1219.601
0.04814581 1223.617
0.04704996 1132.877
0.05503633 1095.635
0.06004497 1189.139
0.02762226 1208.504
0.0438866 1177.71
0.03939862 1161.084
0.01445594 1326.253
0.01113283 1224.649
0.01426992 1212.688
0.01223333 1154.413
0.02482372 1224.428
0.02549988 1126.054
0.02756677 1146.193
0.04110237 1090.337
0.02458922 1064.407
0.02380953 1023.201
0.0203825 979.1034
0.04504788 1024.435
0.05509274 1028.938
0.034096 1046.091
0.02689792 1072.024
0.01625192 1089.762
0.03862909 1083.664
0.02892162 1088.6
0.02260217 1053.155
0.03487608 1104.643
0.0448065 1145.135
0.03210948 1111.785
0.02216434 1091.163
0.03099321 959.8991
0.03609295 981.7507
0.01759846 1023.392
0.02455875 1014.036
0.03442777 1034.514
0.03171768 1070.506
0.03900798 1135.498
0.04958917 1176.858
0.05294882 1229.994
0.03400892 1275.766
0.02087271 1288.971
0.02081331 1270.587
0.03506891 1348.032
0.03222449 1298.567
0.03542733 1320.143
0.02934497 1250.768
0.03597033 1343.183
0.06965151 1330.302
0.07863131 1251.848
0.09641872 1310.064
0.07039454 1369.891
0.05052735 1369.357
0.06982295 1391.654
0.05452133 1386.827
0.05212145 1354.92
0.03610747 1310.595
0.04369247 1300.304
0.03082142 1455.279
0.03365672 1426.104
0.03836727 1504.739
0.02716852 1540.704
0.02797452 1403.506
0.02046464 1306.283
0.02299062 1314.704
0.03225596 1317.218
0.02060325 1362.162
0.007488096 1490.837
0.02657162 1497.152
0.029587 1521.514
0.01648911 1457.73
0.01075284 1576.754
0.01447341 1423.296
0.02276893 1486.713
0.03399888 1458.06
0.03459162 1485.598
0.03124381 1461.789
0.02305591 1434.015
0.04064217 1452.678
0.02883684 1567.841
0.03453976 1482.478
0.0455552 1562.88
0.03445054 1551.376
0.01171591 1503.873
0.03304102 1447.039
0.03411092 1527.876
0.02913727 1491.394
0.02665719 1315.044
0.01250487 1374.615
0.005741951 1407.746
0.02579665 1467.64
0.0329113 1522.416
0.04245455 1506.528
0.0344101 1514.115
0.06040948 1525.048
0.04346248 1460.016
0.05186673 1412.816
0.03939737 1310.023
0.04370922 1357.962
0.03684173 1333.466
0.03177352 1259.082
0.02130696 1265.737
0.03261814 1295.353
0.03760383 1249.471
0.0300099 1257.174
0.03562337 1184.349
0.04710635 1176.85
0.0430787 1177.283
0.0735574 1164.273
0.06018159 1187.084
0.0406552 1211.68
0.02463586 1215.017
0.01976568 1174.077
0.03817712 1114.542
0.03278118 1128.417
0.0336517 1202.08
0.02850261 1141.31
0.01750324 1090.153
0.004765141 1118.127
0.02400135 1132.652
0.0299046 1162.109
0.02839025 1263.549
0.01885593 1279.527
0.03684486 1392.022
0.03214708 1367.742
0.0227589 1518.028
0.02798682 1512.972
0.008662363 1525.317
0.002053555 1490.582
