probIn scale
0.0302692 3.285762
0.01965184 3.527538
0.01597603 3.608515
0.01850641 3.18559
0.01710042 3.049867
0.01246263 3.086365
0.03771075 3.107346
0.03492466 3.09229
0.04902052 3.076159
0.04666475 3.06806
0.06546242 2.968365
0.05449666 2.970511
0.05688147 3.132433
0.07404291 2.953681
0.05848943 2.992163
0.02347179 3.122824
0.02440045 3.166977
0.01830962 3.015344
0.01528982 3.044681
0.01286883 3.062358
0.02543771 3.021915
0.01782074 3.213238
0.009697205 3.497422
0.02884201 3.487753
0.037059 3.788594
0.05497761 3.957937
0.0503166 3.670684
0.03717571 3.549691
0.02125544 3.265098
0.02252536 3.415549
0.01404173 3.628641
0.01261068 3.749803
0.01387092 3.869469
0.02582445 3.895773
0.02607202 4.119172
0.03235694 4.226186
0.04152056 4.13258
0.03960893 4.687009
0.03172614 4.391822
0.0278592 4.646487
0.0162326 4.38592
0.02890558 4.455596
0.0241467 4.410229
0.03170942 4.569249
0.02699185 4.158885
0.02055677 4.285477
0.02127184 4.103453
0.04052044 4.266649
0.03176033 4.382924
0.03562579 4.26531
0.05916706 4.057366
0.02364876 3.816653
0.02699204 4.197993
0.0316636 4.390293
0.03560049 4.169242
0.0176805 4.16513
0.01686494 4.200411
0.03512152 4.079573
0.007156895 3.800931
0.006586036 3.736445
0.003950577 3.547312
0.007798217 3.721139
0.002742028 3.667774
0.006650805 3.677176
0.0005762065 3.614921
0.005146639 3.808033
0.01449313 3.737155
0.008211563 3.686857
0.01350173 4.136512
0.02734149 4.247918
0.007781042 4.063187
0.03684746 4.091237
0.05823928 4.070055
0.05503301 4.17666
0.05712089 4.274236
0.06741073 4.379525
0.07246599 3.979994
0.07217608 4.023438
0.06732492 4.187476
0.05874448 4.062992
0.04110902 3.7948
0.01741207 3.740641
0.009372297 3.726056
0.01680947 3.411715
0.01694159 3.599071
0.0083059 3.445657
0.0094916 3.677203
0.01625079 3.520337
0.03025713 3.354021
0.01596588 3.450783
0.02118268 3.34113
0.0239572 3.123849
0.02999163 3.277788
0.01973819 3.045194
0.02671956 3.076817
0.01913878 2.955236
0.01239145 2.93173
0.005083193 3.169529
0.01068012 3.018442
0.01645395 2.988872
0.02678777 2.957683
0.02763109 2.998263
0.0259115 2.898365
0.01689029 3.028421
0.0300632 3.072539
0.0508162 2.950854
0.025734 3.171176
0.03835193 3.348753
0.04976988 3.285383
0.03682348 3.296309
0.04551967 3.316419
0.03032495 3.258918
0.03166889 3.451519
0.03208958 3.333725
0.04109204 3.33587
0.04995682 3.341845
0.02965728 3.408378
0.01312002 3.396553
0.01030547 3.813356
0.005803143 3.775288
0.005510928 3.884778
0.007781922 3.816246
0.01421112 3.947513
0.002889284 4.013826
0.005364546 3.771965
0.001799769 3.627711
0.007420237 3.611063
0.01621467 3.541245
0.02380826 3.612482
0.02193876 3.510198
0.03338785 3.144781
0.01810453 3.466483
0.00983974 3.300689
0.01050926 3.062833
0.01515815 2.923125
0.0133983 2.94141
0.01261396 2.797312
0.01263747 2.557222
0.01973572 2.649601
0.009962709 2.637655
0.01239787 2.71373
0.001153649 2.659759
0.00513288 2.61105
0.01277288 2.735181
0.02353979 2.859694
0.02008116 2.8234
0.008261939 2.870887
0.01663669 3.043653
0.01888795 3.237241
0.03181996 3.036565
0.03475261 2.835283
0.02394752 2.737123
0.02475742 2.615522
0.01919845 2.462116
0.0051037 2.229166
0.008448564 2.113883
