probIn scale
0.07417599 194.1198
0.067734 187.8053
0.04410211 182.1676
0.04862578 171.6226
0.03551078 180.7155
0.01682507 180.9077
0.0211906 189.5596
0.02216334 205.3304
0.0259225 226.1887
0.01731833 224.4348
0.01233264 225.1866
0.005651181 237.2187
0.01284238 236.3347
0.007759975 210.3758
0.01510561 207.3088
0.01194076 194.962
0.01423643 184.2529
0.01727447 182.0391
0.01364705 185.1089
0.0554135 189.1009
0.04852331 189.7228
0.04275057 178.0156
0.04320994 171.7473
0.03383896 179.4432
0.01412597 169.2627
0.01205362 153.5518
0.008432566 157.8497
0.004667809 161.4575
0.0128974 157.4844
0.01043388 153.6672
0.006100196 155.1082
0.007119643 164.2004
0.008442627 165.6645
0.006422032 154.9518
0.00920184 162.052
0.004764764 164.6866
0.00435655 168.6762
0.006879591 173.3195
0.002077952 164.015
0.00374752 160.3406
0.0100033 165.8666
0.0028203 159.5863
0.001215143 165.6564
0.001719002 182.504
0.000618893 179.9522
0.004441932 187.8127
0.0020821 184.542
0.003388391 184.2618
0.01129398 197.5009
0.01034602 194.0771
0.005358372 193.357
0.001428321 227.0257
0.002882944 235.4886
0.0008298209 222.861
0.005529587 211.5526
0.01130823 215.5688
0.00906826 202.316
0.009455494 210.2361
0.0089401 203.7966
0.003165099 192.9251
0.007699931 186.473
0.002186136 182.0936
0.004979012 177.4654
0.002371894 190.1419
0.001091719 182.3539
0.0008975027 193.9346
0.001068776 200.842
0.001361187 212.3705
0.0005076758 213.3961
0.007664235 233.3733
0.01015927 243.0789
0.02186268 250.1706
0.01867811 252.9765
0.008904852 258.0697
0.01362269 258.9801
0.00495277 236.3574
0.01073108 242.5256
0.004706481 258.1376
0.009969452 270.8452
0.007607761 279.3572
0.006470382 297.3639
0.002196944 293.3066
0.001364284 315.7782
0.004256756 328.9145
0.002956779 309.7441
0.006145143 302.7687
0.003232391 294.2125
0.01041516 281.96
0.01705179 274.9966
0.02594153 277.6164
0.02381753 276.4863
0.0310964 262.3355
0.01484398 257.4739
0.01913736 265.7994
0.02578043 279.9773
0.0317131 250.1056
0.03852783 269.1683
0.03298947 267.535
0.01423111 269.3939
0.01473612 257.9266
0.01104684 247.2007
0.01977936 225.0936
0.02072141 211.9999
0.0158028 219.484
0.0136639 230.9119
0.001117581 222.7146
0.00269926 242.0289
0.001381451 247.6456
0.001506258 241.2247
0.006152519 233.4062
0.002014896 234.2638
0.01402717 229.6163
0.005985011 249.5831
0.02771662 253.1476
0.01636626 245.794
0.01360907 258.3499
0.003124354 256.1919
0.003924927 273.5912
0.001107479 250.9288
0.003056103 233.5874
0.001403463 235.5924
0.003353917 237.835
0.002944856 243.7542
0.005062352 248.0975
0.007412515 247.3841
0.01378078 241.7846
0.01545126 234.1143
0.02355771 232.8331
0.01348108 220.164
0.01332853 220.0758
0.0214367 224.5328
0.02255924 238.8688
0.01081076 231.0952
0.001311967 250.3284
0.008586177 249.64
0.01163505 240.7709
0.01991317 239.3246
0.01902341 247.6363
0.01029577 239.7805
0.009382164 244.0098
0.005089518 248.1088
0.008586421 243.549
0.008887604 232.6306
0.006866725 218.4785
0.009037422 221.6204
