probIn scale
0.0291906 7157.751
0.02748666 7405.488
0.01548882 7119.04
0.01871715 7545.541
0.01156675 7233.927
0.003205027 7330.967
0.01057484 7128.098
0.009135379 6855.678
0.005509589 6770.529
0.005114281 7055.393
0.02044342 6445.023
0.02858829 6413.687
0.006340492 6545.103
0.00548921 6599.474
0.007158076 6020.607
0.01526465 6044.912
0.02296749 6092.571
0.01641715 5314.437
0.00462955 5117.455
0.004223624 5080.697
0.007840762 5059.572
0.006284531 5109.692
0.01599909 5280.488
0.02983218 5065.942
0.03972545 4708.204
0.03109675 4944.746
0.01105246 5321.87
0.01474185 4955.747
0.02012851 4769.407
0.005491333 4695.927
0.005006107 4828.195
0.008327897 4747.407
0.01985475 4868.998
0.02007944 4992.763
0.003127127 4987.752
0.005592949 4924.862
0.02111036 5307.428
0.05372272 5300.501
0.05182763 5504.263
0.05049254 5200.542
0.03092877 5461.41
0.01957605 5721.668
0.03143015 5723.53
0.0234448 5897.608
0.009448888 5757.646
0.01752483 5718.44
0.01851658 6151.759
0.03234865 6462.835
0.03506326 6721.309
0.03663357 6403.313
0.06102922 6737.481
0.04031395 6769.267
0.01534552 6817.589
0.02422213 6594.654
0.02408373 6637.809
0.02461708 6451.958
0.03769777 6453.419
0.03007976 6150.478
0.0171142 5882.108
0.005819656 5519.174
0.004709341 5025.486
0.01201973 5001.917
0.01170788 4865.418
0.01272122 4991.051
0.02311561 5260.935
0.01546038 5236.287
0.01739424 5358.393
0.02055191 5224.02
0.006933157 5434.65
0.006191828 5396.089
0.0007803571 5430.785
0.002224449 5376.138
0.0004776818 5240.455
0.004445866 5214.981
0.004530074 5507.928
0.005795108 5513.072
0.007001784 5156.362
0.00789793 4915.855
0.01251823 4734.955
0.002711681 4770.327
0.01436966 4376.422
0.02054475 4123.061
0.01098228 4379.866
0.003419901 4282.697
0.007189188 4463.057
0.00457838 4603.49
0.01219648 4833.342
0.01303323 4470.812
0.01833326 4339.129
0.02543217 4274.164
0.02791146 4253.538
0.03159699 4488.278
0.02380273 4945.468
0.01298652 5019.329
0.04022688 5258.654
0.06842714 5124.776
0.04660914 5283.103
0.04407672 5523.706
0.04076947 5485.393
0.05480368 5183.425
0.05386356 5546.714
0.05587459 5632.849
0.05705008 5873.858
0.02677937 5637.119
0.05094857 5321.969
0.05724868 5782.594
0.02040112 6072.604
0.02217283 6056.683
0.04157341 6048.63
