probIn scale
0.06996182 0.0001917967
0.05864345 0.0001975283
0.04226956 0.0001977671
0.03696958 0.0001994226
0.03088501 0.0002054209
0.02295365 0.0002174194
0.01756824 0.0002342702
0.0318014 0.0002420471
0.02817514 0.0002307887
0.01230129 0.000236412
0.007916138 0.000236042
0.02314374 0.000257866
0.0151633 0.0002650158
0.01821827 0.0002584643
0.02783055 0.0002422349
0.03513303 0.000234093
0.02002573 0.0002212697
0.01336095 0.0002391587
0.02803168 0.0002493346
0.0360189 0.0002469296
0.01427113 0.0002495943
0.028201 0.0002503976
0.01454092 0.0002319819
0.02226611 0.0002374856
0.0298179 0.0002470603
0.02161237 0.0002671712
0.01895054 0.0002564379
0.005124624 0.000255066
0.01017714 0.000261829
0.009623384 0.0002585949
0.01275473 0.0002642271
0.02395302 0.0002543847
0.01207299 0.0002478488
0.006585119 0.0002647201
0.01100174 0.0002695076
0.007069177 0.0002523926
0.00682807 0.0002515788
0.01499383 0.000252819
0.01875807 0.00025044
0.02259234 0.0002501559
0.03218852 0.0002463788
0.01391221 0.0002245254
0.01130053 0.0002265911
0.01409521 0.0002278696
0.01261718 0.0002339501
0.02568729 0.0002298081
0.01095351 0.0002314467
0.02283616 0.0002344258
0.02019634 0.000232109
0.01517454 0.0002516529
0.03539863 0.0002587993
0.01782201 0.000267067
0.01492314 0.0002741507
0.0259637 0.0002702791
0.01228591 0.0002850177
0.009574284 0.0002831813
0.006033305 0.0002943945
0.003459963 0.0002878479
0.005157407 0.0002821929
0.01569574 0.0002876098
0.02264531 0.0002845468
0.01452795 0.0002737781
0.02142944 0.0002700939
0.0110092 0.0002855792
0.01261946 0.0002908406
0.003369835 0.0003026878
0.001582893 0.0003000592
0.01254802 0.0003010642
0.02222087 0.0003101841
0.02493547 0.0003184702
0.02487654 0.000312621
0.03797464 0.0003104809
0.02989986 0.000309814
0.01444764 0.0003068231
0.0169124 0.0003046151
0.005562432 0.0003001475
0.01376848 0.0002995352
0.01736621 0.0002696689
0.01326238 0.0002978123
0.004295405 0.0002954241
0.004175202 0.0002677153
0.01195787 0.0002607118
0.005269631 0.0002617741
0.0128156 0.0002866031
0.02409273 0.0002650622
0.01650206 0.0002678531
0.01437102 0.0002681026
0.005570676 0.0002679165
0.007837032 0.0002498968
0.004540419 0.0002528547
0.007893502 0.0002244926
0.008893134 0.0002059821
0.01499287 0.000207859
0.0154833 0.0002091029
0.01593697 0.0002171298
0.01586401 0.0002071547
0.01562495 0.0001993805
0.02093854 0.0002191494
0.0198244 0.0002192572
0.01693255 0.0002113146
0.008115634 0.0002114035
0.00689515 0.0002116369
0.01051454 0.0001996863
0.01199762 0.0002153684
0.02535764 0.0002129713
0.02782547 0.0002087762
0.03193651 0.0001980993
0.02286441 0.0001867636
0.01085306 0.0001924063
0.01185341 0.0001836865
0.009752616 0.000185823
0.006940611 0.0001978679
0.01420962 0.0002034431
0.009505349 0.0001931156
0.01556325 0.000188838
0.02955455 0.0001898396
0.02380868 0.000183238
0.03951592 0.0001758615
0.02040999 0.0001849614
0.02170775 0.0001950675
0.01140329 0.000180937
0.01068652 0.0001892825
0.01932904 0.0001814623
0.0122798 0.0001742986
0.01116824 0.0001738248
0.0148455 0.0001607434
0.02107762 0.0001545871
0.0294116 0.0001537945
0.03155983 0.0001418036
0.04007358 0.0001403783
0.03744736 0.0001366512
0.04423567 0.0001389676
0.05710331 0.0001341044
0.05765455 0.00014525
0.03999277 0.0001479426
0.02618967 0.0001431587
0.04359325 0.0001383235
0.05129879 0.0001294525
0.05977454 0.0001286623
0.06794788 0.0001215945
0.06593992 0.0001264864
0.07066226 0.0001256447
0.07529382 0.0001178051
0.07602015 0.0001144571
0.05350285 0.0001120205
0.05797498 0.0001103707
0.0604376 0.0001106195
0.04464857 0.0001107996
0.06979729 0.0001027518
0.06778703 0.0001041558
0.04784426 9.951957e-05
0.03820516 0.0001050679
0.04071411 0.0001004285
0.01925381 9.764738e-05
0.02155783 9.818812e-05
0.01954992 0.0001012392
0.02966201 0.0001000916
0.02036575 9.824316e-05
0.02638151 9.546616e-05
0.03308597 0.0001041254
0.03100591 0.0001089782
0.01643261 0.0001060084
0.02403855 0.0001124504
0.01451711 0.0001136322
0.03817423 0.0001143085
0.04189129 0.0001098225
0.05238368 0.0001027925
0.05577827 0.0001134398
0.08582911 0.0001073024
0.06657243 0.0001170294
0.05235352 0.0001221486
0.04188988 0.0001167368
0.03838843 0.0001203624
0.0538783 0.0001152871
0.06069419 0.0001208821
0.04797378 0.0001162238
0.07106633 0.0001148332
0.07285588 0.0001158107
0.04694172 0.0001160297
0.05807549 0.0001216838
0.04582415 0.0001177289
0.03393765 0.0001201696
0.03462412 0.0001201975
0.02494883 0.0001209659
0.02111088 0.0001239462
0.03190223 0.0001209484
0.04770204 0.0001305182
0.05093931 0.0001416792
0.03481832 0.0001425079
0.03382409 0.0001412277
0.03191349 0.00014376
0.04058804 0.0001351419
0.03688406 0.0001377985
0.02855594 0.0001329805
0.01555205 0.0001277315
0.02614617 0.0001307229
0.0509926 0.0001253333
0.08557982 0.0001215029
0.1033292 0.0001289847
0.1122355 0.0001369773
0.1145578 0.0001385196
0.1070898 0.000144332
0.04996314 0.000157053
0.05426075 0.0001611479
0.03940416 0.0001653564
0.01947521 0.0001547172
0.01178044 0.000170625
0.02343295 0.0001789675
0.01861547 0.0001650705
0.01297992 0.0001607465
0.007251672 0.0001495095
0.008576075 0.0001335987
0.01892853 0.0001310273
0.02003655 0.000141377
0.01491956 0.0001529964
0.02310674 0.0001478859
0.02613343 0.0001474719
0.02801339 0.0001387446
0.01630421 0.0001403185
0.01333069 0.0001387382
0.01082391 0.0001316409
0.007671345 0.0001187867
0.0081344 0.0001084573
0.01929756 0.0001113717
0.03368614 0.0001120364
0.03141974 0.0001140584
0.04450246 0.0001095421
0.03255832 0.0001021205
0.04042669 9.984784e-05
0.03196435 0.0001083152
0.02268163 0.000110861
0.0302766 0.0001075338
0.038877 0.0001077162
0.05399659 0.0001111806
0.05028734 0.000112606
0.07488755 0.0001110998
0.04565339 0.0001119666
0.0361642 0.0001144433
0.05283153 0.0001051678
0.07817069 0.0001001758
0.05383543 9.320739e-05
0.06852237 9.64528e-05
0.05355027 9.012972e-05
0.0825344 9.020211e-05
0.04800792 9.178469e-05
0.05093012 9.569489e-05
0.02786863 9.468583e-05
0.02212873 9.321123e-05
0.03929896 9.023499e-05
0.0377427 9.310105e-05
0.05180379 9.376401e-05
0.03000282 9.542385e-05
0.02622986 9.532209e-05
0.05052814 0.0001050656
0.06278417 0.0001003076
0.0680233 0.0001054829
0.08089151 0.0001046029
0.06694177 0.0001120531
0.07153091 0.0001154276
0.07985362 0.0001174012
0.09209904 0.0001106963
0.09414729 0.0001043015
0.0695451 9.899173e-05
0.06047858 9.592127e-05
0.0569444 9.415149e-05
0.02563325 9.5051e-05
0.02492255 9.777256e-05
0.0359024 9.896403e-05
0.05305355 9.192445e-05
0.05383473 8.86244e-05
0.05953313 7.866208e-05
0.05467986 7.655358e-05
0.05119616 7.226605e-05
0.02836986 7.227701e-05
0.04829601 7.705237e-05
0.06926719 8.010749e-05
0.04597703 7.01959e-05
0.03910683 6.619469e-05
0.02729369 6.766574e-05
0.04349431 6.560298e-05
0.04987297 6.637143e-05
0.05633608 7.171685e-05
0.09443402 6.970969e-05
0.1067547 6.656284e-05
0.1232746 6.808e-05
0.08645374 6.854421e-05
0.07034553 6.805555e-05
0.07953435 6.925735e-05
0.06617097 7.453182e-05
0.06704078 7.208341e-05
0.03903569 7.044038e-05
0.04760955 7.051782e-05
0.05751086 7.290833e-05
0.07767179 7.381742e-05
0.05454503 7.449007e-05
0.0685919 7.292998e-05
0.06809992 7.608743e-05
0.06065077 7.447241e-05
0.09633147 7.328519e-05
0.0806007 6.555812e-05
0.07358727 6.255351e-05
0.05488581 6.198469e-05
0.02893304 6.053504e-05
0.03353402 6.032515e-05
0.05090597 5.683403e-05
0.04692499 5.590859e-05
0.04313024 4.968037e-05
0.03373125 4.468131e-05
0.01815618 4.271646e-05
0.01167916 4.511178e-05
0.0342243 4.225794e-05
0.04202239 4.161349e-05
0.05225647 4.48427e-05
0.03192461 4.623434e-05
0.03498373 4.712607e-05
0.05249872 5.358929e-05
0.07444386 5.808747e-05
0.06540028 6.234129e-05
0.05199756 6.682641e-05
0.03974971 6.839581e-05
0.04926453 6.194981e-05
0.05409167 5.882953e-05
