probIn scale
0.04024693 2008.525
0.05344183 1880.66
0.0470068 2006.778
0.03158274 2082.363
0.01066838 2151.027
0.007888344 2189.685
0.004440339 2088.267
0.005697234 2163.722
0.004132442 2294.979
0.002477143 2123.948
0.001782732 2063.227
0.008470472 1960.778
0.02041726 1905.5
0.005668897 2055.119
0.01820683 2048.039
0.01094787 1928.904
0.02468274 1898.41
0.01539565 1983.034
0.02459254 2154.292
0.0133294 2171.868
0.01456545 2251.02
0.0220636 2243.728
0.007939715 2531.519
0.01770775 2594.021
0.01124217 2537.674
0.001419544 2660.774
0.004036222 2659.854
0.004735482 2662.437
0.00806147 2535.475
0.009776286 2654.386
0.007180083 2581.44
0.005805645 2319.998
0.007114775 2491.548
0.007120049 2792.297
0.008866927 2825.515
0.001925202 2889.059
0.01115798 2826.701
0.004111861 2813.146
0.01538222 2777.88
0.01259256 2861.392
0.0217684 2816.394
0.01756854 3108.759
0.01791754 2901.972
0.02070346 2790.567
0.005308836 2690.735
0.00292903 2823.185
0.006086304 2932.585
0.003566863 2960.503
0.00214912 3057.105
0.005334991 3317.341
0.01182212 3251.889
0.006725019 3105.788
0.0056968 2907.254
0.003823471 2849.612
0.006181828 3184.458
0.01162001 3174.148
0.007406472 3098.032
0.001815667 3203.266
0.005689144 3031.08
0.003301408 3177.228
0.003830145 2979.539
0.001292309 2892.542
0.001237084 2905.754
0.0121424 3025.579
0.006797975 2749.092
0.0119916 2693.645
0.01377109 2702.08
0.01586373 2719.202
0.01984727 2667.101
0.01306817 2694.293
0.0001951945 2640.984
0.002125264 2834.921
0.007409535 2801.034
0.01666163 3071.172
0.005090841 3178.751
0.01068319 3163.694
0.01621062 3134.847
0.01643212 3268.53
0.02387138 3290.994
0.04537717 3302.245
0.05017718 3364.752
0.01525663 3303.755
0.01318655 3380.331
0.01832363 3458.188
0.008600815 3287.051
0.003460095 3166.803
0.009801977 3008.478
0.002247168 3025.807
0.002333533 2791.005
0.005664395 2749.982
0.004468877 2756.77
0.002878909 2729.416
0.004475731 2681.169
0.009375961 2492.169
0.007575306 2416.746
0.003947054 2522.046
0.005406753 2714.066
0.006400226 2681.63
0.006075715 2717.178
