probIn scale
0.02736524 6025.11
0.05400538 6297.52
0.05051391 6155.951
0.03284002 6103.052
0.03281103 6191.537
0.04025108 5720.795
0.03100335 5986.637
0.03542509 6105.69
0.03374757 6024.15
0.02097047 5978.607
0.0159754 6655.192
0.002973489 6541.955
0.001360526 6254.229
0.001467116 6256.595
0.006843801 6492.394
0.009376762 6732.985
0.001371118 6606.077
0.00499308 6937.532
0.006112771 6844.018
0.02109071 6896.424
0.01032946 6686.962
0.01308998 6663.161
0.005232621 6601.143
0.01095514 6075.002
0.02109195 6118.431
0.01584885 6257.102
0.01432584 7019.556
0.02671234 7045.98
0.02478731 7140.149
0.02184271 7304.379
0.013032 7612.702
0.01862455 8127.399
0.02941218 8225.578
0.03140133 8590.309
0.03219225 7691.452
0.03177329 8428.438
0.03469871 8951.356
0.03073185 8432.798
0.01412504 8873.934
0.003924108 9053.508
0.008318719 8965.403
0.01139867 9581.291
0.01016715 9648.368
0.01972855 9869.733
0.02319603 10124.23
0.02305327 10221.9
0.01658621 10308.16
0.02417299 10614.5
0.02255279 10382.73
0.02646813 9666.093
0.01974662 10035.02
0.02480124 9516.875
0.007701973 10179.51
0.008624164 10043.74
0.008644817 9861.844
0.004097609 9809.184
0.0009031502 9868.626
0.003780462 10368.83
0.002989123 10570.12
0.02439332 10277.78
0.01793731 10871.16
0.004115573 10077.85
0.008552025 10166.09
0.005927085 9937.942
0.001423133 9972.77
0.008480865 9902.395
0.005194005 10222.82
0.005309697 10250.29
0.008422843 10265.29
0.007350246 9962.559
0.00751057 10437.75
0.006719588 10287.6
0.003077932 10276.17
0.0150712 10129.84
0.008330861 10837.99
0.02530378 11505.38
0.02898852 11677.85
0.04079436 11540.55
0.05823663 10564.93
0.03923511 10609.8
0.03354754 11142.71
0.02409096 10726.21
0.01140277 10660.43
0.02570398 10537.14
0.0115476 9698.021
0.004886303 8818.799
0.01225561 10175.6
0.006803248 10676.54
0.008506651 11061.69
0.01265202 10723.25
0.01061571 10274.56
0.01273078 9478.282
0.001327077 9035.369
0.01054769 9460.5
0.01257976 8852.159
0.008875232 8264.739
0.01903514 8332.654
0.01114609 8670.233
0.01769299 8437.569
0.01749783 8485.6
0.001815615 8380.427
0.0009059238 8652.949
0.01761329 8410.08
0.01549652 8726.022
0.04342011 8439.444
0.03506767 9319.468
0.02261727 9031.917
0.006304527 8680.634
0.003044927 8440.332
0.001601496 8369.661
0.003305407 8588.576
0.004857644 9098.258
0.001364624 9413.315
0.004450624 9422.372
0.01351253 9675.135
0.02244052 8677.979
0.0144959 9113.304
0.01206876 9423.003
0.02263362 8972.314
0.01002325 9170.75
0.01198048 8900.012
0.02452134 8723.096
0.03947562 7830.444
0.04469219 7908.889
0.04327834 8012.244
0.03000875 7961.25
0.02912038 7531.037
0.03182936 7087.402
0.03764099 7376.097
0.03319204 7095.709
0.01952581 7216.456
0.03003523 6950.324
0.03909664 7055.146
0.03272571 6572.44
0.02546713 6262.533
0.02811485 6412.421
0.01246887 6241.698
0.01430318 6074.489
0.01622155 6409.735
0.0443697 6076.231
0.02886219 6138.327
0.02772943 6005.063
0.03478153 5854.254
0.04652781 6112.741
0.03856061 5846.732
0.03140038 6494.142
0.02661671 6710.51
0.03689514 6633.205
0.009026877 6960.339
0.008647749 7171.42
0.02268505 6863.096
0.01827919 6723.62
0.0236395 6458.635
0.03156169 6822.555
0.01308142 6827.534
0.006987619 6318.112
0.002161649 6077.091
0.004310914 6862.347
0.006315073 6752.394
0.005103084 7304.105
0.01529999 7079.328
0.04175731 7144.925
0.04548267 6605.5
0.04265495 7003.443
0.04076616 7369.55
0.08006784 6904.087
0.06441065 6974.103
0.05978145 7070.144
0.02766201 7337.421
0.02287224 7482.988
0.007811174 7603.092
0.0195568 7963.666
0.01983941 8538.192
0.02649901 8499.344
0.02178783 8643.888
0.03526868 8768.985
0.02004576 8279.76
0.02059148 7815.004
0.01077535 8262.181
0.01559923 8521.021
0.03117254 8587.426
0.03393641 9324.995
0.008112199 9839.841
0.006010769 10281.55
0.0125146 9880.425
0.005882045 9402.236
0.01292166 9069.065
0.009877442 9318.522
0.005331181 9350.571
0.01218485 9310.497
0.01319452 9402.662
0.01982323 9383.219
0.02898235 9039.017
0.02084576 8852.704
0.01692256 8710.329
0.009983905 8688.007
0.01069382 9842.603
0.01567823 9317.836
0.02311149 9974.951
0.02082653 10589.82
0.01426587 10643.86
0.03145492 11705.43
0.03024448 11455.2
0.02095636 11198.05
0.008804794 10784.46
0.003693676 10958.12
0.005274301 10633
0.006942388 10778.3
0.004151182 10232.54
0.004045234 10006.52
0.006259363 10092.7
0.002744384 9970.827
0.001493856 10558.22
0.001565457 10307.11
0.006303216 11031.49
0.009231295 11859.81
0.005440912 12471.02
0.01465123 11285.66
0.006641299 11157.27
0.007369037 11070.73
0.006510744 10974.06
0.001556746 10674.32
0.006994021 11122.95
0.01265626 10247.6
0.01512732 10533.53
0.01738442 10705.45
0.008128228 10446.64
0.007398442 10023.19
0.007333842 10249.26
0.01316611 9837.726
0.02476823 9533.833
0.01537522 9155.202
0.02775622 9035.511
0.01227348 9166.675
0.01377487 8677.52
0.01053623 8355.974
0.001309162 7845.403
0.002227525 7831.13
0.005561871 7833.227
0.01528469 7833.14
0.01839538 8146.039
0.009367987 7975.372
0.01035748 7926.992
0.01749957 7865.896
0.0103747 7617.792
0.01489801 7966.85
0.02747872 7644.396
0.0259631 7771.563
0.01258093 7790.363
0.01826334 7785.856
0.02660367 8275.096
0.0464882 8395.724
0.02485029 9132.714
0.0152382 9113.343
0.03181959 8987.182
0.05991851 9271.226
0.03496966 9811.082
0.05450345 10251.87
0.02948539 10431.95
0.03418008 9965.877
0.06227792 9684.544
0.03811413 10015.23
0.02384847 9932.411
0.02064542 10274.26
0.01764138 10418.19
0.02842057 10752.75
0.01747588 10639.59
0.007188983 10195.47
0.009003369 10189.46
0.005366447 9709.04
0.02234403 9015.642
0.01826924 9121.467
0.007602665 8880.544
0.003226725 9119.831
0.0008609897 8724.901
0.0003129169 8349.872
0.01000637 8443.757
0.004618614 8716.815
0.005057308 8931.604
0.01122881 9221.254
0.01025082 9941.96
0.003305211 9869.2
0.007949879 9517.692
0.008922799 9434.9
0.00435106 9971.343
0.005550379 11052.42
0.0055144 11136.42
0.009525026 12397.61
0.00561595 13217.15
0.006200879 12834.67
0.003833926 11690.61
0.001014348 12644.06
0.001178922 12988.78
0.004619503 12136.05
0.00877179 11729.09
0.001892888 12056.98
0.007176913 12961.88
0.003031071 13366.11
0.000846386 14029.85
0.007467178 14028.44
0.003021124 14278.94
0.003144957 14307.21
0.01931582 14679.61
0.0194688 15532.42
0.02126224 15895.87
0.02219026 15498.43
0.01630303 16408.63
0.01242136 17605.76
0.00512512 17523.27
0.007400322 18739.68
0.00356833 19738.91
0.003289669 21073.77
0.004637537 20708.56
0.0006214356 20452.04
0.001135434 20693.06
0.01834538 22328.24
0.005622077 23904.76
0.01250268 24209.26
0.004672406 23097.76
0.01035332 20866.59
0.00957981 22581.69
0.01279331 23135.5
0.01020385 22689.72
0.009392019 21074.77
0.005945232 21013.03
0.0006664201 19180.67
0.003058921 19973.78
0.001000766 21052.74
0.003349848 19088.07
0.006616936 20472.29
0.004264184 21431.53
0.002728874 21107.5
0.002769813 23327.14
0.006764613 23078.11
0.007118026 21666.76
0.01262657 22967.41
0.01083193 24147.4
0.003553771 22677.08
0.001732228 22137.5
0.001142047 24332.61
0.003279759 24718.01
0.01127071 24877.16
0.0102267 23049.96
0.009730688 22377.71
0.01320788 22860.07
0.01301993 22563.4
0.01951402 21209.66
0.01560197 21780.68
0.01534458 22013.33
0.0177423 21470.75
0.01327773 21318.82
0.01392923 21031.82
0.0170251 21759.88
0.005611976 21978.31
0.01178925 22208.77
0.01121546 24446.18
0.009802985 23190.83
0.007307959 24932.32
0.00986039 25207.45
0.01091355 26634.08
0.0161154 25878.18
0.01401773 25440.79
0.02096066 23401.54
0.01580489 21800.76
0.004984968 20274.02
0.002868028 21078.19
0.002769931 20004.14
0.005248381 19146.57
0.009863517 20399.95
0.001854269 20297.73
0.001155387 19464.96
0.002253641 19020.72
0.003657968 19733.82
0.001334477 19139.34
0.002994092 18768.98
0.003419157 18346.21
0.008246333 18360.8
0.006912629 19518.34
0.02152948 19034.59
0.01813615 19031.51
0.002075276 18397.08
0.0006030198 19784.79
0.004256678 19604.74
0.003407306 20591.03
0.003229557 21858.24
0.003199824 21363.87
0.003443662 21293.29
0.003374538 20550.48
0.001710358 21091.02
0.002493038 21066.08
0.005558716 21553.47
0.01273207 21427.29
0.008747051 21440.8
0.007273012 21184.75
0.0003541738 19921.63
0.002106515 20393.95
0.002603299 20124.88
0.01240178 17871.03
0.01647104 18540.95
0.0151284 18516.94
0.008012799 18584.29
0.004897627 18223.01
0.01206288 17380.2
0.01601442 18452.62
0.01171883 18795.99
0.01413719 18399.15
0.006309346 19408.15
0.002710509 20288.43
0.005352885 21059.86
0.003003236 19006.92
0.008238858 18910.19
0.006502976 20115.11
0.0005443856 19974.38
0.004191329 19292.56
0.0007434883 20763.88
0.001592562 22049.63
0.0005073922 21233.7
0.001443389 21633.73
0.003624118 22008.55
0.006506925 22756.69
0.009107463 23992.98
0.01151741 24469.42
0.007552633 23527.1
0.004185621 21080.8
0.001189129 20467.33
0.004210611 21532.52
0.008880857 20218.85
0.0005257243 19634.46
0.005347865 19794.71
0.01396468 20529.06
0.009439861 21895.08
0.008850516 21145.5
0.003608936 20587.38
0.001386009 20625.86
0.006469898 22941.53
0.01021264 22149.44
0.008594181 22667.91
0.009951298 22049.58
0.01335951 21127.12
0.01392342 20747.08
0.008495258 22249.09
0.002377712 21996.77
0.004797765 22180.44
0.008508535 23582.35
0.002953911 23292.61
0.001838096 24204.5
0.009257055 23190.12
0.007440091 21243.84
0.005347847 21390.03
0.001847856 20756.17
0.003767888 20322.78
0.007055318 21018.76
0.009229991 20725.99
0.009176976 22585.36
0.004297611 22880.21
0.003422515 23678.9
0.008466412 23373.39
0.01485438 22617.13
0.01934993 24519.06
0.01702469 24084.65
0.01324605 23804.23
0.005054005 23273.67
0.002723772 24512.33
0.006481735 25624.15
0.002777482 27360.34
0.006433141 27775.37
0.00533618 27079.19
0.0008187545 27415.37
0.00224595 28120.6
0.0005507732 27237.6
0.006699646 25707.62
0.006490847 24734.87
0.004778483 23996.78
0.004931748 23930.93
0.002009108 25943.01
0.01366155 26161.38
0.007676493 24528.69
0.01184692 22720.42
0.006085478 22566.42
0.006114565 24124.53
0.01030015 23177.88
0.001069298 23084.8
0.003039657 22109.11
0.0104065 22435.16
0.007248419 22466.26
