probIn scale
0.07528958 0.02292488
0.07319121 0.02337563
0.05637538 0.02386408
0.05797895 0.02450804
0.0523725 0.02472523
0.04996837 0.0242065
0.07560578 0.02392365
0.05857786 0.02249242
0.02379177 0.02394591
0.01747295 0.02393579
0.02099819 0.02329754
0.005969306 0.02270626
0.00749939 0.02621763
0.01431243 0.02530343
0.01768059 0.02553797
0.01849882 0.0279492
0.0211085 0.02967819
0.01478741 0.03048088
0.02318485 0.02976702
0.02009178 0.02904599
0.02397443 0.02911284
0.01856417 0.03092444
0.01003076 0.02970297
0.01786718 0.02818211
0.01205389 0.02871681
0.01673419 0.0269231
0.01219829 0.02671336
0.01786956 0.02534171
0.01470592 0.0248428
0.01927512 0.02469185
0.02064679 0.02515673
0.01719827 0.02513188
0.01426448 0.02567886
0.009794213 0.02619565
0.01632316 0.02478628
0.03246893 0.02467434
0.04189117 0.02449871
0.0160526 0.0225101
0.02810612 0.02192526
0.01377122 0.02071909
0.009158097 0.01973879
0.01076378 0.0202423
0.02040546 0.02072947
0.007050665 0.02147322
0.01553046 0.02047085
0.004080717 0.02047665
0.01668128 0.01932319
0.02014138 0.01917727
0.01912851 0.01990093
0.02918935 0.01784203
0.0571227 0.01761267
0.03560103 0.01890005
0.03611098 0.01916005
0.02626812 0.01931378
0.04846147 0.02095218
0.04387369 0.02045148
0.04653969 0.021144
0.045409 0.02177355
0.04545536 0.02138353
0.02934194 0.02328936
0.03997565 0.02325247
0.03094601 0.02460349
0.02224826 0.02444824
0.01129874 0.02600491
0.03585913 0.02565408
0.02880444 0.02605284
0.02945882 0.026883
0.02666337 0.02653635
0.02544442 0.02526218
0.02101478 0.02871144
0.01732886 0.0281812
0.01307121 0.02975735
0.009636165 0.02823279
0.01066337 0.03083402
0.027499 0.03001664
0.02287888 0.0288419
0.01980137 0.02849225
0.03933733 0.02715661
0.01328837 0.02768951
0.006750381 0.02627392
0.009653005 0.02521138
0.002339208 0.02486297
0.008863605 0.02554241
0.00954872 0.02490199
0.01036854 0.02324036
0.0101625 0.0230922
0.01523545 0.02207641
0.02414692 0.02304632
0.03796246 0.02336355
0.0250459 0.02254777
0.03380693 0.02130021
0.01464409 0.02145675
0.008787904 0.02221901
0.009228351 0.0214232
0.01128072 0.0210381
0.004354076 0.02031255
0.009616548 0.01965383
0.01410993 0.01984162
0.01195278 0.02000759
0.01652687 0.02067991
0.02531718 0.02054745
0.02417184 0.01974343
0.01042118 0.01956749
0.009531944 0.01832486
0.01260525 0.01855441
0.00412268 0.01771281
0.01085753 0.01738629
0.01559425 0.01707887
0.03526012 0.01734015
0.03188935 0.01642084
0.01601663 0.01614024
0.02176422 0.01527509
0.01460125 0.0141523
0.01564861 0.01334315
0.01426189 0.01326777
0.03045523 0.01228956
0.04782253 0.01305142
0.04284706 0.01284105
0.05200208 0.01217129
0.03356817 0.01263437
0.03075506 0.01178614
0.02938875 0.01137612
0.03495435 0.01156957
0.0345856 0.011574
0.02585539 0.01099682
0.038528 0.01155962
0.05352028 0.01188653
0.06261232 0.01164284
0.0741247 0.01246626
0.07436364 0.01094831
0.0493857 0.01059481
0.04146052 0.01005008
0.0381204 0.008913791
0.04059685 0.009575751
0.03453277 0.009707892
0.06215122 0.00982779
0.07150527 0.009326738
0.09147779 0.009072501
0.08040017 0.009266175
0.0686278 0.009654116
0.07260418 0.00984968
0.04782753 0.009945633
0.01086094 0.009972311
0.009862652 0.009546442
0.03599478 0.009593237
0.06313047 0.009925228
0.1002533 0.01102546
0.1138055 0.01111292
0.1060034 0.01121182
0.06915837 0.01001431
0.05421876 0.01012531
0.07260246 0.01082777
0.05540566 0.009990268
0.07306163 0.01016673
0.07250509 0.009530293
0.02744504 0.009701811
0.03117696 0.009695286
0.03457179 0.01013042
0.02260997 0.009214263
0.0185922 0.009382349
0.008415181 0.008882552
0.01240498 0.009177777
0.02401459 0.00927768
0.01898367 0.009490702
0.02727899 0.009598589
0.03863959 0.009535754
0.04098402 0.009891526
0.03263167 0.01052765
0.01813183 0.0109825
0.03137264 0.01212614
0.01960188 0.01222825
0.0174187 0.01263722
0.04575597 0.01196565
0.05634717 0.01184345
0.07236379 0.0122743
0.04598133 0.01302128
0.0676274 0.01303087
0.08137757 0.0129561
0.07074371 0.0137305
0.05405925 0.01447297
0.04812017 0.01603183
0.03747494 0.01700733
0.03344695 0.01673117
0.03824819 0.01713477
0.02536668 0.01734913
0.02020954 0.01668903
0.009394478 0.0157235
0.0371178 0.01650852
0.01471099 0.01489237
0.02459584 0.01515995
0.03175556 0.01610255
0.04155841 0.01568686
0.05181381 0.01564546
0.057001 0.01592347
0.06887818 0.01593768
0.07494095 0.01515823
0.09024704 0.01506772
0.06795507 0.01424923
0.04500777 0.01482709
0.03768021 0.01442722
0.02928453 0.01400564
0.03644617 0.01406377
0.05002854 0.01452844
0.04016469 0.01460811
0.04851524 0.01464304
0.0552642 0.0147557
0.05170021 0.01433778
0.04248904 0.01436371
0.02455967 0.01462824
0.03604946 0.01452767
0.04160847 0.01337809
0.02631983 0.01268439
0.05152143 0.0131067
0.06269701 0.01281556
0.07125425 0.012909
0.04951127 0.01295397
0.03786228 0.01307134
0.02627426 0.01209976
0.02471484 0.01194617
0.02059171 0.01339713
0.01377231 0.0141292
0.01425547 0.01471449
0.0256422 0.01380727
0.01210198 0.01339001
0.01913906 0.01301315
0.02075796 0.0125626
0.02203691 0.01266644
0.01083025 0.01205209
0.02234574 0.01148503
0.03218894 0.01193694
0.03115638 0.01169128
0.05356116 0.01152132
0.0806508 0.01166063
0.06252901 0.01163137
0.05312929 0.01138709
0.05354545 0.01136017
0.04976814 0.01158752
0.07101151 0.01242173
0.05313783 0.01259487
0.04193045 0.01208383
0.02407134 0.01127947
0.04513439 0.01165217
0.05678956 0.0116386
0.04144278 0.0120241
0.04550628 0.01210085
0.0768748 0.01271767
0.09453748 0.01304568
0.04674137 0.01379706
0.05541856 0.01473599
0.03993454 0.01486123
0.03483256 0.01552352
0.04299954 0.01487917
0.04450993 0.01535742
0.0455745 0.01614314
0.06327463 0.01627744
0.05661098 0.0152027
0.06618335 0.01600845
0.064425 0.01579016
0.04227937 0.01555198
0.03971113 0.01518092
0.04597076 0.01667221
0.05862785 0.01725867
0.06545026 0.01786165
0.02888971 0.01773342
0.03678702 0.01770036
0.01789598 0.01694942
0.0171306 0.01660735
0.02018813 0.01725991
0.01890567 0.01820372
0.02066946 0.01792305
0.01873059 0.01799059
0.02676512 0.01782365
0.01731111 0.0188882
0.02630607 0.02028945
0.01177598 0.0204992
0.008036051 0.0216371
0.009818025 0.02312691
0.00958949 0.02413607
0.01398953 0.02400314
0.01376241 0.02493629
0.002998768 0.02584289
0.01195406 0.02622617
0.02925301 0.02395287
0.06856717 0.02324861
0.03200642 0.02296682
0.04784899 0.02211871
0.0307526 0.02137857
0.02717528 0.02112195
0.02273672 0.02194014
0.02233249 0.02292073
