probIn scale
0.03307769 0.0140462
0.04221016 0.013385
0.03066628 0.01398275
0.02110039 0.01409816
0.021473 0.01463173
0.02544527 0.01379493
0.03583677 0.01453263
0.02429254 0.01392469
0.02442978 0.01449342
0.01612944 0.01426937
0.01346299 0.01432151
0.02544231 0.01455022
0.03964175 0.01511746
0.02346869 0.01558412
0.04107129 0.01557267
0.04481533 0.01547176
0.01609533 0.01435921
0.02003116 0.0131666
0.01367945 0.0118464
0.02434743 0.01205363
0.01225387 0.01338557
0.007103277 0.01360841
0.005826395 0.01366191
0.01017561 0.01360986
0.02058201 0.01490245
0.01792375 0.01553354
0.01030387 0.01644525
0.009579369 0.01564694
0.01800833 0.01622133
0.02787334 0.01672692
0.0119103 0.01531061
0.02195142 0.0144877
0.03649664 0.01406344
0.02031939 0.01528148
0.01918187 0.01570546
0.01377966 0.01606127
0.004291957 0.01638912
0.007062315 0.01599839
0.01193772 0.0163854
0.01099476 0.01646248
0.008897929 0.01595518
0.01354935 0.01559983
0.02882564 0.01674133
0.02095204 0.01796713
0.01242918 0.01712453
0.0171229 0.0177909
0.01111995 0.01720425
0.006709641 0.01668132
0.01247132 0.01660963
0.01492058 0.01601976
0.01292941 0.01572879
0.02884847 0.01545132
0.02460792 0.01516055
0.03220678 0.01424551
0.03083237 0.01436903
0.02210828 0.01399069
0.02028207 0.01515791
0.03436368 0.01466391
0.03708208 0.01480642
0.03053602 0.01512489
0.03747099 0.01640131
0.04137497 0.01565828
0.03077458 0.01530563
0.0224563 0.01568976
0.01905095 0.01651306
0.02102702 0.01648481
0.01271298 0.01690405
0.004575654 0.01696113
0.006409333 0.01546994
0.01531656 0.01492016
0.01957425 0.01491454
0.02328319 0.01484737
0.02025523 0.01368359
0.02489705 0.01297235
0.006097598 0.01268788
0.005671953 0.01258852
0.01222424 0.01284325
0.02059626 0.01285528
0.01614668 0.01305196
0.01745621 0.01325552
0.04053621 0.01356492
0.03787708 0.01272763
0.04212513 0.01264805
0.01926105 0.01265764
0.0208364 0.0121175
0.01675043 0.01140596
0.02171522 0.01172956
0.04866122 0.01223338
0.05806672 0.01260249
0.03613344 0.01176387
0.02992326 0.01075326
0.02752316 0.01071557
0.02539372 0.01053508
0.06078799 0.01050369
0.04637072 0.01046152
0.03913767 0.009071069
0.03607096 0.009914642
0.0322227 0.009752141
0.01278462 0.009454579
0.01177651 0.009080195
0.03059531 0.009528109
0.03059246 0.008927612
0.0199449 0.009147088
0.0270215 0.009209215
0.02514337 0.009257395
0.02149473 0.008677132
0.01035011 0.008659932
0.0054387 0.008462142
0.01215424 0.009005566
0.02527142 0.008497228
0.0322818 0.008317621
0.0117807 0.008245859
0.009156326 0.007441086
0.01498439 0.007352122
0.01134531 0.006887671
0.02209936 0.006581708
0.03747421 0.005547547
0.03776852 0.005672675
0.02320542 0.005833382
0.01627946 0.005334459
0.01305963 0.005573953
0.0192223 0.005755959
0.02413367 0.005838441
0.03092464 0.005875488
0.07641964 0.006093164
0.04775592 0.006309416
0.05006438 0.006238095
0.05394308 0.006409444
0.05763261 0.006427013
0.06593417 0.006575447
0.0779963 0.00679585
0.07097918 0.006238159
0.06542145 0.006805815
0.0378025 0.006990187
0.03899163 0.00674095
0.01831352 0.006723476
0.01068277 0.006357724
0.02759963 0.006413659
0.03368761 0.006765953
0.02225081 0.006340325
0.03111949 0.005753603
0.04438487 0.006044331
0.03146094 0.006434841
0.05340716 0.00674334
0.06287735 0.007172193
0.05728607 0.00745946
0.05351486 0.007750865
0.03776437 0.0072392
0.02412935 0.006855532
0.01961634 0.007041904
0.02856949 0.006876974
0.03052595 0.006987117
0.0527684 0.007217001
