probIn scale
0.04941824 0.01290163
0.02010306 0.01397777
0.02069792 0.01359148
0.01612643 0.01305419
0.03103445 0.01259138
0.02094641 0.0123176
0.02390941 0.01312055
0.01583566 0.01272381
0.01765818 0.01388987
0.008149008 0.01482207
0.002012565 0.01397227
0.008474543 0.01449517
0.01682679 0.01389384
0.03848649 0.01388709
0.03583921 0.01318634
0.05134905 0.01329504
0.04292264 0.01277246
0.02234717 0.0132772
0.005286 0.01365909
0.003068095 0.01432298
0.01550611 0.01487298
0.01269083 0.01474275
0.005620718 0.01543811
0.01300522 0.01617239
0.01881669 0.01584851
0.01648654 0.01668097
0.01585701 0.01655562
0.008888563 0.0171522
0.002196192 0.01622719
0.007742667 0.01741577
0.001513237 0.01569888
0.004981056 0.0173151
0.002768129 0.01725299
0.005101305 0.01781339
0.004599603 0.0168806
0.01041505 0.01777246
0.01889517 0.01984088
0.01536756 0.02028579
0.02658409 0.02070462
0.02451225 0.02053503
0.02406583 0.02114796
0.007856876 0.02238828
0.00852941 0.02137926
0.003309864 0.02099945
0.003848305 0.02005053
0.007634859 0.0209933
0.01448225 0.02062369
0.007328608 0.01923791
0.009266031 0.0199184
0.01904933 0.02090923
0.02030813 0.02034174
0.0194878 0.01992632
0.006407601 0.01996471
0.005867553 0.01944443
0.003766635 0.0193775
0.006962413 0.01960785
0.003152955 0.01994266
0.006259484 0.02037402
0.009252705 0.02009502
0.006845151 0.01971085
0.005865343 0.01952956
0.007490124 0.01857563
0.00635346 0.01696917
0.01460175 0.01774742
0.005261748 0.01710723
0.01084228 0.01687137
0.005609216 0.0176141
0.0136676 0.01678923
0.01008625 0.01640403
0.005631638 0.01644192
0.0128258 0.01731926
0.005357801 0.01660386
0.0009667508 0.01623471
0.002697075 0.01671937
0.0006521139 0.01646042
0.003571238 0.01645952
0.00224591 0.0167115
0.005979092 0.01616869
0.01086946 0.01694789
0.01640844 0.01767247
0.01613094 0.01655536
0.0008066544 0.01674542
0.002393419 0.01653168
0.007209832 0.01588486
0.01568471 0.01589354
0.009025466 0.01462047
0.02883376 0.01303184
0.04204421 0.01336781
0.02355288 0.01254106
0.005947276 0.01176588
0.01496807 0.01239451
0.01942095 0.01316321
0.00884703 0.01368045
0.00771681 0.01397442
0.007978865 0.01331016
0.01221393 0.01351753
0.01796251 0.01428146
0.008549083 0.01333629
0.010704 0.01374681
0.01833124 0.01298809
0.02477872 0.01304711
0.01621536 0.01297774
0.009203509 0.01225245
0.01012723 0.01160835
0.01338484 0.01210341
0.01483608 0.01273753
0.007813067 0.01298545
0.01541014 0.01290875
0.0263076 0.01282151
0.02654015 0.01356946
0.01944384 0.0133126
0.009870752 0.01344063
0.01545531 0.01265274
0.007719447 0.01291308
0.03176782 0.01273797
0.03552599 0.01263033
0.02468437 0.01199928
0.0161346 0.01277221
0.0120375 0.01271975
0.01510919 0.01392802
0.01917046 0.01352059
0.0245454 0.013158
0.02348546 0.01292167
0.01120194 0.01361221
0.01276375 0.01263733
0.01012795 0.01221993
0.01972201 0.01197856
0.02003037 0.01150625
0.02382752 0.01212342
0.01119979 0.01229617
0.02305564 0.01222627
0.01916832 0.01283701
0.01169129 0.01291276
0.03056357 0.01312352
0.02897371 0.01192333
0.008583661 0.01203655
0.0221684 0.01164042
0.02197232 0.0117175
0.04669579 0.01120344
0.02825625 0.0116552
0.03790338 0.0117465
0.02488622 0.01086049
0.01724994 0.01114551
0.02710335 0.01128671
0.022811 0.0109222
0.0104598 0.01134012
0.002060441 0.01235405
0.008597587 0.01223555
0.0128066 0.01122858
0.002284253 0.01112422
0.004530283 0.01153792
0.003779191 0.01094711
0.0023732 0.01112433
0.006430892 0.01178595
0.0160646 0.01161283
0.03345473 0.01266843
0.04624972 0.01170332
0.04258879 0.01201339
0.04265167 0.01246833
0.03650155 0.01190868
0.04928269 0.0125344
0.03805416 0.01285319
0.03886866 0.012071
0.02048682 0.0123084
0.03159927 0.01105063
0.02706705 0.01107842
0.0340083 0.0120662
0.03024562 0.01126462
0.02251866 0.01158951
0.01717738 0.0125201
0.01634406 0.01204355
0.007663035 0.01194961
0.009237654 0.01177257
0.01131994 0.01211813
0.01597909 0.01171217
0.01718755 0.01198097
0.02225552 0.01189889
0.02558305 0.01167251
0.01929676 0.01133595
0.02451 0.0113765
0.01622848 0.01198012
0.01761389 0.01245098
