probIn scale
0.06303751 1018.008
0.03707444 1031.714
0.03453025 993.5426
0.03655783 1010.458
0.0536274 971.9536
0.06068382 996.4525
0.0738271 1061.8
0.05662987 1038.589
0.0449621 1064.471
0.04073478 1113.281
0.02654846 1149.752
0.05529883 1150.477
0.03197967 1232.819
0.02970912 1200.883
0.03377888 1181.015
0.03642389 1138.138
0.01937184 1137.051
0.02114366 1163.718
0.05219793 1172.42
0.05607492 1205.997
0.05889981 1150.073
0.05340066 1213.56
0.05456574 1264.161
0.05322917 1310.839
0.06893089 1312.08
0.05260232 1322.27
0.07074968 1406.521
0.07627883 1361.725
0.07168298 1285.877
0.02337643 1260.216
0.01912776 1235.28
0.02611214 1292.836
0.02817833 1366.08
0.04010493 1399.502
0.02195022 1376.73
0.03877181 1350.994
0.03370825 1360.527
0.02032746 1435.857
0.01962206 1347.832
0.006336665 1303.994
0.018145 1334.834
0.01693617 1219.137
0.01307481 1222.671
0.01648699 1105.079
0.01881871 1041.769
0.01487588 1073.196
0.02206288 1098.484
0.02021798 1137.619
0.006415827 1073.048
0.006255282 1043.554
0.01851824 1025.293
0.02071043 1037.328
0.05093714 1131.578
0.05287899 1110.306
0.05822812 1118.847
0.06569364 1131.315
0.09851232 1122.826
0.06731459 1093.142
0.04403031 1054.873
0.04195951 1083.862
0.03238789 1126.591
0.01711862 1178.939
0.01966628 1173.678
0.03483059 1146.007
0.0617723 1176.754
0.03479667 1172.89
0.04729647 1227.833
0.02811149 1240.693
0.02584399 1200.966
0.01584485 1298.863
0.01063491 1331.373
0.02180539 1329.378
0.02163348 1316.321
0.04190326 1386.938
0.03682685 1312.984
0.02667103 1226.989
0.007822271 1237.27
0.0163867 1249.283
0.01427839 1226.259
0.02344577 1194.322
0.02960062 1292.587
0.02995905 1308.947
0.0329654 1374.347
0.04007503 1315.11
0.0411565 1388.202
0.02958656 1351.012
0.02697756 1378.499
0.04253378 1303.121
0.04755567 1306.874
0.0510192 1378.397
0.04772584 1475.28
0.05560387 1359.763
0.03352013 1295.386
0.04882164 1346.445
0.07212915 1332.466
0.04431944 1268.336
0.02922061 1303.463
0.03630147 1306.741
0.02069315 1221.154
0.03162404 1225.21
0.03414528 1274.259
0.03741869 1220.107
0.03711743 1238.666
0.02384882 1383.368
0.02404222 1494.914
0.01008935 1471.551
0.01563531 1508.882
0.02459451 1429.067
0.02469258 1491.595
0.02774592 1660.992
0.02452577 1676.215
0.02229273 1750.182
0.01551293 1868.708
0.02022154 1874.313
0.01973672 2070.781
0.007323765 1993.882
0.01831443 2007.464
