probIn scale
0.03956421 5877.427
0.03445736 5866.411
0.01852127 5767.054
0.0161332 5995.984
0.02021345 5965.906
0.008118483 6339.47
0.0178153 6461.932
0.03903654 6359.391
0.03718023 6387.316
0.02997905 6443.625
0.01297724 6328.842
0.01143319 6363.773
0.01017889 6542.069
0.005272494 6572.344
0.00738287 6711.896
0.009130301 7079.055
0.01635052 6901.631
0.009870195 7131.182
0.003965201 7450.151
0.003699406 7406.035
0.01019717 6861.322
0.01735349 6494.979
0.03822619 6438.931
0.01663149 6211.201
0.02411805 6486.766
0.007645321 6689.486
0.0086316 6902.286
0.01116292 7305.734
0.02697969 6762.2
0.01896311 6693.454
0.03888864 6376.797
0.02658567 7000.737
0.03268441 6601.229
0.01492979 6065.153
0.03165565 5891.896
0.03867797 5996.716
0.04772542 6031.275
0.05176529 6180.868
0.06564831 6204.887
0.05971498 6147.145
0.02730551 6024.944
0.02275717 6216.665
0.0101321 6640.359
0.01122324 6856.354
0.01810717 7453.356
0.009311592 7678.775
0.01969301 6835.635
0.00269494 6667.843
0.004977135 6768.523
0.003396421 6693.465
0.007201553 6871.694
0.01067929 7026.86
0.01304113 6949.052
0.004782235 6931.287
0.0122935 6751.401
0.01058949 7599.535
0.007346469 7113.425
0.01192969 7461.444
0.007996728 7653.528
0.004939436 7771.716
0.02995502 7920.131
0.02978455 7526.968
0.02463159 7735.442
0.007900678 7988.322
0.006481043 7765.267
0.008296641 7959.498
0.002948936 7735.316
0.004003593 7582.044
0.0008166493 7844.867
0.00506976 8358.421
0.0131541 8868.078
0.00427726 8674.784
0.001636259 8822.313
0.01109601 9056.118
0.003262347 9205.924
0.00783135 9371.106
0.0008947632 9367.262
0.003446125 8886.684
0.002736736 9353.82
0.006254223 9800.845
0.0009770909 10170.6
0.008784664 9612.932
0.005424112 9075.825
0.004568941 9063.387
0.01081504 9088.386
0.01253087 8995.528
0.008730821 8103.904
0.01080324 8125.045
0.02192438 8359.83
0.003882069 9084.179
0.0005281118 8672.719
0.01616115 8259.841
0.007348075 8126.906
0.007821064 8564.532
0.004814821 9196.142
0.005017086 9362.296
0.007790549 9787.175
0.004785415 9279.933
0.001343508 9254.156
0.0006268634 10612.32
0.0008410873 10126.81
0.003635402 10290.02
0.002329725 9809.998
0.002460622 9392.671
0.004273282 9143.861
0.004968154 8887.561
0.004244283 8454.497
0.01092364 8127.667
0.01719125 7894.453
0.01033024 7974.817
0.0057202 7731.209
0.01206588 7669.074
0.004938257 7907.68
0.002363726 7402.792
0.01228169 7332.519
0.01554311 7107.527
0.0143452 7875.047
0.02729251 8382.865
0.02630659 8232.307
0.02568718 8308.042
0.02641333 8646.254
0.01591968 9231.052
0.01951069 9290.805
0.01718568 8644.537
0.01674117 8819.287
0.002830599 8828.308
0.01009571 7947.722
0.004903705 8164.788
0.006847367 8486.666
0.007144847 8112.935
0.001524865 8149.865
0.0014784 8107.257
0.005670614 8140.169
0.002912605 8035.129
0.0009129809 8131.129
0.001991009 8341.203
0.006342088 9157.768
0.00334093 9574.14
0.007910898 9062.361
0.01962894 9180.346
0.03512312 10188.61
0.011437 10093.64
0.00112988 10851.39
0.002154465 9764.763
0.001314456 10229.9
0.0002783749 10471.86
0.0009355284 10407.2
0.000686308 10472.34
0.002712722 10986.53
0.004363154 11481.22
0.00378865 11075.33
0.004879942 11071.06
0.0082747 10669.25
0.01389844 10491.83
0.0197387 10284.7
0.01755527 10344.36
0.006188953 10727.73
0.001154835 10851.07
0.005104702 10983.08
0.0005730213 10597.07
0.001445825 10615.62
0.002800729 9861.6
0.003424403 9973.188
0.001243355 10743.7
0.00607362 10475.17
0.005029652 9841.347
0.001650339 10571.35
0.000739485 9935.058
0.0007582832 10259.91
0.002034985 11048.66
0.01092719 10893.31
0.02174844 10341.93
0.02447339 10257.41
0.006477241 10231.18
0.01130029 11445.27
0.00436869 11658.38
0.01264907 11299.29
0.006690777 10409.79
0.003217949 10669.11
0.00182218 10802.97
0.009324216 10628.81
0.001645625 10699.43
0.001339588 10880.84
0.001485711 11558.32
0.001462291 11061.82
0.00175768 10758.84
0.006015138 11196.78
0.001254299 11376.9
0.00396955 11742.93
0.001522307 10633.27
0.001050122 11462.94
0.01174463 11328.75
0.009511066 11639.42
0.004536672 11464.23
0.01359635 12189.49
0.01362408 12074.21
0.02358313 13024.92
0.01774059 13049.49
0.02186314 13677.04
0.004522926 13214.14
0.007452208 12237.51
0.003560802 11567.64
0.001055596 12356.19
0.0001997957 11962.32
0.003712476 13003.67
0.001267415 13181.27
0.001326296 13421.27
0.008392942 13062.29
0.002078644 12209.95
0.004900369 11378.94
0.006367917 11166.16
0.01625796 10699.77
0.01071382 10990.36
0.01116333 10050.79
0.006732593 9687.518
0.006074561 9529.427
0.003411487 9322.853
0.005427779 9660.052
0.007149319 9918.035
0.01184047 10545.08
0.001456385 10387.48
0.00686011 11331.39
0.01347852 11188.32
0.007592002 11901.42
0.006322384 12050.12
0.01332228 13122.46
0.02666925 12847.85
0.01347651 13633.06
0.01414676 13923.14
0.01299448 13560.46
0.008606706 12558.8
0.003314243 12083.52
0.005536851 13442.7
0.00141432 13544.84
0.006250787 14315.2
0.003794084 16054.13
0.003522961 15381.7
0.007206864 15236.35
0.004988466 14475.58
0.005293534 14083.98
0.0003016846 15484.84
0.001961989 15210.19
0.001157413 15489.59
0.001831748 16381.55
0.001874076 15543.95
0.00322446 15653.34
0.004282767 14723.54
0.005443549 14756.28
0.00384439 14540.92
0.003998729 14133.83
0.005114603 13802.12
0.003546571 13626.61
0.00326082 13726.09
0.01434987 14490.26
0.02210504 14086.02
0.02201141 14414.7
0.01348168 15044.25
0.01118475 14309.42
0.02725892 13632.52
0.006691589 14013.94
0.006238562 13628.76
0.006661533 13815.91
0.004382471 12378.31
0.005871185 12838.53
0.00796204 12895.85
0.005987444 13276.83
0.00781286 12556.2
0.001054743 12327.91
0.009068767 12116.06
0.003076982 12023.55
0.004128464 12119.98
0.001058928 13061.68
0.001003958 13800.98
0.001080425 12755.02
0.003179432 12582.29
0.006798123 12188.44
0.01067839 11897.75
0.0005473958 12128.45
0.002845667 11958.34
0.005638217 11086.58
0.003260808 10661.99
0.004853931 10648.54
0.006861622 10439.25
0.00316995 10531.1
0.005736459 10648.45
0.005522751 11930.84
0.007053052 11457.83
0.01154803 11950.1
0.008917875 10674.21
0.003010752 10511.65
0.001629767 10056.07
0.00424739 10939.37
0.00505309 10351.07
0.005788747 11309.08
0.007572621 11064.41
0.008200631 11130.12
0.006250579 11488.39
0.003617905 11369.08
0.001786237 11403.16
0.0001510769 11174.69
0.002150936 11571.11
0.003034892 12187.57
0.001177609 12147.64
0.009446963 11936.46
0.002790891 11950.49
0.003381328 11619.16
0.006922312 12455.38
0.01276116 12507.85
0.01193604 12387.3
0.009025149 12467.03
0.000185781 12236.23
0.008866207 11997.45
0.003510719 11267.54
0.01615174 10968.2
0.01066628 10864.02
0.009231459 11251.84
0.0123079 11487.23
0.007621477 12193.99
0.003952255 11400.93
0.007719243 12277.45
0.01422893 12743.05
0.00928566 12669.84
0.006439613 12059.09
0.00249978 12023.07
0.01764534 13161.16
0.01594097 13412.54
0.02441961 13495.23
0.01633754 12988.37
0.007340659 14078.78
0.01403787 12808.78
0.01148004 12346.82
0.01419623 10751.05
0.006596099 11516.04
0.003873813 12514.09
0.01118181 12497.68
0.006071372 12506.46
0.009663646 12550.08
0.002266581 13633.13
0.003188195 13009.75
0.006986367 13464.84
0.01101718 12576.79
0.00751157 11377.37
0.01191188 10562.63
0.001934573 11246.16
0.0003184481 10748.1
0.002030754 11458.56
0.003759312 12786.87
0.002557864 11888.46
0.0005404501 11266.57
0.004674686 10786.49
0.002855098 10620.74
0.001225752 10208.42
0.001919605 9629.503
0.002847924 10291.05
0.002424972 10291.48
0.01449946 10160.27
0.01241627 9567.512
0.01687726 9646.97
0.01350049 10225.38
0.003952287 10288.99
0.0006565772 9624.67
0.002503452 9980.539
0.001230287 9779.439
0.006597433 9234.707
0.01068433 9650.752
0.008077445 9277.728
0.006829868 8690.815
0.01631383 8794.684
0.00771057 8342.032
0.002666792 7829.119
0.005520096 7248.088
0.003250308 7446.366
0.00874386 7814.345
0.01003898 8013.427
0.009122996 8292.533
0.003978788 8428.479
0.01486175 8449.556
0.01052876 7939.112
0.01602158 7988.945
0.009794793 8580.95
0.009450195 8491.726
0.002247072 8390.739
0.00212223 7757.22
0.008411232 7923.865
0.00925033 8482.68
0.01032798 9139.648
0.01330326 9301.764
0.01150694 9954.387
0.009914218 9802.907
0.003659142 10114.37
0.008075689 10912.51
0.006232252 11291.51
0.00506689 10817.08
0.006804397 11073.55
0.003098804 11914.27
0.001179439 11085.37
0.00479108 10465.23
0.008280651 10649.33
0.01761537 10580.2
0.01723305 10421.18
0.01222957 10333.21
0.008896156 9776.004
0.009764254 9383.309
0.005012257 9877.26
0.005812441 10086.56
0.01869889 10661.29
0.009290159 10449.55
0.01919746 10276.13
0.01000468 10283.92
0.00555735 10551.25
0.00259879 10381.36
0.004361746 10792.32
0.01008932 10128.04
0.009707771 9759.242
0.007837858 9767.581
0.005130713 10351.57
0.002177352 10742.2
0.003696663 11333.36
0.003570108 11773.22
0.003710502 11465.46
0.01064908 11576.76
0.02202735 10693.53
0.02467078 10515.45
0.02480855 10332.29
0.003982734 10328.56
0.003068199 9820.728
0.001583693 9883.986
0.005146327 9590.879
0.002105311 9742.322
0.0008290448 9722.475
0.0008815772 9489.565
0.001870318 10347.17
0.002566865 11215.46
0.001222373 10992.58
0.006229721 11325.02
0.003224277 11100.64
0.002267 11226.98
0.002894505 12169.22
0.002257044 12109.47
0.003176973 11832.75
0.004047455 11718.9
0.0003035183 12144.53
0.001776196 12578.86
0.004716048 12977.72
0.009940596 13488.67
0.009756548 14216.43
0.009425023 14670.81
0.02070446 15768.08
0.02316044 16537.43
0.004918781 16752.14
0.003853948 17298.29
0.003577903 16671.11
0.00483361 16905.39
0.001611398 16284.44
0.004221311 15871.8
0.00231711 16139.85
0.006794207 16096.7
0.01449436 16125.07
0.006058055 16452.51
0.001412412 15844.07
0.003997331 16090.68
0.01232133 15713.07
0.0117246 15526.68
0.01319642 16166.64
0.01291977 15985.51
0.007611982 14721.12
0.01214321 15329.97
0.004506443 16053.89
0.003751305 15767.52
0.004805568 15845.15
0.007419249 15438.88
0.004732832 15369.25
0.00245726 15531.83
0.00753369 15315.09
0.0008899683 15288.46
0.007885295 15258.13
0.01421333 15319.52
0.00553203 15946.15
0.005950388 16842.58
0.005458038 16923.76
0.004945993 16512.01
0.009594021 16125.43
0.0112483 15079.12
0.007544722 15188.53
0.006062776 15729.56
0.002922072 15977.1
0.01115391 16691.74
0.0055908 16350.15
0.004368126 17023.21
0.005839727 16842.51
0.01514714 16544.53
0.003852038 16620.05
0.005342484 16327.09
0.003312684 18729.03
0.003641286 16791.07
0.00155476 16982.04
0.008777956 16610.28
0.001127605 14810.33
0.0015103 14556.75
0.001409953 14522.05
0.0008501887 15072.38
0.002515122 13541.48
0.003557123 13489.73
0.003942593 12828.66
0.006930772 12938.72
0.006654162 13719.19
0.01062117 13048.71
0.009985149 13532.46
0.005195563 14745.24
0.004947579 15710.09
0.002861295 16645.02
0.004036785 16685.62
0.007796217 17073.26
0.0002322706 16966.32
0.002343897 17226.41
0.005153779 16561.07
0.003617862 15952.61
0.005182782 14692.16
0.01956853 14049.15
0.01377981 13423.94
0.01271415 13870.69
0.004751401 14749.26
0.003140734 14056.44
0.01104204 13720.1
0.005050603 13778.27
0.005125928 13269.81
0.008187973 13286
0.005902457 13583.88
0.001397334 13746.05
0.001850936 13170.49
0.004489624 12571.64
0.001738909 13370.27
0.003740926 13527.28
0.01036261 13599.04
0.01015178 13355.75
0.00359117 13882.25
0.002754694 13873.73
0.00047729 12515.3
0.007023002 13220.19
0.009370696 13105.86
0.0051882 12985.38
0.009649096 12663.49
0.01472366 12577.5
0.005573192 11679.28
0.01657907 12069.83
0.00579619 11835.54
0.01696011 12896.1
0.008432165 12263.02
0.02548126 13249.07
0.01887637 12913.89
0.007612142 13255.82
0.000350752 14403.12
0.003851875 13631.46
0.00260299 13121.65
0.009521432 12367.42
0.01244912 12114.15
0.003887508 12495.37
0.002960035 12058.3
0.008616721 11925.31
0.00406747 12951.26
0.009502162 12459.62
0.01422854 12413.6
0.003349242 12360
0.004212823 12187.7
0.006869686 11333.07
0.007394393 10829
0.008047504 10058.44
0.01705147 10175.04
0.005587162 10061.88
0.01339438 10066.22
0.002418095 9966.6
0.001900683 9446.408
0.002046001 9540.847
0.009999811 9471.455
0.0181336 10187.45
0.006820928 10472.48
0.00574153 9541.326
0.008197173 9631.212
0.002288022 9501.595
0.02361704 9469.521
0.01731733 9415.737
0.02906515 9697.502
0.03382365 9228.125
0.0445282 8783.36
0.02197416 9150.684
0.02465506 9847.969
0.02958666 9646.661
0.01895931 9048.441
0.03318619 8373.582
0.02341929 9125.839
0.02599204 9520.723
0.0164576 10220.96
0.01414452 9888.173
0.01366763 9385.037
0.02110448 8858.837
0.01446638 8902.484
0.007135569 7629.361
0.002404015 7561.564
0.004711461 7390.134
0.001932538 6698.047
0.01247134 6959.936
0.005694621 6629.632
0.01316131 6132.399
0.007978394 5975.063
0.0221298 5719.955
0.00799269 6251.135
0.01562937 6295.298
0.01708112 6632.423
0.01153252 6929.961
0.005472371 8215.461
0.003549031 8487.841
0.001707633 8697.621
0.004158115 8959.998
0.004542608 8513.682
0.004535771 8786.582
0.003247094 9127.806
0.005389134 9603.079
0.01061625 10331.89
0.008582714 10013.83
0.01457271 9714.932
0.01113056 9181.046
0.009759877 8702.186
0.003445029 9235.867
0.002526843 9719.456
0.001769511 9438.317
0.000196201 9527.364
0.004912844 9140.462
0.004172365 9909.311
0.007490352 10286.14
0.0003654003 10268.66
0.00579179 9990.746
0.006707057 8876.785
0.006080465 8617.046
0.01232502 8789.842
0.01319626 7517.851
0.00695519 7255
0.003962128 7601.798
0.01556568 8072.829
0.0134382 7855.858
0.007630918 7434.657
0.008270392 7064.114
0.005190362 7023.797
0.005996726 7173.309
0.004602384 7045.981
0.009948568 6563.223
0.005268336 6291.786
0.004343522 6401.437
0.0002914532 6494.912
0.003046744 6163.815
0.003691609 6132.885
