probIn scale
0.04875376 6228.055
0.04420542 5910.614
0.03168517 5726.329
0.03202194 5421.2
0.03455392 5584.881
0.05846981 5307.079
0.0660047 5827.04
0.03162741 5627.967
0.02445203 5269.58
0.0179192 5079.82
0.02267047 5155.151
0.01800234 5170.431
0.02226618 5188.844
0.009049196 6046.433
0.01741114 6002.456
0.0335341 5944.249
0.04178566 5572.597
0.04356128 5075.977
0.05150128 5242.17
0.04177194 5433.723
0.04511484 5625.549
0.06329462 5586.45
0.09756224 5760.84
0.07296483 6023.157
0.06283007 5785.859
0.0454997 5979.764
0.03561171 6106.301
0.03471469 5992.76
0.02889333 6401.343
0.02668198 6732.479
0.05700342 6975.19
0.03561317 6945.719
0.02680733 6944.803
0.04760824 6948.686
0.06212571 6818.328
0.08194934 6847.324
0.05467839 6542.88
0.04835417 6099.987
0.04360984 5929.262
0.04353329 5947.664
0.02874955 6192.63
0.04237419 6083.242
0.04815117 6377.972
0.02641914 6309.427
0.02766214 6146.601
0.03176504 6437.743
0.04833547 6194.949
0.04422876 6320.009
0.03420662 6143.675
0.01759155 5874.689
0.01941333 6028.291
0.02997409 5910.522
0.02807057 6012.468
0.02355206 5855.898
0.02834439 5863.406
0.0332064 6189.492
0.03109599 6320.375
0.02995084 6344.607
0.03842685 6057.814
0.02815284 5563.69
0.009642947 5767.564
0.01103377 6386.086
0.02223345 6449.078
0.01710694 6556.871
0.01687522 6489.813
0.02030904 6566.524
0.01071802 6800.899
0.01437592 6657.148
0.01184715 6693.056
0.02174367 6442.377
0.03647757 6367.333
0.04334932 6128.676
0.03841 6206.013
0.03980569 6157.661
0.02093796 5618.238
0.03443249 5566.514
0.03166189 5466.013
0.02573007 4953.022
0.03723702 5287.792
0.03181773 5567.989
0.01868391 5787.229
0.02202214 5958.779
0.01750954 6175.179
0.01394478 6103.107
0.03497575 5947.729
0.04251171 5787.971
0.04938559 5567.13
0.0451481 5836.495
0.03807682 5941.212
0.05621778 6050.767
0.07344207 6181.948
0.0679437 6097.412
0.08426429 6552.916
0.06408799 6309.871
0.04953198 6437.253
0.05255426 6633.2
0.03729764 6882.667
0.04540351 7387.861
0.04967244 7478.321
0.02875785 7363.366
0.04098323 7769.042
0.02300738 7735.711
0.01471709 7628.185
0.006708515 8156.024
0.005231599 7507.606
0.01006992 7258.883
0.008414921 6875.716
