probIn varB
0.01871761 974.2887
0.01423239 1007.908
0.01599777 996.6549
0.02504966 878.3766
0.0112125 879.8799
0.01228442 852.7304
0.008085157 875.7944
0.005401719 1040.797
0.009800049 834.723
0.001225349 886.2258
0.008641073 905.4452
0.009245691 971.7273
0.006962509 847.6235
0.01475788 888.692
0.01652362 932.5904
0.009530937 925.0315
0.005778013 869.1783
0.005842051 905.5263
0.01219839 1052.066
0.01124705 958.6339
0.008991144 958.5188
0.0097359 976.2068
0.01189479 923.6985
0.004275451 821.1064
0.007800051 792.4366
0.01149145 729.3798
0.005268679 754.1904
0.01268333 752.234
0.01476682 781.9089
0.002005428 624.0948
0.01061248 632.6288
0.003845119 607.6112
0.01000889 798.8875
0.0005001029 817.2555
0.004544838 867.9191
0.006082628 755.181
0.006529117 753.9762
0.007741412 755.2992
0.01521536 748.6496
0.01795601 776.5735
0.02113061 932.805
0.01084663 845.2753
0.01995741 703.5056
0.01605243 766.8612
0.01978792 804.1685
0.02366285 741.4467
0.02371277 885.0254
0.01982953 731.6927
0.01113215 677.7198
0.009813561 633.6976
0.007324325 528.9942
0.005832161 638.6128
0.02402498 619.403
0.01839713 646.9978
0.01404872 693.7824
0.01507014 579.703
0.019284 553.0266
0.03336232 595.302
0.02234987 580.9926
0.01650933 517.0404
0.02390555 572.6069
0.01935561 516.7803
0.02988672 466.4125
0.02631898 509.0081
0.02760221 546.3203
0.01557228 605.9597
0.01136782 661.6342
0.008091312 608.3307
0.0108493 559.0146
0.03689907 503.8151
0.01664376 723.1048
0.01841913 724.9887
0.01056024 580.2628
0.01023038 552.2576
0.01243133 460.5122
0.01855499 400.0837
0.01282587 477.7649
0.002481714 436.8792
0.01516479 568.5775
0.01418426 521.9189
0.01716148 539.0684
0.02636272 491.2424
0.03649455 490.2509
0.02632478 594.9136
0.03125703 565.3357
0.02404957 704.6664
0.02205853 591.934
0.004292407 574.3992
0.01288353 633.4523
0.01453609 658.6583
0.003891804 774.0155
0.003073349 803.8244
0.004158766 832.1239
0.004130403 853.2018
0.008056455 841.8183
0.007580112 909.6409
0.006152422 940.394
0.01069028 994.2153
0.005815511 900.9704
0.00755226 766.1675
0.00992142 717.8784
0.01912722 650.5375
0.01569306 681.8177
0.01124936 563.5546
0.004577601 588.6132
0.008298317 496.8168
0.005006425 483.633
0.01096426 365.8371
0.02162305 381.7803
0.02345084 346.9542
0.01792537 356.311
0.01339141 378.59
0.009146633 367.2257
0.02130103 358.0885
0.01696955 388.9943
0.0103252 396.9452
0.001816428 410.2164
0.004097612 426.2491
0.01051947 339.2435
0.01481345 290.0765
0.009633082 272.5023
0.02023591 307.6784
0.02985281 232.6874
0.02647787 207.196
0.05531506 192.6318
0.08133397 164.9932
0.1039799 147.4015
0.08250218 152.6523
0.04630712 163.3617
0.04386969 140.3795
0.03267443 125.5523
0.01623796 131.0037
0.01106486 144.796
0.01617232 143.4825
0.02618761 131.8933
0.02149829 118.1099
0.0331493 100.3881
0.02158748 91.76478
0.02593643 90.44549
0.04586764 105.5492
0.05441282 97.67313
0.0925484 81.34854
0.1022742 83.06984
0.1006101 92.49906
0.1238956 96.60389
0.126336 107.6935
0.1120883 105.9373
0.123966 110.4369
0.1082396 93.95389
0.09179498 98.24854
0.06224183 104.1843
0.04271865 113.2957
0.04612122 97.46245
0.03524465 100.9286
0.03913659 105.9314
0.01437944 134.9931
0.01112121 116.5754
0.02759401 103.4032
0.02447616 108.2973
0.02743482 109.3502
0.02467878 114.0232
0.02671242 134.7536
0.02847922 159.2764
0.03353881 174.1352
0.05574861 150.2077
0.03684106 179.0904
0.04369258 197.7938
0.04372988 226.9439
0.05761004 252.5647
0.04919813 274.9663
0.07014882 297.9733
0.05215592 299.9171
0.04255242 293.8784
0.02705599 272.6815
0.03563729 325.2589
0.01936121 291.9944
0.03253788 279.0735
0.03325376 247.2771
0.03851058 251.521
0.02632355 241.796
0.01781165 223.3205
0.02197824 262.8037
0.02882338 225.4365
0.02246731 191.823
0.02355702 214.5738
0.05297412 224.2511
0.05321282 220.6104
0.07315437 210.3219
0.08272554 206.1428
0.07987715 173.8472
0.04993384 203.2505
0.05349628 209.155
0.03196856 204.6478
0.03521991 227.0368
0.02576938 233.9836
0.02461878 248.1066
0.01823762 245.6006
0.03649162 273.3396
0.04757356 230.6525
0.05151286 226.8672
0.03032453 225.2772
0.03426234 209.2148
0.02637078 187.905
0.02887508 234.5794
0.0301335 207.2178
0.03844586 172.9506
0.03790874 172.3783
0.01302839 199.2011
0.01718277 196.5403
0.02681006 232.4895
0.04123472 178.1405
0.02569181 204.5188
0.02390147 220.3525
0.02766914 206.4288
0.02070148 170.9956
0.02819647 183.1038
0.04370246 185.0441
0.04673395 207.8052
0.04408986 232.2479
0.03271262 261.0583
0.04607836 274.3241
0.04528122 211.9439
0.05033534 233.1227
0.04759953 256.7901
0.04830196 206.2333
0.04542332 222.1934
0.04373701 202.7789
0.03518233 179.8571
0.04361955 158.7104
0.04785411 159.3782
0.05828418 177.1925
0.05291553 157.2088
0.0594315 164.7915
0.05983365 166.7483
0.0686933 160.6609
0.04816095 165.1809
0.07063134 210.2366
0.1137766 182.3289
0.1280648 190.5688
0.1079016 173.3038
0.1045204 162.3483
0.1153339 135.3065
0.1291674 142.2701
0.1034933 155.4515
0.1069518 140.1971
0.09552899 153.3882
0.07603434 140.2935
0.1323026 139.6492
0.1015506 142.3408
0.07266209 162.1078
0.08405688 155.8328
0.1056725 162.3798
0.1311654 149.8188
0.1277322 141.9013
0.1096763 162.148
0.06158604 166.0017
0.04750816 147.8484
0.01732759 184.5374
0.009730608 176.1451
0.009108762 153.7087
0.01504812 151.1113
0.01718008 151.3162
0.02773951 167.3715
0.0298845 170.3269
0.02458384 191.9651
0.04985141 195.2261
0.03731402 207.2922
0.05886182 212.9169
0.03107075 221.0327
0.03950604 202.4776
0.03957303 272.7895
0.06963097 273.858
0.06557368 267.8138
0.05659639 240.0404
0.06842379 266.4528
0.06383803 297.4674
0.06293036 295.5732
0.04764254 269.2445
0.04628887 227.5298
0.04136647 234.1928
0.04492774 198.8364
0.0341071 199.47
0.04065901 164.4922
0.04255845 202.2755
0.03987364 223.3381
0.03120922 224.1999
0.03965255 234.2494
0.02292047 227.2395
0.02389429 212.409
0.03388187 204.1633
0.04371159 241.4706
0.04172894 281.4326
0.0554027 253.0536
0.04577654 275.9241
0.02970975 216.8844
0.02443389 224.4725
0.03617601 214.3566
0.03322117 211.918
0.04703354 216.0718
0.04222697 174.5895
0.03923626 216.6838
0.05608083 183.052
0.05687569 172.2852
0.08420209 178.5948
0.06958008 210.0389
0.07964059 180.7596
0.06487758 181.0087
0.05054856 198.7176
0.04532298 187.681
0.03172703 147.4449
0.04641414 162.9756
0.05529619 159.0219
0.04693067 157.4832
0.0291149 143.8922
0.02800672 144.2853
0.05217842 158.453
0.061011 154.2671
0.05975741 136.0386
0.04831763 132.6898
0.03413806 123.0151
0.03535035 126.3409
0.03633529 123.9357
0.05386486 117.8179
0.05549743 117.9537
0.04471324 104.1284
0.02947778 101.1329
0.03595714 130.9785
0.03428142 131.4593
0.04914532 135.8726
0.06034173 149.798
0.06926356 159.884
0.05974644 138.3756
0.0597987 129.4266
0.07359546 146.9681
0.05986293 159.3924
0.0622291 137.5748
0.09754368 125.6483
0.1001034 128.4088
0.1058019 148.2327
0.08761043 135.8967
0.07484089 101.1265
0.09223244 88.8825
0.098768 94.82313
0.07342998 115.3319
0.03022111 129.3126
0.02932387 135.1073
0.03618288 134.5944
0.04420585 123.9215
0.03019537 114.4825
0.0340964 146.47
0.0413745 135.8024
0.03949876 170.6444
0.04128986 173.8543
0.04647249 165.2045
0.06356511 150.1547
0.08780082 147.8955
0.06913369 194.136
0.05482892 240.4843
0.04522629 245.7258
0.06410613 215.1528
0.05572206 207.3863
0.05798849 211.7827
0.0428137 204.2335
0.05812624 243.109
0.0433784 261.7657
0.05822973 243.3714
0.05977495 257.0927
0.04538127 244.1106
0.04695123 226.8915
0.04843801 253.2599
0.06289182 240.8676
0.05911487 273.4649
0.03970633 269.1716
0.06650365 240.2846
0.04394952 231.5094
0.02792779 245.3144
0.03740404 264.8112
0.03214727 262.0728
0.04851155 245.8896
0.04557723 259.1441
0.05155867 268.9926
0.06324323 247.2914
0.05516559 214.2821
0.0503397 233.5525
0.04202233 243.9983
0.05770206 254.9458
0.08221287 233.5294
0.05559133 199.6969
0.03312416 229.9881
0.02618751 206.1706
0.02270375 178.7578
0.01131972 152.2062
0.004888143 205.6615
0.006167153 222.4008
0.01676702 217.7811
0.04614966 203.4274
0.03349343 200.1739
0.04520935 195.4965
0.03903184 181.7945
0.05774954 213.571
0.05107667 218.3502
0.06797951 208.0349
0.05997231 183.7577
0.04842912 142.7084
0.07267514 164.0323
0.1000286 134.1379
0.1034973 145.6181
0.08723929 140.7266
0.09893608 144.0091
0.08035404 132.4245
0.07678579 127.8402
0.1024905 140.9527
0.08528469 152.7854
0.07132266 138.2426
0.07560048 161.3282
0.0959376 179.5108
0.07920368 197.7505
0.06557956 217.1271
0.06996689 215.5863
0.08810603 169.8118
0.08550348 149.5608
0.06606383 161.3979
0.08502708 180.5034
0.07316797 182.0708
0.09496673 166.0213
0.06241008 166.0668
0.06761681 167.207
0.06902697 190.2057
0.07793636 170.0592
0.08703675 152.7276
0.08932095 139.6786
0.07805187 122.2598
0.06095743 140.9187
0.0573206 176.7594
0.04768012 164.9249
0.05762038 176.6318
0.06817465 173.4239
0.06988719 194.527
0.05484834 189.5618
0.06665983 219.071
0.07789304 243.9043
0.05395339 223.1553
0.04637747 207.3624
0.03238482 213.086
0.02620892 219.3906
0.05503328 239.8084
0.04338089 237.5987
0.04981503 223.6729
0.03479861 234.9039
0.02985231 248.1213
0.03863497 238.5312
0.07651833 298.4933
0.09345592 252.2108
0.08345521 211.5654
0.06251941 196.6626
0.04678267 196.5501
0.04545866 215.8211
0.02811283 208.1817
0.04619167 233.2802
0.03219274 295.5283
0.03263435 308.494
0.03877993 317.772
0.01925285 329.9895
0.01874037 327.9798
0.01045785 311.0191
0.03096209 299.0217
0.03337369 287.1652
0.04930867 236.6363
0.04707464 213.5002
0.05671278 206.6494
0.04122957 228.3865
0.03598258 255.2645
0.04396726 283.7748
0.03825627 246.0282
0.03061282 288.0258
0.01685858 234.9827
0.01321115 220.1942
0.008296413 238.59
0.01008706 234.3938
0.02092053 179.5856
0.02735115 186.9071
0.03691448 207.919
0.05128779 181.2126
0.05742732 199.1025
0.05952603 200.45
0.05970247 172.1233
0.07216235 135.5283
0.0666966 142.4967
0.08386423 153.4736
0.1109398 162.5052
0.07130325 157.6493
0.07978604 161.4265
0.04945635 158.2111
0.04195467 147.6597
0.03180953 136.4741
0.05142786 124.1857
0.02828553 116.087
0.04522341 118.8552
0.04325923 120.5829
0.05702828 129.7329
0.02759197 141.5847
0.03695814 143.7066
0.02151298 131.8541
0.02389854 141.284
0.02062688 146.0898
0.01303502 171.1112
0.02219186 167.7923
0.02417903 142.366
0.03114058 150.1087
0.02658364 159.0487
0.02145418 180.9474
0.02147444 182.4968
0.02766226 160.6146
0.01242452 157.4405
0.01982231 130.2742
0.02398899 119.8983
0.02102647 121.0673
0.0400018 127.2077
0.02531123 112.5007
0.04170156 125.293
0.04328348 138.8082
0.04639359 136.5825
0.03306129 133.2736
0.04672168 133.7967
0.05824285 164.143
0.06771804 184.5991
0.06241006 208.713
0.02703104 200.701
0.02182453 233.2895
0.02316099 203.5016
0.02126273 195.0983
0.03591076 227.7457
0.03420517 227.7768
0.0375653 199.5228
0.05402782 200.1918
0.06054791 197.4642
0.1006488 200.2789
0.09412275 183.0212
0.06619834 169.7429
0.07111774 183.8382
0.06758834 177.4002
0.05434634 223.7843
0.07194341 231.8863
0.06211302 239.3619
0.04208585 262.5472
0.06122164 302.6641
0.07844517 267.5984
0.09066903 285.2635
0.05905142 261.0416
0.05553088 271.3777
0.0451518 315.2926
0.05045593 332.3755
0.06895759 267.7991
0.0628207 282.2016
0.04712427 265.7082
0.07295681 262.4232
0.07467055 247.2581
0.06716092 263.4284
0.05978713 240.1449
0.06100956 205.8534
0.04694796 195.7757
0.05601475 184.4882
0.02998138 204.8928
0.05251498 214.8617
0.05877715 250.3565
0.05871387 247.7621
0.08140342 238.9017
0.08453429 201.477
0.07876095 181.9215
0.06407188 163.9841
0.09542571 148.198
0.0931711 124.6167
0.09026245 122.7627
0.0778678 110.9918
0.06788016 103.2095
0.05922806 111.3412
0.05247598 127.6417
0.03191354 144.0086
0.02361281 147.204
0.03142757 132.3831
0.04990285 128.6362
0.03276351 126.2928
0.0362873 141.0722
0.009431362 151.1143
0.01423232 147.9554
0.01904573 160.4639
0.04778428 145.8933
0.02870092 142.1244
0.02666992 131.5645
0.02885175 130.9652
0.02493651 128.502
0.03471463 138.3601
0.02653459 157.4263
0.038007 140.1856
0.0404962 117.4103
0.05081854 115.561
0.05848037 113.7182
0.05042177 109.9888
0.06924717 125.5515
0.07327652 122.043
0.05402025 116.7593
0.09387531 126.2165
0.04993026 140.3356
0.02890388 139.8102
0.0224411 133.8325
