probIn varB
0.02694102 2.365764
0.009796084 2.321985
0.001942291 1.908888
0.02310558 2.043679
0.02979787 2.276195
0.02799117 2.231445
0.01411611 1.954865
0.02047993 1.81431
0.01686368 1.747869
0.01041602 2.363114
0.002699107 2.497979
0.001443543 2.435091
0.005642386 2.355296
0.008152046 2.277281
0.006773316 2.390591
0.009777567 2.088152
0.01004666 1.820495
0.0206272 1.741491
0.01814467 2.225669
0.01220047 2.552761
0.01034413 2.2719
0.01382738 2.226284
0.02312404 2.311065
0.01957899 2.426776
0.02803817 2.205824
0.004735947 2.156643
0.00246055 2.229327
0.00703076 2.062708
0.01087301 2.462306
0.01436058 2.187753
0.0143128 2.558383
0.00893697 2.118769
0.006063846 1.952074
0.003252368 1.537176
0.009231266 1.659737
0.009742618 1.647724
0.0121828 1.56407
0.029053 1.711951
0.02387248 1.685528
0.01279447 1.827741
0.01190722 2.125268
0.01972814 2.17692
0.01092368 2.012939
0.01328145 1.898103
0.02649348 1.709261
0.02206073 1.38623
0.02456276 1.739569
0.007637468 1.508483
0.0009518269 1.458685
0.001031415 1.358829
0.001052697 1.589837
0.002604732 1.926792
0.006371348 1.809448
0.009911516 1.916402
0.007400541 1.82922
0.009276501 1.542365
0.01837753 1.354326
0.01998311 1.266554
0.0066678 1.328749
0.002378196 1.079636
0.01823562 0.8246496
0.01197465 0.8291045
0.006582528 0.8061314
0.006937598 0.7535681
0.01677011 0.6990123
0.02216192 0.7054784
0.02678418 0.7052163
0.02472453 0.701865
0.008665353 0.6860559
0.01560856 0.7863684
0.002126693 0.7586007
0.002525671 0.7448057
0.001599522 0.8739615
0.002601106 0.8472997
0.006808792 0.9387331
0.00539825 1.04582
0.01063178 0.882673
0.01795619 0.779881
0.02491062 0.8114401
0.02241849 0.8334909
0.01610535 0.8228174
0.01867851 0.7894427
0.03027539 1.047561
0.02124434 0.9755808
0.02382262 0.9012449
0.02835558 0.7324446
0.03747198 0.688428
0.02816333 0.7753492
0.02561727 0.8515089
0.03212145 0.8171638
0.02115153 0.8163822
0.02285172 0.8116416
0.03217797 0.9370187
0.01520354 0.8756538
0.01336695 0.8868221
0.01003383 0.8258841
0.01513746 0.7686702
0.01906787 0.7188517
0.01772453 0.7019131
0.01033305 0.6628908
0.005513886 0.6160078
0.004697823 0.598749
0.02398071 0.5635111
0.01680473 0.6509371
0.006029412 0.5494669
0.004480925 0.5476753
0.0007504856 0.5803606
0.005348453 0.6398029
0.02668648 0.6608499
0.01390479 0.7414821
