probIn varB
0.02319292 155.7743
0.02133231 141.564
0.0105077 155.1678
0.01320062 154.8992
0.0125432 158.082
0.00358184 154.7634
0.003406552 195.4911
0.002755492 203.2639
0.001550788 183.8172
0.008495655 180.8826
0.001237808 163.1924
0.003289993 176.1128
0.001306889 165.6887
0.001230728 147.945
0.007170639 144.9849
0.01071837 143.8435
0.001832896 116.1942
0.001060088 106.4915
0.001490614 108.2645
0.001220015 118.1203
0.003694571 112.2994
0.01064044 121.3145
0.01414899 115.6104
0.02260137 104.648
0.02109828 106.9771
0.0202356 100.3138
0.03883291 95.26965
0.01643428 83.10741
0.007606641 79.27661
0.004409457 69.6697
0.001669202 71.8103
0.0009237217 63.36891
0.007283594 54.4087
0.002397242 49.0898
0.008128877 48.61968
0.01967092 42.1906
0.02484198 45.64446
0.02181116 42.29271
0.04982317 35.99891
0.05421568 35.2742
0.04779996 31.96791
0.03532767 36.49807
0.03802695 38.24439
0.02440385 43.86339
0.01797267 53.33552
0.008847793 47.15293
0.01170052 46.06485
0.004824688 49.70452
0.007523353 52.68139
0.004972932 53.87006
0.006222297 53.4148
0.004407249 54.94173
0.01344567 53.23727
0.01178933 58.11378
0.01560715 50.25815
0.01151903 47.89023
0.007245071 47.30728
0.02064424 56.70569
0.01906979 48.82307
0.02063454 43.00171
0.02949525 39.35963
0.02123193 37.7319
0.02265831 39.23772
0.01381316 37.75986
0.00482183 34.34943
0.003927013 33.10308
0.01582155 38.87177
0.01067038 44.56221
0.01448054 48.13576
0.01434706 45.22837
0.01956365 49.87282
0.01961596 62.98956
0.05062766 62.75532
0.03235079 54.71392
0.01343606 51.36074
0.002064044 57.17423
0.0005827419 49.08288
0.01093904 50.04376
0.01581776 46.90637
0.009714659 53.57053
0.006185606 56.27086
0.009260224 62.18306
0.003611635 54.08332
0.003120724 54.27365
0.0004733516 54.41307
0.0003449992 50.78949
0.003199787 46.54155
0.002811147 46.99234
0.01333697 50.44839
0.008515852 46.04835
0.003937785 53.6361
0.002075989 46.73965
0.002176472 39.32826
0.005118887 40.38187
0.0177016 40.40471
0.02133764 44.65916
0.01831127 43.49094
0.01852521 40.32881
0.03445364 43.15211
0.05228429 39.1045
0.02685969 45.78566
0.02293417 49.80412
0.02463897 45.09664
0.02358897 40.77401
0.02155721 40.7405
0.01337613 49.78788
0.01962499 48.70416
0.01687146 53.39771
0.006254946 46.95401
0.01568818 56.36572
0.004024895 48.51542
0.002498302 45.37348
0.01239942 48.47361
0.02421446 46.83123
0.03207931 47.05832
0.03604813 41.3276
0.02390352 32.69977
0.01229524 33.32869
0.02054861 37.19178
0.02993607 37.72041
0.02379134 31.79117
0.03575917 35.76357
0.02413762 32.80865
0.0230067 33.87235
0.01749764 44.57938
0.01129407 48.64837
0.006701971 52.36945
0.01494712 50.27088
0.007577258 52.89432
0.002053251 58.45344
0.001751776 56.58285
0.002808611 63.91553
0.000457464 61.70415
0.0007443096 64.21151
0.007603979 63.33742
0.009742289 54.53653
0.0104158 53.72274
0.01118636 51.45572
0.01786555 48.05776
0.03088087 45.9069
0.01227723 46.22057
0.007661335 43.58474
0.005870942 42.67571
0.011771 44.23232
0.004740291 39.8783
0.003620132 37.0517
0.00518275 39.38683
0.0140242 41.23816
0.02689363 41.83182
0.03543857 36.30195
0.0243015 38.08697
0.02103276 39.91845
0.0139029 38.75722
0.0178536 43.13989
0.01651294 52.05812
0.007116616 52.69195
0.0142271 58.88364
0.007519338 64.12048
0.01441328 67.36119
0.02779436 62.60085
0.02541828 68.74809
0.02166101 62.2153
0.01165106 55.21434
0.009125236 55.64317
0.01662923 62.26716
0.008250265 58.8573
0.002661721 65.78901
0.0008874263 59.79891
0.0001348347 66.25524
0.0006297082 71.22644
0.006180813 85.72987
0.004142885 74.3511
0.00915264 72.74889
0.003233051 72.95213
0.006865747 57.26823
0.01366392 53.19871
0.0159442 53.66471
0.0353442 56.08073
0.01792448 51.76409
0.008684684 45.36321
0.01271215 38.97474
0.01170087 40.17774
0.01323358 33.04679
0.01957664 36.13722
0.03057376 31.03048
0.01115232 29.33866
0.001023233 33.9621
0.01012911 35.85663
0.01155963 32.6845
0.02052706 38.9729
0.01743465 38.61833
0.02182973 40.11191
0.02105078 39.15634
0.007588941 44.92124
0.006339979 46.18866
0.01536523 52.42538
0.01247738 49.27024
0.01077986 49.00882
0.01827613 49.33601
0.01937029 52.777
0.02540136 62.05437
0.02355174 54.10503
0.02298733 46.53816
0.01128654 44.24382
0.002059559 44.55809
0.003873465 48.56421
0.009677191 47.75747
0.01562716 52.70481
0.02505213 50.79234
0.007488079 49.36416
0.01300782 49.67378
0.009705647 54.17495
0.01148776 63.87152
0.01337902 63.05616
0.005270489 77.87477
0.002203686 87.66595
0.002784551 85.84207
0.00283985 75.64374
0.001382359 76.61729
0.009400746 63.44147
0.007649025 57.73989
0.006126451 54.25247
0.01953098 57.09497
0.01792535 51.39803
0.02793403 62.781
0.0183275 53.3395
0.01945007 44.68392
0.0124168 51.93694
0.03060303 39.07792
0.02382384 30.41036
0.01813512 28.84153
0.02332532 25.40557
0.038224 23.08354
0.03502793 23.66895
0.029172 21.9734
0.02168372 21.71008
0.01419767 19.53886
0.008992072 20.25916
0.003396201 21.87792
0.003070104 19.76906
0.01180383 17.52646
0.01329892 17.82135
0.01286728 16.74606
0.01392926 15.84089
0.007156303 15.07829
0.0007849745 14.19485
0.0007987694 12.9244
0.009054332 12.5057
0.02104981 12.26251
0.02143414 13.26828
0.01489741 14.0044
0.02327226 14.41172
0.03761243 15.5507
0.05814748 15.22838
0.04711662 17.23593
0.05512362 14.15421
0.02620566 16.09093
0.04646023 14.9512
0.03019753 15.90044
0.03863265 14.38818
0.01709993 15.5867
0.02685458 16.3913
0.02562069 19.57125
0.02371879 19.5881
0.01979792 21.05755
0.01650109 20.25734
0.0164204 20.50377
0.02073667 19.536
0.0186621 16.91931
0.04338445 16.37951
0.0327433 16.06746
0.03670011 13.14928
0.04539664 14.59892
0.05620837 14.71068
0.07048959 15.90232
0.0439151 15.63848
0.0619225 13.87246
0.04727053 15.67022
0.05547572 16.69777
0.02420916 16.78958
0.02747348 21.00844
0.01530046 19.29113
0.006748811 21.09502
0.001772463 19.72708
0.008778197 20.77076
0.01152839 19.14908
0.0320681 17.75217
0.01829326 14.76815
0.03351691 12.10478
0.02736521 11.70419
0.03334256 14.39969
0.01793148 15.64594
0.02508606 16.98729
0.03028202 16.43141
0.03087236 15.0409
0.0501656 15.60764
0.06715287 19.43016
0.07281993 18.24621
0.06043319 19.74469
0.06464149 19.94147
0.0466045 17.54642
0.03380594 17.3387
0.04496302 16.81794
0.04160456 16.37312
0.04503098 15.65346
0.02002831 11.83155
0.01590064 10.75938
0.006700004 12.1944
0.00500807 15.51163
0.01025133 15.73992
0.007335463 13.50317
0.004273695 12.3506
0.01317757 12.56248
0.02115766 10.95227
0.02730528 13.07976
0.02804612 14.1069
0.04517354 13.90467
0.03126739 15.08815
0.02986183 20.20596
0.01850582 21.77399
0.009476678 22.05333
0.02097037 22.90638
0.02062559 21.26599
0.03178749 19.79938
0.04141936 22.9425
0.03724248 18.48963
0.03127333 17.75841
0.01609736 15.50313
0.00602447 13.72372
0.007519716 13.42884
0.005610464 13.27303
0.001693457 16.31729
0.0005479144 19.43391
0.0006155209 17.16143
0.007432283 18.30538
0.0193864 21.35932
0.009622782 23.20995
0.004503704 22.46294
0.001216202 22.90936
0.01372203 23.64017
0.02650371 24.11869
0.01086888 27.97254
0.008976372 25.60336
0.00491809 23.57482
0.004804617 24.2909
0.004333894 22.17544
0.01081631 20.61106
0.0144173 19.45737
0.0166322 21.18885
0.01585567 20.50507
0.03106885 22.43745
0.01451557 24.75379
0.0141409 22.04838
0.01673845 19.34137
0.004242548 20.70811
0.01506985 22.73267
0.01013892 18.57432
0.01576034 21.44141
0.01882405 21.33035
0.03435056 26.49485
0.02660064 24.92808
0.0364884 26.1161
0.02768329 34.27003
0.0181681 29.51129
0.01316245 28.3414
0.01515592 27.24374
0.01551875 27.8379
0.003159246 31.75837
0.003198426 28.41163
0.006129888 32.04279
0.004725482 29.84121
0.01153247 32.29741
0.003516932 32.09019
0.009662909 32.69498
0.008202324 30.50314
0.006192461 33.80687
0.003445207 33.17786
0.00733432 33.15371
0.01136258 39.40462
0.009979842 30.12433
0.02365286 29.58718
0.01704463 28.84869
0.007874744 27.88268
0.002483401 27.17979
0.009046725 26.55383
0.02058543 25.76266
0.01146322 26.72641
0.02110077 34.93341
0.02210533 36.32609
0.02363326 29.73651
0.00868733 30.81174
0.006791182 30.51066
0.003679917 29.78062
0.002578457 35.8365
0.004531461 39.58257
0.0147718 31.65141
0.01204807 31.76349
0.03545463 29.39082
0.02857592 36.08008
0.006518867 36.24532
0.002537669 32.77517
0.00779588 32.76103
0.007241788 33.82051
0.006730083 35.64318
0.008687938 39.59227
0.01243802 39.03322
0.009416379 42.23643
0.01901155 53.19317
0.01696276 53.50602
0.02056353 60.72484
0.01301378 61.37323
0.01399685 67.27017
0.01773666 66.86373
0.0202238 78.95833
0.02604263 88.03514
0.01911271 91.75281
0.0306299 88.73977
0.0221267 101.7921
0.003017489 98.47232
0.003229612 108.237
0.002433814 118.8722
0.01041905 131.018
0.005476307 117.3883
0.001981696 112.8092
0.007100342 135.1433
0.004087102 126.3724
0.0001631575 129.5788
0.001074218 116.2003
0.006407475 126.1726
0.009012646 113.7009
0.007773117 115.6476
0.01644319 97.2639
0.01114614 90.97694
0.01053046 91.86323
0.006556553 92.25895
0.0007932968 99.13632
0.007530514 103.6545
0.01386536 100.4265
0.03252566 102.1012
0.01502313 101.1985
0.03603104 89.75377
0.02972149 71.56563
0.01277731 71.17805
0.01835367 77.03051
0.01299341 83.1133
0.02008159 72.42588
0.01915376 60.22284
0.01934673 57.7684
0.01478563 59.74804
0.01869298 55.54354
0.02314382 54.47578
0.01690206 60.61759
0.01011496 61.73929
0.02053836 66.01558
0.01693707 74.15186
0.01841602 77.7812
0.01816687 82.1126
0.008937094 91.32922
0.01348394 95.33094
0.003605856 116.0452
0.00552435 122.6634
0.0060618 101.5928
0.001262188 112.3478
0.001127114 127.715
0.005218787 131.3773
0.005103884 134.1523
0.007476372 129.0727
0.001089615 135.054
0.004342069 106.5198
0.00625093 101.4606
0.00126063 124.0463
0.002257049 116.7526
0.005295322 122.3339
0.007977742 118.7844
0.01715928 110.0681
0.01092655 113.1523
0.001729429 119.2589
0.0007855659 132.0423
0.005898525 119.7333
0.007180945 107.2489
0.004206813 87.69714
0.005983159 85.70488
0.001785684 78.69204
0.008024551 80.49945
0.009447516 88.95431
0.004258247 81.06477
0.0007846971 71.90826
0.001957608 78.19373
0.01116729 73.07686
0.01272384 84.36359
0.0106207 85.38616
0.02226994 100.44
0.02013557 90.98992
0.004982083 98.4334
0.002010175 90.10516
0.00969863 90.60383
0.007165931 92.29766
0.01485347 85.77126
0.00427419 87.14676
0.002600792 78.25961
0.002224774 66.31683
0.004314666 71.11788
0.02424369 77.67977
0.01412372 69.66719
0.01095645 73.65761
0.00536827 69.11502
0.0185435 56.1207
0.0105338 53.29192
0.00205828 54.77042
0.003952312 55.32188
0.005422532 49.62462
0.002314207 55.24773
0.00207624 56.08469
0.005795181 58.20937
0.003811877 54.1157
0.004990923 46.32417
0.01022999 47.08908
0.03514859 47.51923
0.03224507 59.83339
0.01291925 60.23646
0.009646094 61.70892
