probIn varB
0.03088701 7918.938
0.02655448 8288.324
0.03293885 8529.3
0.0269369 7478.745
0.01189505 8437.113
0.01205417 7697.105
0.01280399 7923.296
0.01614827 7816.363
0.0186725 7766.908
0.009774599 7089.215
0.009285957 7308.049
0.02704969 5914.259
0.01830664 6254.396
0.006044788 5750.661
0.02020785 5568.671
0.03532925 6187.587
0.02711248 6478.343
0.01605779 6429.834
0.009824852 5736.732
0.007627753 5907.07
0.02078276 5585.018
0.01897142 5651.432
0.01626968 5187.753
0.02329576 4462.278
0.02405179 5106.948
0.04364408 5421.496
0.0500047 5765.428
0.03703822 4286.306
0.02717355 4594.663
0.01784935 4626.454
0.0232653 5139.233
0.01497327 5217.125
0.0413958 4916.336
0.02850268 6028.66
0.01899619 6155.922
0.02098519 5525.117
0.02169676 5763.216
0.009261757 5254.331
0.0062468 4116.427
0.008680634 3985.401
0.003343766 4227.329
0.006808448 4514.341
0.004585078 3792.108
0.01473663 3155.795
0.0270354 2778.778
0.02375184 2861.12
0.02367584 2558.635
0.03390646 2706.229
0.03488612 2651.177
0.06063582 2038.64
0.05322361 1982.67
0.03527688 1805.813
0.03998358 2096.69
0.04021045 1777.983
0.0267054 1623.253
0.03197555 1916.831
0.0199956 1914.077
0.02053741 2013.506
0.03445713 2244.493
0.04553878 2196.259
0.04727622 2114.755
0.07937967 1989.902
0.05466964 1984.23
0.07280909 2220.674
0.03736373 1807.882
0.036773 1872.525
0.02417195 1770.069
0.01766926 1942.439
0.01881781 1707.951
0.02148586 1626.118
0.02960602 1615.141
0.02135015 1390.261
0.03182078 1340.367
0.0577095 1468.966
0.05082592 1280.144
0.04279232 1098.292
0.04928344 1060.738
0.05593212 1185.235
0.04580225 1125.471
0.05513604 1111.188
0.05994241 1242.997
0.06656252 1342.732
0.06824301 1439.275
0.03999575 1255.742
0.01592648 1366.879
0.009634608 1301.557
0.009071161 1478.525
0.009526314 1348.592
0.01282897 1561.76
0.00927715 1187.549
0.001399737 1294.381
0.01086244 1405.674
0.01582387 1844.128
0.01081466 1292.766
0.008971974 1215.075
0.02190108 1090.751
0.038657 1030.944
0.02781409 1062.288
0.04559542 1113.59
0.0584409 1189.102
0.06801947 1159.994
0.06784118 1076.248
0.08905798 808.4239
0.09380983 809.9642
0.09180816 840.9031
0.09850774 958.4127
0.07788369 1076.722
0.08683558 989.6177
0.06540704 1052.795
0.07525996 936.9154
0.08710438 792.9663
0.1020224 780.6232
0.109919 638.4027
0.08427875 711.5192
0.04388596 668.5268
0.0441938 648.99
0.06492018 602.6653
0.03152466 765.8195
0.04669455 788.7945
0.04726644 893.5742
0.04850668 1043.207
0.05652024 1306.014
0.03374993 1069.506
0.04113996 967.599
0.02833064 982.9973
0.01471715 864.488
0.01333732 837.3259
0.009520713 949.1694
0.01489102 924.9887
0.01292516 854.0863
0.01245811 946.062
0.01296803 993.3729
0.00971041 1014.481
0.01089129 1094.544
0.02156555 1036.915
0.02598018 1006.964
0.02760258 920.1805
0.03721422 845.0637
0.0350199 878.3719
0.03546173 968.5964
0.04169402 848.22
0.04547998 831.5769
0.0504502 808.176
