probIn varB
0.02026853 0.0002129596
0.0219963 0.0001898292
0.01642977 0.000147997
0.01767234 0.000160898
0.01411466 0.0001617706
0.004814341 0.0001602138
0.006651241 0.0001413763
0.005438534 0.0001130406
0.001820023 0.0001054947
0.01425299 8.551507e-05
0.00980772 7.916086e-05
0.01653412 8.510655e-05
0.01957433 7.941607e-05
0.0352153 8.464299e-05
0.04655316 8.20471e-05
0.0256317 8.398891e-05
0.0299806 0.0001007086
0.02563311 9.023596e-05
0.01586483 9.135177e-05
0.01524501 0.0001060859
0.02191052 0.000102785
0.009120137 0.0001028462
0.01601881 0.0001095816
0.0116566 0.000107848
0.0233693 0.0001007914
0.01898418 9.872046e-05
0.02648196 9.315569e-05
0.04588978 7.549809e-05
0.02623363 6.887622e-05
0.04566956 8.14344e-05
0.03535012 9.004552e-05
0.02148886 7.501436e-05
0.01108278 7.555889e-05
0.01737754 7.388901e-05
0.01730832 7.418982e-05
0.02146426 7.154075e-05
0.02681617 6.151801e-05
0.02048047 5.807465e-05
0.01647133 5.72108e-05
0.01393238 5.204504e-05
0.0262701 5.009539e-05
0.01247345 5.345565e-05
0.005908834 6.388984e-05
0.02430804 6.033195e-05
0.02351446 4.737119e-05
0.0187236 4.880828e-05
0.01536666 5.834246e-05
0.04210748 6.434767e-05
0.02634946 7.351572e-05
0.02562781 7.518236e-05
0.02630623 6.880721e-05
0.03340244 7.112721e-05
0.03579997 6.634697e-05
0.06479419 5.409354e-05
0.04726324 4.675828e-05
0.0223501 5.626871e-05
0.01065205 4.42464e-05
0.007358804 4.559542e-05
0.01311365 5.724813e-05
0.003173548 6.001253e-05
0.002427016 4.746346e-05
0.01157455 3.760093e-05
0.03223542 3.900455e-05
0.03700353 3.981871e-05
0.03361773 4.451655e-05
0.01890609 3.990805e-05
0.01720398 3.665006e-05
0.01139228 3.53678e-05
0.01074909 3.302395e-05
0.01012608 3.613042e-05
0.02301719 3.100218e-05
0.02556796 3.316753e-05
0.02440145 3.656369e-05
0.03509377 3.496549e-05
0.03887712 2.963781e-05
0.07236574 2.863354e-05
0.05755465 2.717522e-05
0.06347125 2.855871e-05
0.06077892 2.660021e-05
0.05091285 2.148923e-05
0.05500841 2.112157e-05
0.03446784 1.876181e-05
0.03200292 1.777985e-05
0.04092836 1.758134e-05
0.03026154 2.246383e-05
0.01749939 2.270378e-05
0.01446732 2.226293e-05
0.03175665 2.188973e-05
0.02832117 2.233733e-05
0.03315587 1.865711e-05
0.03493414 2.075375e-05
0.01681783 2.03891e-05
0.019785 2.191704e-05
0.02445273 2.383137e-05
0.02147945 2.450577e-05
0.02044888 2.735871e-05
0.02909549 3.494373e-05
0.04371134 3.987407e-05
0.03217992 3.89872e-05
0.03090261 4.036427e-05
0.02546372 3.822667e-05
0.03438825 4.171994e-05
0.02497342 4.530366e-05
0.01412545 5.519829e-05
0.01085512 5.844302e-05
0.008287789 5.706623e-05
0.0169722 6.003399e-05
0.01571167 6.422031e-05
0.01436192 6.918041e-05
0.01226658 6.948262e-05
0.01673294 8.742582e-05
0.01161189 8.389223e-05
0.004579212 7.769777e-05
0.007513749 7.328115e-05
0.009354 8.476947e-05
0.01045804 7.589324e-05
0.02632125 7.312181e-05
0.0259082 8.238772e-05
0.00833263 6.672197e-05
0.02238496 6.87207e-05
0.007987268 5.173793e-05
0.008389153 5.217164e-05
0.00544061 4.52298e-05
0.01104663 4.611119e-05
0.01827217 4.615564e-05
0.02330513 4.592217e-05
0.0174403 4.854037e-05
0.0192603 4.30299e-05
0.0177045 4.182876e-05
0.04081741 3.764153e-05
0.0255716 3.954025e-05
0.02204232 4.053358e-05
0.0232559 4.075012e-05
0.01931138 3.488847e-05
0.01871418 3.595021e-05
0.009334368 4.128346e-05
0.0100968 4.632683e-05
0.00668983 5.229942e-05
0.008006524 6.131391e-05
0.01744133 6.477738e-05
0.01081049 7.065118e-05
0.006470308 6.063375e-05
0.01894728 5.684134e-05
0.02264415 5.096848e-05
0.01617601 4.822527e-05
0.02325255 4.756806e-05
0.02569189 3.940982e-05
0.01236253 3.750563e-05
0.02338645 4.420812e-05
0.03794345 3.990554e-05
0.03849645 3.857177e-05
0.01940759 3.958988e-05
0.01807492 3.797075e-05
0.01061926 4.134448e-05
0.01688152 4.642972e-05
0.02128974 4.807031e-05
0.02249724 3.977039e-05
0.02266757 4.68478e-05
0.02174329 4.338262e-05
0.01276204 4.412755e-05
0.01271107 5.293424e-05
0.007846724 5.726173e-05
0.003396634 5.638231e-05
0.006512462 5.357385e-05
0.0148645 5.572058e-05
0.01323808 5.135897e-05
0.007503899 6.088543e-05
0.02110426 6.266555e-05
0.02228791 7.842923e-05
0.02724172 8.585577e-05
0.02445521 9.124975e-05
0.01456747 8.918796e-05
0.02073994 9.643647e-05
0.01984282 8.445344e-05
0.0236222 8.74226e-05
0.02052302 8.85977e-05
0.01704613 8.554257e-05
0.01311904 8.336574e-05
0.008274758 7.852933e-05
0.006522567 8.574318e-05
0.007045256 8.531756e-05
0.007893303 9.904846e-05
0.003007579 9.272393e-05
0.003963136 7.991509e-05
0.006331798 7.136875e-05
0.004388465 8.411599e-05
0.007678602 6.905267e-05
0.008962116 8.274506e-05
0.02507651 9.442139e-05
0.005816156 7.689896e-05
0.002498512 7.650284e-05
0.003535733 8.765553e-05
0.001644628 7.497285e-05
0.001256467 7.445865e-05
0.0007450894 7.820608e-05
0.001281461 8.329033e-05
0.01172749 7.362409e-05
0.009095942 8.23756e-05
0.01290708 8.657272e-05
0.01206524 9.610817e-05
0.006557387 9.253934e-05
0.001098721 0.0001067357
0.008180291 0.0001094502
0.008860423 0.0001082672
0.01333838 0.0001167506
0.008708117 0.0001080471
0.006338173 0.0001052369
0.01460778 0.0001172674
0.01399851 0.0001397475
0.01447546 0.0001302371
0.02180107 0.0001226992
0.02946264 0.0001182588
0.0232048 0.0001459051
0.01297589 0.0001217078
0.009721215 0.0001352672
0.01511132 0.0001118211
0.009731986 0.000105686
0.01743954 0.0001043948
0.01144194 0.0001084638
0.01931042 0.0001105411
0.01250371 9.52345e-05
0.002988859 0.0001093656
0.01330205 0.0001142955
0.01855654 0.0001174142
0.02100047 0.0001095216
0.01015148 0.0001090009
0.008058668 0.0001169221
0.01362931 0.0001092259
0.01091129 0.0001068237
0.0203547 8.220335e-05
0.02920733 7.374377e-05
0.01629774 8.072283e-05
0.01622308 7.863062e-05
0.01243249 7.241684e-05
0.0016298 6.951527e-05
0.003148987 7.246851e-05
0.008196308 7.303483e-05
0.004854244 7.56165e-05
0.01705429 7.974817e-05
0.01324775 8.375348e-05
0.0195999 8.699601e-05
0.02632344 7.811061e-05
0.02564478 8.166298e-05
0.01639913 7.311542e-05
0.01263587 7.217418e-05
0.001677205 7.147413e-05
0.00176158 8.278753e-05
0.0007513579 6.615995e-05
0.007157238 6.290867e-05
0.006965797 6.645859e-05
0.004293234 6.101151e-05
0.002043671 5.373832e-05
0.011253 5.462963e-05
0.004647913 5.185022e-05
0.006134503 5.55114e-05
0.0009573251 5.78056e-05
0.004419825 5.054083e-05
0.009733668 5.177188e-05
0.01386621 4.621551e-05
0.01231679 5.085677e-05
0.02385079 5.019279e-05
0.01643191 5.125136e-05
0.01624557 5.342511e-05
0.01257079 5.57632e-05
0.006912253 6.032018e-05
