probIn varB
0.0202704 2055.486
0.01001443 1628.097
0.001510713 1629.313
0.000688756 1877.443
0.002045441 1895.543
0.005935751 2230.879
0.01051023 2274.032
0.0114612 2168.291
0.002370589 2479.547
0.002269016 2200.016
0.00758484 2137.387
0.0009962361 2193.385
0.003558366 2488.074
0.007173228 2147.252
0.01598392 1854.197
0.004373502 1578.023
0.003013961 1654.284
0.001480943 1542.177
0.0002737284 1366.821
0.00813682 1292.75
0.01331313 1370.108
0.009512592 1317.779
0.008275878 1277.29
0.005919519 1335.778
0.0009815742 1366.165
0.00178418 1626.174
0.003377253 1507.994
0.004731524 1539.733
0.0005834988 1666.372
0.003250717 1847.48
0.01031276 1676.757
0.00314411 1552.968
0.003334144 1739.884
0.006699866 1548.928
0.004203264 1560.935
0.0007634646 1601.314
0.004196818 1497.225
0.004070278 1567.377
0.003580685 1862.62
0.002519151 1661.994
0.003006402 1540.788
0.01009962 1425.396
0.006632002 1397.647
0.002411287 1169.347
0.005526815 1053.795
0.001287465 1179.007
0.00232471 949.6324
0.0006528765 915.7042
0.007968281 773.638
0.007675423 845.4295
0.01301695 914.7481
0.01591209 778.7719
0.02146933 764.1366
0.01524127 803.4903
0.008701283 683.5352
0.01273346 733.3682
0.007007447 641.3258
0.006653415 544.3889
0.008227387 491.3079
0.00589962 526.5697
0.01921682 579.0496
0.02059578 547.8146
0.01387099 566.6702
0.01243037 506.0674
0.01661727 596.9073
0.02273776 532.0234
0.02075909 531.7228
0.01099586 642.2613
0.01714804 585.5028
0.01036994 551.2694
0.008287269 546.402
0.02196857 491.5475
0.02836327 529.5637
0.03592975 509.2588
0.03529863 490.0887
0.01477848 483.8259
0.01589589 452.7165
0.02327261 523.5307
0.009892712 609.0779
0.01410277 530.4432
0.007370893 639.2389
0.02061228 606.3561
0.0268015 592.8275
0.04272186 525.8255
0.03909834 640.4675
0.05748055 583.3325
0.03283941 563.8115
0.03983092 565.3487
0.05126827 605.2221
0.03459971 555.8889
0.03216628 561.8057
0.01495572 543.8282
0.0197986 460.006
0.01782857 500.1846
0.01771733 447.7941
0.03139511 349.06
0.01605408 385.1781
0.02004245 359.2318
0.01970859 389.6186
0.02936739 451.3755
0.02069653 431.1002
0.01886086 404.5778
0.002748114 376.1475
0.01728551 384.1633
0.01201682 397.7269
0.03264629 427.4299
0.02452378 461.9218
0.01334549 419.1916
0.01687456 400.5016
0.01081927 369.9572
0.01573529 339.2493
0.0163749 375.7127
0.01153566 358.0662
0.007484476 316.4823
0.01927387 261.5649
0.02404804 253.9524
0.009890821 307.9378
0.01867866 245.1501
0.02457649 268.9417
0.02130766 288.4057
0.01583159 313.5755
0.02355978 345.6357
0.01934168 306.9841
0.04749463 300.3727
0.06344667 288.2345
0.08020303 268.5323
0.05042653 294.2844
0.04602246 265.7692
0.07071226 283.0656
0.06238844 347.1998
0.09158998 379.1326
0.03760992 366.0331
0.04042012 410.4122
