probIn varB
0.02866717 6061.788
0.01858624 5441.502
0.007715897 5386.728
0.007145769 5452
0.007119142 4242.584
0.008387853 3912.075
0.007667948 3844.485
0.01625172 3176.168
0.01108318 3318.396
0.02527565 2877.973
0.008834437 2517.977
0.001913885 2605.002
0.002558064 2461.234
0.01160967 2674.475
0.01043659 2402.649
0.02376995 2077.477
0.02765412 2243.89
0.01212238 2563.176
0.02720673 2803.106
0.01887628 2939.445
0.004859528 3501.943
0.0008084864 3089.712
0.003777573 3227.433
0.01418401 3436.676
0.009858258 3483.767
0.005994882 3521.505
0.01649519 3392.872
0.03487809 3383.417
0.01605439 3680.832
0.007380995 4050.145
0.01194748 4225.303
0.01185837 4466.044
0.01920347 4603.707
0.02085679 4716.504
0.02534425 4707.163
0.03484299 3514.655
0.0463987 3122.585
0.04298912 2687.51
0.06159475 2665.247
0.06240142 3082.584
0.0585999 3032.857
0.0463444 2790.545
0.06231879 2511.207
0.04617686 2634.489
0.04131974 2662.124
0.02585228 2803.616
0.02005426 3076.835
0.01822828 2845.56
0.0106537 2693.729
0.01535801 2672.997
0.01652406 2530.366
0.01641129 2509.955
0.00458951 2448.277
0.004632822 2338.324
0.002167655 2379.463
0.004520291 2389.94
0.007121511 2238.673
0.006221277 2196.221
0.008974771 2109.124
0.005256464 1941.863
0.004865948 1804.295
0.006697188 1500.532
0.003448004 1476.732
0.01139366 1443.572
0.0004527271 1376.497
0.006684801 1238.656
0.004449118 1210.93
0.00240222 1152.575
0.005344344 1537.786
0.008975854 1620.592
0.003301445 1346.746
0.006695049 1708.944
0.009578956 1927.955
0.01674826 1530.763
0.03282471 1609.531
0.03025564 1825.135
0.02248308 1702.28
0.02130321 1722.307
0.008224225 2048.383
0.01356881 1979.468
0.006222786 1692.816
0.001506143 1867.871
0.003150704 1285.213
0.004643349 1256.606
0.01697921 1448.393
0.005412141 1471.401
0.006025694 1431.462
0.01899007 1502.144
0.02402519 1643.392
0.04247229 1536.731
0.04274525 1254.216
0.06478855 1223.229
0.05158208 1131.249
0.06358432 1138.372
0.07467322 1154.656
0.05037833 1277.74
0.04236444 1291.795
0.02847274 1147.038
0.03868394 1249.7
0.03169357 1117.012
0.01782538 1308.302
0.01388643 1491.218
0.0111192 1457.386
0.01683815 1263.935
0.01234511 1452.276
0.01495032 1104.885
0.02183099 1353.097
0.04266324 1307.203
0.02692624 1546.197
0.01730722 1309.771
0.01395763 1233.433
0.01986489 1418.346
0.02438941 1403.539
0.003669799 1284.732
0.01926028 1231.582
0.01490541 1155.365
0.03301638 1141.335
0.041674 1143.225
0.03301074 1060.143
0.03806111 967.4086
0.04721906 768.1238
0.04527382 751.3223
0.05473728 814.3144
0.05246672 769.9083
0.03884644 788.2221
0.03624263 745.9501
0.03008275 778.0042
0.02809015 889.5995
0.0231762 931.3244
0.01931477 1082.906
0.0158505 1153.681
0.02965267 1279.399
0.02960418 1400.997
0.02032975 1139.786
0.02240269 1043.041
0.03812863 1122.523
0.01873759 1259.497
0.03620418 1148.293
0.03797534 1077.515
0.0132175 1017.829
0.01571536 1078.921
0.01952506 1087.174
0.003555319 972.6534
0.001159025 1031.055
0.0004499724 1028.239
0.003239744 1016.458
0.005999633 930.7751
0.005769781 951.3299
0.002881379 1065.745
0.008654706 1155.96
0.01456192 1064.592
0.02902283 1419.732
0.05407639 1288.27
0.04267845 1200.716
0.0307648 1147.974
0.04393329 1109.676
0.02728464 1067.573
0.0126672 865.5687
0.01783504 1026.494
0.02825377 1108.266
0.05161418 1073.735
0.0310299 1016.432
0.03320505 1144.155
0.05206764 1054.303
0.06312254 1044.156
0.07805577 952.0109
0.0605081 970.6
0.04252868 912.0436
0.02287262 805.8455
0.02937806 721.5238
0.04185193 649.2792
0.04280453 720.5856
0.05163789 745.6303
