probIn varB
0.02323716 0.02477411
0.01855183 0.02080212
0.01225309 0.01932239
0.009236517 0.02055278
0.01837289 0.0207563
0.01063596 0.02078358
0.005575138 0.02052422
0.004360989 0.02023503
0.01060227 0.02049219
0.01014994 0.02443587
0.002634304 0.02608695
0.01563554 0.03078291
0.009661971 0.03234307
0.005962986 0.03287907
0.002961079 0.03364255
0.007499638 0.0368673
0.003646322 0.02851232
0.0002512884 0.02579007
0.006125931 0.02731435
0.01008927 0.02357213
0.00577942 0.0203601
0.008920366 0.01791919
0.0168106 0.01648927
0.007289942 0.01863311
0.003434799 0.01721243
0.005945414 0.01514948
0.004413463 0.01679785
0.01033645 0.01508001
0.003796776 0.01619446
0.004986341 0.01615925
0.005191905 0.01703706
0.01029928 0.01587259
0.01844878 0.01748289
0.01614387 0.01766192
0.01747703 0.01913575
0.008718915 0.02553355
0.005148966 0.02486797
0.004551156 0.02472713
0.008720696 0.02767927
0.01034289 0.0320686
0.005654792 0.03457018
0.002808256 0.03336185
0.01524583 0.03483374
0.006528835 0.02774245
0.002238525 0.02858174
0.002328968 0.03496156
0.002913779 0.0315158
0.01566747 0.03437791
0.0117909 0.02802726
0.004166773 0.02316951
0.003099859 0.01974427
0.0188681 0.01870846
0.009639296 0.01374757
0.008230788 0.01212716
0.01401493 0.01157966
0.008905211 0.007925983
0.0359613 0.008146224
0.02385695 0.008400963
0.01745229 0.00790676
0.03108098 0.00851844
0.01482973 0.009679121
0.01218344 0.009629383
0.02255915 0.01071643
0.02356923 0.01021262
0.01196158 0.01138816
0.01484174 0.01107394
0.02373072 0.01098257
0.02420752 0.01082371
0.01708138 0.009711459
0.01722616 0.009115032
0.006759263 0.008588008
0.006534177 0.008568408
0.01905348 0.009087502
0.01917772 0.008901034
0.0150719 0.008678022
0.009286715 0.009698087
0.03530734 0.009157149
0.01370574 0.009376649
0.002774763 0.009163842
0.01226315 0.008164785
0.01568512 0.007029995
0.008582556 0.007063554
0.006468699 0.007166874
0.003203725 0.006737934
0.006751701 0.005457943
0.01645848 0.004481285
0.01630186 0.00468323
0.007753646 0.003862772
0.008262385 0.004032237
0.0368701 0.004602985
0.0124229 0.004555774
0.01542324 0.004319972
0.01034184 0.005479441
0.01004293 0.006184331
0.04329909 0.005736856
0.02613923 0.006195908
0.02415872 0.006726541
0.02866484 0.00685206
0.03000389 0.007236758
0.02443366 0.009065056
0.02036581 0.008501541
0.02178722 0.009587147
0.02416721 0.008474336
0.02124305 0.00924509
0.005864887 0.009636663
0.01268604 0.009807461
0.009750616 0.009724727
0.02591409 0.0102733
0.02146383 0.01203249
0.0155179 0.01237906
0.01073555 0.01288674
0.01615791 0.01143903
0.01636979 0.01142399
0.03182538 0.01229763
0.03112833 0.01151035
0.02439464 0.009700538
0.03787349 0.008596075
0.0605168 0.006291608
0.03135552 0.006721177
0.01948759 0.006799063
0.012989 0.007355697
0.01957284 0.008845138
0.03398221 0.01007898
0.04203704 0.01180753
0.03129433 0.01021776
0.0292899 0.01014232
0.01208438 0.008069235
0.008776633 0.006809597
0.009179726 0.007671595
0.01104567 0.007347629
0.0265345 0.008049833
0.020002 0.007153315
0.02993587 0.007770581
0.02889453 0.008407189
0.02835858 0.008635418
0.02330514 0.008108737
0.03030992 0.008611265
0.02494642 0.007904573
0.01959788 0.006656744
0.01627906 0.007919321
0.02136928 0.007645632
0.03191502 0.008772848
0.04699007 0.007892965
0.04361074 0.0084124
0.01146512 0.007678699
0.01162128 0.00697653
0.02027634 0.006493746
0.03044737 0.006575652
0.03523084 0.007297194
0.02601723 0.007295052
0.02756431 0.006887027
0.01155628 0.007782334
0.002903324 0.00791819
0.004228237 0.007416747
0.006613903 0.006527076
0.01280531 0.006739905
0.02799116 0.006584343
0.0235778 0.007745749
0.01897191 0.006948148
0.03053565 0.005707109
0.01630043 0.006339047
0.0152791 0.005430884
0.02055441 0.005761939
0.009963715 0.007600057
0.01513449 0.008007634
0.02329642 0.006860465
0.03178036 0.005822995
0.0125851 0.005862586
0.008054622 0.006154278
0.03267271 0.005791633
0.02956271 0.005361525
0.04046829 0.004880655
0.06051592 0.004818598
0.05987727 0.003637079
0.07992807 0.003550973
0.1021598 0.002952593
