probIn varB
0.02718004 1145.123
0.02226537 986.9425
0.01671222 976.8586
0.02471092 983.7668
0.01738458 978.7073
0.01254074 1040.453
0.00917064 1044.905
0.02014007 936.243
0.01342543 819.0075
0.02738242 737.8216
0.01340516 645.0911
0.005224574 674.5661
0.003047616 614.942
0.0203348 597.7227
0.01946382 533.1672
0.03336105 578.7204
0.02206367 645.4538
0.03203791 630.5917
0.01942629 585.557
0.03293803 666.6736
0.06521124 635.2339
0.04252161 673.4546
0.03432148 567.1732
0.03398142 646.278
0.03241956 642.8212
0.01905792 673.8216
0.0180385 627.8364
0.01020424 764.3652
0.01159849 699.4993
0.01509636 517.5616
0.01945361 482.7207
0.02667961 553.1198
0.03742752 565.7044
0.02035239 497.2519
0.02700448 534.9152
0.02975438 494.8689
0.03768034 461.7915
0.04583012 475.6681
0.04128498 610.1854
0.04380258 558.2441
0.04741342 582.4504
0.04037382 527.1904
0.04024352 539.0429
0.02398136 505.9887
0.03252607 490.9343
0.01583247 538.822
0.02018263 521.2878
0.02326922 637.0018
0.01150263 636.1631
0.01599774 609.2481
0.02694435 581.3431
0.03154152 514.4766
0.03122852 426.9157
0.0228217 489.0083
0.01999076 458.2934
0.01677069 392.0235
0.007664458 353.9697
0.02126814 277.9881
0.02566317 313.3921
0.02625373 308.4292
0.03832752 291.77
0.04019141 252.0961
0.06504741 222.4419
0.05197989 225.9855
0.03674911 255.1103
0.02055186 210.2515
0.02672675 214.1879
0.02088644 222.6909
0.01017451 249.6335
0.02416244 201.2649
0.03253075 178.8468
0.03592769 159.0306
0.0613157 165.2015
0.05707556 157.222
0.07390264 165.1533
0.09450539 180.6753
0.07391109 188.2354
0.04871155 179.8604
0.03107408 190.8369
0.01707955 226.9744
0.01857458 221.5753
0.03213874 198.2387
0.03338597 190.8317
0.04296338 196.235
0.03505459 236.0906
0.04165322 262.8432
0.05072695 285.7362
0.06872283 230.5683
0.05830121 195.4969
0.04846539 186.7486
0.01553656 179.93
0.03976541 183.9247
0.02721343 196.4646
0.05077647 181.4883
0.0576599 176.2726
0.05834585 180.0721
0.05252675 153.6894
0.02130348 177.3069
0.02960988 200.4907
0.02725388 171.1437
0.04197054 187.4224
0.03085306 190.3359
0.02807001 197.8023
0.0365441 196.0277
0.05105688 193.7897
0.04148101 191.6337
0.03737989 183.9579
0.03797327 164.5611
0.06939374 172.2043
0.05092145 192.4016
0.05097013 209.2085
0.06704579 222.2291
0.06373467 218.1469
0.05928147 178.7831
0.0719757 146.7566
0.08042158 143.0806
0.04403889 120.7978
0.0615278 147.1041
0.06428706 137.0611
0.07287822 103.7298
0.0797787 109.446
0.08682674 114.1
0.08058831 114.4532
0.1248016 111.2555
0.1253753 108.1871
0.1355635 112.2087
0.1370626 103.7911
0.13118 90.73209
0.1096574 78.75856
0.1425692 73.16888
0.1593018 83.12123
0.1745878 86.95843
0.1378476 93.15872
0.2003185 100.5028
0.2349666 102.2125
0.1558602 92.04674
0.1292387 85.01485
0.1312435 84.88255
0.1621918 83.35728
0.210189 76.86608
0.2041779 76.359
0.2087664 74.55422
0.2392449 73.87433
0.2003017 77.16946
0.1658504 77.67959
0.1973407 66.87583
0.1907349 68.89844
0.1370359 67.50966
0.1545027 67.96509
0.1668405 58.13915
0.1978696 68.28505
0.1684776 64.70741
0.1333093 62.25647
0.1469948 60.87573
0.1272799 69.65658
0.1386332 73.49964
0.09499478 81.72154
0.1064435 93.51315
0.129366 82.4256
0.1356578 98.22962
0.1189444 90.31343
0.1104015 95.88006
0.1294785 97.62149
0.1067716 86.53353
0.1094286 87.01238
0.0857593 95.31802
0.1234999 100.2508
0.08254856 113.2673
0.09973916 114.9816
0.08124422 101.3641
0.07820256 121.7913
0.06394668 118.6489
0.0697461 139.6842
0.08248468 128.2159
0.07799465 130.9323
0.05450868 152.2413
0.04242304 162.2875
0.05046877 187.7525
0.05820452 195.552
0.06780722 246.0781
0.06808766 241.2015
0.06161232 283.741
0.09537805 305.4994
0.1004555 253.259
0.07597886 280.6176
0.05515566 279.1112
0.03097036 322.217
0.0464502 265.1166
0.01295774 259.9544
0.02246185 245.2621
0.0321589 271.0779
0.03472162 283.3513
0.03498498 306.6954
0.03406224 381.1665
0.04355216 365.5297
0.03236268 318.4102
0.04110614 339.7199
0.03415903 346.4761
0.01606332 371.0372
0.01263196 365.2807
0.01723695 396.2774
0.01945635 393.4096
0.04019561 299.8917
0.02518651 282.8799
0.03611588 247.7847
0.0222327 266.884
0.03788207 289.131
0.0387166 306.5857
0.03529509 254.4571
0.02723302 258.9555
0.02268202 229.0937
0.01871036 230.4996
0.01515912 224.2386
0.01774327 226.281
0.02580705 203.5625
0.02797814 190.1109
0.05248223 166.2509
0.032654 174.833
0.03696469 188.3111
0.03541387 206.3242
0.04581285 228.2405
0.06111443 227.1263
0.07547319 269.9083
0.05926714 243.5984
0.0524261 260.8837
0.05131596 256.5539
0.05597007 213.2438
0.04811792 210.6481
0.03556561 162.9385
0.05887771 129.9049
0.08819493 110.7204
0.08859319 90.00279
0.09629072 103.1875
0.1305133 90.71108
0.1307233 117.2553
0.1247899 116.9157
0.08511705 95.62203
0.05635279 99.47762
0.06878797 85.57803
0.06883665 87.79371
0.1184246 88.0875
0.1045294 107.2896
0.1147112 97.51841
0.08298285 81.92065
0.0686771 87.25577
0.08777908 92.91458
0.05797724 83.39951
0.04672174 94.26605
0.06470312 95.57109
0.0639768 89.5477
0.08045214 82.38888
0.09053342 84.83057
0.08198611 88.64171
0.09853949 91.56578
0.09396701 93.29046
0.06993422 93.67775
0.06760155 76.45053
0.04308775 95.99149
0.03102004 97.11281
0.04795746 91.54154
0.04947985 83.12767
0.05827605 77.05778
0.08178095 107.2369
0.1100201 107.692
0.1035783 108.5827
0.131989 109.0199
0.1417676 107.3664
0.07298085 133.5655
0.08148518 131.6556
0.08889674 151.6163
0.0697919 154.5524
0.08713441 129.5472
0.05943146 150.2373
0.04212169 127.6943
0.02989662 135.4084
0.03156735 155.7782
0.04559595 176.6678
0.04805343 223.4968
0.02964738 204.4368
0.02890217 243.8647
0.02815939 270.8319
0.03454765 313.3154
0.04868863 319.5605
0.04077992 299.3683
0.05353841 292.4786
0.04189119 277.8855
0.03153718 304.4746
0.02436689 299.9503
0.02858478 337.5949
0.02149469 342.0845
0.02771337 344.1565
0.02218934 336.6105
0.01030952 343.3955
0.02241425 338.4167
0.02879385 345.9335
0.02774608 332.6299
0.05665167 366.5313
0.03455161 298.5427
0.05521609 309.3094
0.04993066 300.9749
0.04800586 278.1837
0.03301633 312.2375
0.01055124 220.8164
0.01971874 245.4421
0.03119495 226.4136
0.02307063 218.3055
0.02044484 217.5039
0.04759551 242.1642
0.05360766 213.4319
0.05271375 200.7245
0.0182396 185.6298
0.01707484 151.648
0.01070801 180.2547
0.03073103 167.5243
0.0488858 172.9523
0.09147107 171.1506
0.07635127 190.5497
0.06191713 194.8186
0.0547319 229.2083
0.05492427 236.7366
0.02774905 243.2383
0.03152395 218.6099
0.04501064 208.7263
0.05922444 214.1119
0.06020939 187.7828
0.06178875 203.0494
0.0867872 195.7716
0.1077901 200.7359
0.111657 207.3607
0.1148183 193.8202
0.08288878 170.4887
0.06247021 189.7268
0.05864259 204.6022
0.03566679 183.5064
0.06001006 154.5819
0.0337456 148.9225
0.0333846 157.7833
0.05469129 172.1267
0.09361349 147.4098
0.07120501 164.7047
0.05097364 133.5648
0.0677885 136.5981
0.07230973 111.2413
0.05998874 116.0045
0.05477353 127.1334
0.02878853 87.98665
0.02470553 87.09904
0.02843439 88.76733
0.01340648 77.09692
0.007622021 81.58269
0.01847681 85.88863
0.01501102 115.3348
0.01928075 104.2115
0.03358676 113.3024
0.01836782 136.2364
0.01066399 107.193
0.01443994 110.6877
0.0195928 126.9765
0.02601495 125.8382
0.01862213 140.8395
0.04532036 127.6205
0.06574935 110.4137
0.07337394 107.5016
0.1021969 108.0895
0.09003319 103.0149
0.06115654 104.108
0.09011671 113.5565
0.08022348 117.1728
0.07767551 94.4218
0.06575765 96.34003
0.08287873 88.75228
0.09006848 81.90195
0.08191646 97.87605
0.1083605 100.7073
0.1165168 99.77241
0.0915742 97.30003
0.07495908 94.39378
0.09708584 117.729
0.1117374 139.2526
0.1060071 139.9743
0.1046732 115.3808
0.09650805 135.4689
0.08059392 129.1697
0.06227196 139.2817
0.04489463 152.6063
0.04662078 171.6205
0.06544167 156.3802
0.06734419 145.0461
0.05301197 211.3719
0.06480789 197.9269
0.07416394 213.6332
0.09459522 250.3713
0.09111048 296.1364
0.1304719 286.9006
0.1251723 276.6268
0.1258052 265.727
0.11326 209.2942
0.0825596 178.3837
0.1136252 181.6649
0.0845737 139.9196
0.1073839 167.2902
0.1045548 173.0709
0.1130486 182.494
0.08505819 178.8509
0.03742221 142.4209
0.04072899 148.7272
0.02377669 160.2982
0.02812064 157.3454
0.03579019 169.8517
0.02740672 153.2625
0.02921532 158.3278
0.05104541 146.3482
0.0492621 156.5788
0.09735794 170.1085
0.08347901 151.9824
0.08931065 145.9005
0.07235263 122.5843
0.04490564 108.959
0.0434109 124.8277
0.05501615 135.2795
0.08011794 111.1269
0.06444402 113.2041
0.05440201 95.43431
0.07400604 113.538
0.09142826 121.4185
0.1244496 99.32954
0.1436573 86.85026
0.1495412 92.75069
0.127278 91.23453
0.1565628 97.11341
0.1651951 88.08311
0.116364 100.697
0.1009726 108.7111
0.1324476 94.09063
0.0975513 78.44418
0.1187143 89.89322
0.1342439 81.98094
0.1253893 86.18636
0.1338802 92.07005
0.1627916 95.13938
0.1586139 90.28551
0.1774137 86.11991
0.1361862 90.4583
0.1424446 90.43989
0.1880067 85.48616
0.1638434 74.56804
0.1913134 71.63416
0.2251111 70.70434
0.2459774 70.86522
0.2280099 59.64818
0.1909325 55.45478
0.1858744 47.32221
0.1813153 48.81764
0.2019323 54.35591
0.2123154 58.85506
0.2037707 67.15282
0.2690735 60.26299
0.2607631 64.80738
0.1525478 67.96237
0.1289117 70.72022
0.09170785 85.7536
0.07273863 109.9453
0.06752147 98.05122
0.05933632 112.2303
0.06063536 116.9205
0.0381218 120.001
0.0360856 134.5803
0.03081012 150.6091
0.02715798 153.4941
0.01956634 151.9276
0.03386081 152.3989
0.04306329 121.7149
0.03950464 121.1294
0.0497561 109.3836
0.05130069 114.8107
0.03268647 108.257
0.04312991 105.5243
0.05808894 111.3765
0.03023455 105.2412
0.03084131 131.0921
0.03705608 146.3981
0.05135957 152.9469
0.06314816 143.6571
0.06291329 138.2206
0.06447078 150.5907
0.06637341 145.7815
0.05511514 142.8785
0.06744735 153.446
0.06254285 162.497
0.04719777 189.6525
0.04593385 173.4684
0.04221524 141.525
0.05215309 113.2513
0.08441873 92.7641
0.07111052 79.9393
0.076713 76.73002
0.09789984 89.68866
0.1115902 82.82638
0.1034431 76.85456
0.1071766 84.6347
0.09390167 103.851
0.09546479 88.82929
0.1070812 93.24042
0.08738505 85.97122
0.1028195 89.24079
0.1141241 93.87248
0.1105492 121.4507
0.1006393 91.62395
0.08402479 87.43984
0.0626249 72.16039
0.08483034 82.09964
0.0925136 100.7902
0.07054766 105.629
0.05197208 112.7129
0.06137734 121.4048
0.09789616 144.6595
0.08359226 149.7198
0.1027979 160.993
0.085013 174.8948
0.06901639 173.3213
0.05966465 153.7163
0.07320274 158.804
0.07763838 157.9987
0.07073926 151.6999
0.1140636 180.5708
0.1012972 178.7518
0.1036271 199.6638
0.06662031 179.3025
0.06269334 169.162
0.07013939 194.7941
0.0649132 162.7473
0.03324007 172.1696
0.0410834 195.9734
0.02478272 246.1507
0.01959367 250.7998
0.03146936 277.8832
0.02251801 318.2405
0.02106628 315.3907
