probIn varB
0.01643513 4931.908
0.02024821 4278.336
0.006203814 4037.506
0.005600475 4405.314
0.007361982 4581.877
0.00237447 4269.313
0.0005559457 4272.994
0.003404435 4493.291
0.004357754 3885.464
0.004470598 3646.33
0.0006679231 3452.342
0.003323054 4182.848
0.0001076441 4351.338
0.001490644 4152.887
0.00345677 4382.742
0.003918307 3338.829
0.004707669 3372.007
0.00700946 2890.166
0.01388639 3045.289
0.01716482 2758.159
0.01312169 2736.095
0.01663825 3275.811
0.01160345 2803.441
0.01300155 2370.073
0.0142165 2228.635
0.01305464 1954.077
0.01201036 1742.345
0.02921916 2002.165
0.05409948 2021.512
0.02482359 1949.466
0.02339183 1702.35
0.02080236 1777.414
0.01021706 1807.893
0.01376207 1725.769
0.02655404 1483.282
0.02185478 1506
0.01353678 1323.398
0.01167921 1165.052
0.01072655 1207.016
0.031814 1024.207
0.05501094 1017.017
0.05688683 995.1818
0.06144538 1079.295
0.04800175 1013.673
0.03897086 1001.908
0.03795787 982.3513
0.03177224 1026.362
0.0335776 958.8645
0.04229708 943.6174
0.03908342 894.6865
0.03592604 973.4638
0.03931107 1117.344
0.04042501 1235.832
0.03417115 1165.64
0.02929909 1103.137
0.03422178 964.2502
0.02545126 996.9764
0.02097357 1140.362
0.0201598 1066.808
0.02048128 1021.772
0.03694181 922.7583
0.04047168 917.179
0.01896617 1115.936
0.01105402 1076.546
0.03168257 1126.566
0.0158331 1220.074
0.01268432 1200.648
0.00379837 1160.196
0.005571523 1131.508
0.004028435 1045.52
0.01562503 934.2066
0.002981635 1049.577
0.01619477 1037.175
0.003875214 1136.934
0.01448615 1075.002
0.01259549 1305.78
0.01281128 1441.01
0.02053083 1305.101
0.0234621 1421.096
0.02003219 1288.601
0.005975908 951.2286
0.001845418 981.5822
0.001288123 973.3827
0.004215131 1122.374
0.00332086 1086.543
0.01021257 1278.504
0.0097722 1348.576
0.009479432 1205.337
0.01608792 926.0125
0.01598082 801.2177
0.02713234 628.2964
0.01869123 673.6534
0.02530439 706.6652
0.03983979 957.7354
0.04085602 947.282
0.03851184 808.8398
0.02520894 748.0325
0.02143177 852.1035
0.02099305 897.7126
0.01312857 967.2918
0.03443647 929.8488
0.03163041 1010.53
0.05362218 1040.486
0.03984694 1073.966
0.04256281 1025.147
0.04870075 941.564
0.03213744 890.7302
0.02024392 943.2321
0.01298889 834.8254
0.009755647 814.1166
0.00982198 761.8959
0.01264266 769.1313
0.002858389 789.708
0.002097653 731.2128
0.000212302 820.755
0.005852299 835.108
0.003419958 823.5164
0.008045696 780.0377
0.01950107 674.3833
0.008174398 675.0657
0.01255725 727.0936
0.01364614 768.849
0.0179046 690.0324
0.02830912 703.6132
0.01830409 817.8765
0.009967391 941.1888
0.01611926 956.352
0.01273235 788.2783
0.01764765 802.6346
0.008022139 988.5922
0.005783583 742.6252
0.01975475 740.0824
0.01600491 749.0289
0.02594659 801.4249
0.02376666 833.6537
0.01392756 1061.646
0.01999037 1044.139
0.01646586 1211.386
0.006359473 1041.814
0.01278612 1002.111
0.03170275 1042.807
0.01480683 1123.903
0.004418774 1239.834
0.0023061 1130.786
0.004396942 1271.774
0.005690455 1244.967
0.007315819 1242.199
0.003799432 1371.626
0.009107411 1307.77
0.006461893 1519.604
0.01173412 1500.279
0.01505222 1422.377
0.003836344 1349.77
0.001078174 1274.46
0.002398204 1274.677
0.001814934 1373.066
0.01487063 1393.511
0.01745682 1395.616
0.01598678 1684.325
0.01267755 1786.292
0.009377315 1945.22
0.005981612 1756.503
0.02115241 1931.24
0.007838077 1707.099
0.005112757 1341.547
0.007045602 1389.631
0.01094252 1246.266
0.01889405 1173.028
0.02061522 1142.337
0.01299369 1226.714
0.01117447 1358.907
0.01135899 1323.358
0.01058799 1684.721
0.002374962 1835.102
0.002654248 1647.529
0.002331981 1459.409
0.01038595 1320.03
0.00504504 1275.149
0.01556939 1116.358
0.02295013 833.4311
0.01458635 751.4163
0.01038165 651.8984
0.0160678 716.3198
0.03053235 688.0997
0.04854159 597.11
0.04061818 651.4323
0.04644223 602.7219
0.02923147 554.6074
0.03491785 496.7737
0.04294358 490.0273
0.02541117 461.7665
0.02230982 637.9193
0.01912815 588.0413
0.03438514 756.8146
0.03588882 860.7794
0.04907138 826.6691
0.07253652 774.7637
0.09775689 837.2325
0.09469461 742.7958
0.066919 866.0918
0.054782 949.7253
0.06371734 872.9048
0.05308445 854.7311
0.05432948 846.3284
0.05104116 736.5948
0.04242541 882.3604
0.04029396 786.0226
0.03422943 798.5007
0.04507066 740.1304
0.05980643 705.5008
0.06820307 741.8558
0.04432147 686.4143
0.0685825 686.4177
0.04755943 649.622
0.05326123 588.2568
0.06889322 522.0826
0.05238072 587.4032
0.0520369 627.9243
0.05205617 691.0595
0.03795174 667.946
0.02201947 660.2973
0.04282577 567.8443
0.03059124 623.255
0.02884348 701.9984
0.02369242 653.7559
0.03104918 629.7677
0.02201339 581.1932
0.02315466 505.9147
0.03715529 534.4171
0.03173615 529.688
0.03366237 532.1862
0.02161368 488.1938
0.008739166 483.2192
0.009454334 594.5553
0.003122669 637.7739
0.005568748 540.7964
0.005478513 458.833
0.01249268 364.6933
0.01069426 378.4551
0.006545962 394.1256
0.003641561 330.5138
0.01958211 342.0106
0.007569462 361.1041
0.008544625 357.1682
0.02051922 377.4829
0.03064006 405.3378
0.02769258 381.4291
0.05425148 418.1015
0.06237684 482.7608
0.07939149 586.4275
0.09484184 616.6038
0.1148714 564.4408
0.08419956 646.4755
0.05633986 714.0527
0.03872204 723.9563
0.07285339 760.548
0.04385859 777.3696
0.02924082 775.6863
0.0249768 737.6326
0.008735203 720.4651
0.008623056 652.5893
0.02987061 646.5644
0.02407702 627.2729
0.01615572 568.5884
0.008715564 624.1965
0.004354363 670.0917
0.007781484 749.3978
0.01989371 656.0235
0.0325955 676.3665
0.01552746 616.6089
0.0361551 670.4197
0.03528091 594.7339
0.0334369 631.9639
0.03345566 610.5063
0.0130242 629.1937
0.008498689 628.4987
0.0128171 492.6682
0.003379765 474.7226
0.01189873 478.3584
0.01945586 517.0405
0.01575711 581.9751
0.008262022 584.1097
0.008300748 615.9945
0.006065385 575.8597
0.006113673 504.3368
0.02350852 554.4095
0.01547983 583.697
0.00437834 604.3178
0.009073506 523.6807
0.007007925 453.4555
0.009193732 485.9784
0.01650631 527.8746
0.01784975 577.1028
0.02878008 459.0092
0.02119237 452.5027
0.0277284 506.1972
0.02183141 517.1934
0.01786183 563.2641
0.02721053 493.0051
0.04309477 415.3409
0.02641578 378.765
0.05536018 367.6213
0.04314456 413.0083
0.07169818 464.4223
0.05769932 451.6224
0.04164828 426.3205
0.03635356 437.1774
0.03711488 407.8253
0.03750941 414.6029
0.0398038 457.4895
0.0431234 419.0134
0.02729303 425.4836
0.02491924 480.4666
0.02621811 462.0515
0.02649611 483.6453
0.009709616 509.723
0.006790463 583.9816
0.009062756 713.9185
0.006922672 641.5369
0.007967196 670.2061
0.01118266 695.1659
0.0159886 697.2175
0.006497106 729.4997
0.01301757 744.7999
0.009834264 699.9212
0.006084495 653.2572
0.005093074 560.8258
0.007940298 609.0714
0.02267162 659.513
0.02835553 661.4769
0.01943332 662.2478
0.01770548 773.3635
0.004799695 688.6729
0.004059142 838.6104
0.0048159 771.3678
0.002338072 849.8995
0.004634341 756.7393
0.004609639 791.2868
0.004153972 845.416
0.01215377 752.6374
0.0202415 705.2788
0.03406618 719.301
0.06893715 996.5514
0.1078558 1046.421
0.1083817 1185.338
0.1003956 1275.118
0.1024683 1599.511
0.1021742 1399.561
0.1205539 1169.884
0.1239851 1190.832
0.1292518 1307.235
0.08608336 1415.935
0.07965829 1336.311
0.07238559 1017.035
0.05704116 893.1973
0.06072591 933.8783
0.06516614 978.1887
0.04980517 938.2827
0.0568564 808.4858
0.04442675 913.3921
0.05301719 985.1728
0.05530975 1031.728
0.05221069 1038.737
0.03176916 1172.378
0.03377585 1344.679
0.03915587 1060.969
0.03042502 874.0435
0.02437641 1036.805
0.03524747 1033.537
0.0237113 1040.512
0.01151313 993.93
0.01875136 910.6297
0.006203466 986.4829
0.00313611 938.4397
0.003864008 994.1268
0.001184719 1046.458
0.002494089 998.1267
0.008293128 913.3502
0.004052414 900.2043
0.02375033 655.7076
0.03966224 690.5695
0.02234133 736.6686
0.04082715 888.5978
0.05186782 723.4606
0.05267462 652.3827
0.01728483 562.2307
0.008680939 601.6811
0.01591911 649.4911
0.008115848 667.9721
0.005166435 729.6709
0.009961654 767.2571
0.005488886 848.786
0.004415477 1132.592
0.01040086 1423.006
0.0143197 1185.709
0.01143361 1150.144
0.01103715 1178.522
0.003801521 1139.244
0.004713897 1114.73
0.006932525 1248.798
0.0003556278 1147.143
0.003216128 1167.761
0.005812611 1478.297
0.005640578 1309.313
0.01054224 1201.117
0.002800617 850.3829
0.003260076 694.5254
0.003009357 624.6795
0.001616541 634.1394
0.005109699 559.4299
0.01479004 645.2641
0.00904278 619.188
0.01779383 604.0666
0.02504019 652.3475
0.02089551 744.9833
0.005957181 776.1501
0.01062031 783.2845
0.006450345 787.3694
0.008210705 830.4632
0.002308446 768.768
0.002732062 774.3625
0.006997019 679.1834
0.02064958 618.6314
0.02334561 664.5798
0.02080581 686.0756
0.01995717 771.7146
0.008096914 730.3222
0.01222855 817.7168
0.0008875732 973.8552
0.005656495 922.0532
0.007724852 1031.256
0.009259199 1107.37
0.027255 1168.086
0.0108323 1280.356
0.02028038 1150.314
0.02020767 1216.588
0.02586504 1103.136
0.0265024 1206.583
0.01698755 1101.146
0.01592191 989.1955
0.01627132 915.7171
0.004344712 744.74
0.007580305 784.6776
0.005458013 808.963
0.002658937 626.27
0.007883066 672.9296
0.005105843 774.6407
0.005164787 648.2849
0.003319322 733.0802
0.00811655 702.2366
0.01005193 552.1424
0.005252857 574.6186
0.0123624 636.2006
0.01496169 691.9098
0.009315986 877.5649
0.01130599 906.3067
0.006694957 910.6702
0.005941312 1051.024
0.006469599 921.1601
0.0195806 1016.296
0.01390608 1094.779
0.01428035 1190.204
0.01302815 1263.555
0.003303335 1188.163
0.0001682344 1201.088
0.002160733 1285.585
0.001846162 1338.303
