probIn varB
0.01754431 7093.833
0.006115377 6500.86
0.01591908 6183.482
0.02227033 6814.863
0.02239636 6815.45
0.03168496 6310.148
0.0316588 6213.389
0.01983212 6965.846
0.01963531 6304.414
0.0249142 5482.278
0.02273328 5609.814
0.01810516 5485.006
0.02296321 5199.249
0.007572695 5560.519
0.01106266 5700.615
0.004457559 5950.416
0.009100662 5650.041
0.01511342 5743.211
0.01108944 5705.389
0.004091758 5094.571
0.009826644 4611.73
0.01372694 3854.466
0.01967055 3676.718
0.0324295 3353.57
0.02455305 3001.497
0.03159879 2564.382
0.01447054 2139.531
0.03219275 2326.714
0.03554363 2153.175
0.03337095 2053.838
0.02305053 2305.883
0.01393498 2853.991
0.01499809 2598.939
0.01349555 2971.949
0.01766846 2630.328
0.0145743 2530.882
0.01598469 2249.171
0.007109723 1944.011
0.009152648 1913.744
0.01468969 1461.989
0.006420859 1567.418
0.01095445 1519.784
0.005699859 1557.644
0.008083371 1859.936
0.01326904 1831.429
0.02110958 1720.908
0.02243039 1463.54
0.01311886 1759.948
0.02559407 1809.761
0.03409155 1714.956
0.02323731 2043.101
0.0333573 2295.243
0.04653515 2297.658
0.02666506 2524.772
0.03477512 2351.127
0.05363427 2603.096
0.0445285 1922.771
0.02709422 1951.277
0.02193087 2073.703
0.049278 1772.125
0.0321635 1867.86
0.03661622 1666.925
0.03553351 1532.559
0.04271086 1323.905
0.06092928 1284.521
0.09513675 1189.098
0.09128845 1338.886
0.09817939 1379.987
0.09822717 1351.253
0.06082 1364.717
0.05259924 1112.158
0.03944327 1305.099
0.05539559 1138.253
0.02802728 1469.981
0.03804691 1559.526
0.02985964 1860.857
0.03107382 1962.554
0.04011736 2159.327
0.04255347 2599.893
0.02328918 2538.001
0.0341981 2354.815
0.03812402 2303.12
0.036526 2310.658
0.0405046 2333.854
0.0365318 2211.331
0.02426425 2199.55
0.01663263 1867.494
0.01742821 1704.388
0.03606098 1954.658
0.02908791 1739.793
0.0166389 1505.617
0.02647104 1653.951
0.05613663 1864.505
0.04130043 1953.545
0.03989765 2308.658
0.03695436 2240.813
0.02652463 2516.239
0.02144822 2757.428
0.02585282 3108.059
0.02270979 2766.135
0.0299642 3234.664
0.01512697 2599.421
0.0271677 2315.151
0.03167069 2125.923
0.05459979 2343.563
0.04128629 2044.288
0.05172004 1955.144
0.04746397 1793.222
0.03577203 1907.628
0.04190821 1653.314
0.02382972 1559.766
0.02391909 1685.435
0.03390213 1492.159
0.03739711 1852.121
0.03481443 1607.05
0.05789259 1441.106
0.05154213 1243.754
0.03301908 1373.332
0.04165615 1374.917
0.03524596 1413.951
0.04745637 1303.408
0.04742159 1266.744
0.05703762 1137.165
0.0514015 1176.615
0.05212501 1193.643
0.0640137 1444.081
0.06298737 1195.094
0.103961 1279.964
0.08836322 1078.45
0.09037977 1043.828
0.06826003 985.0343
0.09938846 1073.718
0.09725605 1128.341
0.08710196 1176.774
0.06611216 1064.741
0.07991842 1232.983
0.08874458 1332.824
0.07298016 1166.787
0.1047891 1053.495
0.09709634 891.4985
0.1330017 980.4865
0.1274848 1025.816
0.1211668 979.8471
0.1211709 828.3221
0.1261641 647.5357
0.1482718 722.2282
0.1101303 752.7238
0.1179512 689.251
0.12002 668.1025
0.1525669 657.238
0.1600401 687.1447
0.1875633 676.2394
0.2143721 746.3052
0.1865376 776.8778
0.2042359 804.59
0.1577 929.1215
0.2073302 972.308
0.1220198 1173.689
0.1014415 1072.347
0.07660307 1082.948
0.05624483 1104.349
0.04532649 914.5528
0.02786512 939.9163
0.05227092 1036.508
0.05428948 1083.084
0.06159674 1218.788
0.06348336 1235.218
0.0464596 1329.962
0.05313381 1502.585
0.04502778 1394.799
0.02262767 1589.232
0.03292699 1586.449
0.03627733 1624.589
0.02588807 1372.108
0.02728457 1494.416
0.03053919 1533.493
0.02356648 1531.925
0.0189312 1572.736
0.01851637 1956.627
0.02204187 1782.516
0.00906045 1632.932
0.005972112 1741.675
0.01024204 1765.596
0.02060718 1807.549
0.01233491 1661.992
0.02792647 1707.051
0.01456677 1596.93
0.007114404 1179.401
0.02971632 1280.201
0.01443861 1428.309
0.008546046 1863.205
0.005252352 2216.843
0.01459765 2465.333
0.01199462 2542.927
0.0268121 1976.779
0.03334685 1952.606
0.03924177 1740.037
0.04128003 1385.124
0.03644353 1487.408
0.0321826 1468.974
0.02930994 1433.541
0.04950279 1455.538
0.05132315 1227.825
0.04119452 1248.33
0.02568874 1159.439
0.03303778 1153.826
0.02094388 1373.97
0.03345377 1504.34
0.02437732 1171.055
0.01661953 1074.831
0.03056542 797.8713
0.03284205 796.3683
0.03801182 858.1305
0.024666 815.9451
0.02958226 734.002
0.02745563 808.3826
0.02227856 836.9528
0.02600829 880.9526
0.02635467 909.7875
0.02270093 1013.381
0.02860149 1143.764
0.0264741 1136.669
0.04424339 1159.328
0.05336438 1172.42
0.08236234 1091.525
0.08524704 1308.663
0.06172454 1193.716
0.03089918 1124.165
0.01846198 1085.939
0.01588393 1199.87
0.01473486 1068.297
0.01679231 959.9139
0.002166058 871.3222
0.006313095 1126.531
0.004272387 1165.156
0.00142376 1190.049
0.001980027 1186.36
0.002703996 1180.205
0.004279555 1097.743
0.01723511 1131.654
0.01436683 910.9004
0.03102858 782.6717
0.02797273 845.8455
0.02752163 829.5837
0.01234586 872.7572
0.03024358 836.9634
0.05087462 916.815
0.07079192 1080.153
0.06960875 1183.571
0.05742454 1064.195
0.04656046 1092.774
0.03116617 1254.182
0.04745822 1332.503
0.0345682 1557.089
0.02507043 1749.972
0.02189344 1592.448
0.03157453 1492.199
0.01393435 1201.963
0.01079959 1273.738
0.01718924 1458.023
0.01976736 1846.517
0.005574031 1887.781
0.008844599 2264.253
0.01505978 1910.844
0.0225597 2106.144
