scenario,rank,cross_id,parent_A,parent_B,G_ij,U_aggregate,U_aggregate_z
balanced,1,TSs209_x_TSs282,TSs209,TSs282,-0.2552500529847202,75.8745136907127,0.9795678328520023
balanced,2,TSs49_x_TSs358,TSs49,TSs358,-0.2562557679830043,70.0536000234217,0.9452886671792957
balanced,3,TSs325_x_TSs282,TSs325,TSs282,-0.2442361163715466,61.90126303457794,0.8972798276339458
balanced,4,TSs96_x_TSs358,TSs96,TSs358,-0.2496599308472973,54.92644280522821,0.8562053448559707
balanced,5,TSs157A_x_TSs363,TSs157A,TSs363,-0.2374471553423415,50.112616026506394,0.8278568801476266
balanced,6,TSs363_x_TSs51,TSs363,TSs51,-0.2338936305398882,38.99817389311729,0.7624043025924838
balanced,7,TSs361_x_TSs49,TSs361,TSs49,-0.258089037816867,28.150419214882863,0.6985222385306865
balanced,8,TSs217_x_TSs358,TSs217,TSs358,-0.2469737573307798,26.45392334619292,0.6885316311673326
balanced,9,TSs317_x_TSs358,TSs317,TSs358,-0.2657187874499147,17.365674928570154,0.635011240557006
balanced,10,TSs157A_x_TSs155,TSs157A,TSs155,-0.2793691293273879,15.738947142917027,0.6254314950984635
soluble_oxalate_priority,1,TSs209_x_TSs282,TSs209,TSs282,-0.2552500529847202,75.8745136907127,0.9387915279844089
soluble_oxalate_priority,2,TSs49_x_TSs358,TSs49,TSs358,-0.2562557679830043,70.0536000234217,0.9049659370793258
soluble_oxalate_priority,3,TSs325_x_TSs282,TSs325,TSs282,-0.2442361163715466,61.90126303457794,0.8575923404815018
soluble_oxalate_priority,4,TSs96_x_TSs358,TSs96,TSs358,-0.2496599308472973,54.92644280522821,0.8170613466892025
soluble_oxalate_priority,5,TSs157A_x_TSs363,TSs157A,TSs363,-0.2374471553423415,50.112616026506394,0.7890879829507986
soluble_oxalate_priority,6,TSs363_x_TSs51,TSs363,TSs51,-0.2338936305398882,38.99817389311729,0.7245014602447846
soluble_oxalate_priority,7,TSs371_x_TSs358,TSs371,TSs358,-0.2425635105979938,30.85013844573863,0.6771528600977199
soluble_oxalate_priority,8,TSs361_x_TSs49,TSs361,TSs49,-0.258089037816867,28.150419214882863,0.6614646703252693
soluble_oxalate_priority,9,TSs217_x_TSs358,TSs217,TSs358,-0.2469737573307798,26.45392334619292,0.651606256593946
soluble_oxalate_priority,10,TSs98_x_TSs358,TSs98,TSs358,-0.2737032452159416,24.571230186077837,0.6406658420346817
crude_protein_priority,1,TSs209_x_TSs282,TSs209,TSs282,-0.2552500529847202,75.8745136907127,0.9632569271984824
crude_protein_priority,2,TSs49_x_TSs358,TSs49,TSs358,-0.2562557679830043,70.0536000234217,0.9291422385324918
crude_protein_priority,3,TSs325_x_TSs282,TSs325,TSs282,-0.2442361163715466,61.90126303457794,0.881363753199952
crude_protein_priority,4,TSs96_x_TSs358,TSs96,TSs358,-0.2496599308472973,54.92644280522821,0.8404863524642947
crude_protein_priority,5,TSs157A_x_TSs363,TSs157A,TSs363,-0.2374471553423415,50.112616026506394,0.8122739082957952
crude_protein_priority,6,TSs363_x_TSs51,TSs363,TSs51,-0.2338936305398882,38.99817389311729,0.747135382842763
crude_protein_priority,7,TSs361_x_TSs49,TSs361,TSs49,-0.258089037816867,28.150419214882863,0.6835598353041519
crude_protein_priority,8,TSs217_x_TSs358,TSs217,TSs358,-0.2469737573307798,26.45392334619292,0.6736171644982419
crude_protein_priority,9,TSs317_x_TSs358,TSs317,TSs358,-0.2657187874499147,17.365674928570154,0.6203535734182745
crude_protein_priority,10,TSs157A_x_TSs155,TSs157A,TSs155,-0.2793691293273879,15.738947142917027,0.6108197931349981
