cross_id,parent_A,parent_B,G_ij,scenario,U_aggregate,U_aggregate_z
TSs24_x_TSs358,TSs24,TSs358,-0.3029267951595861,balanced,10.68100677026689,0.5956454536096477
TSs24_x_TSs358,TSs24,TSs358,-0.3029267951595861,soluble_oxalate_priority,10.68100677026689,0.5599491295564348
TSs24_x_TSs358,TSs24,TSs358,-0.3029267951595861,crude_protein_priority,10.68100677026689,0.5811766699130028
TSs151B_x_TSs24,TSs151B,TSs24,-0.3027557115967696,balanced,-354.26305849938666,-1.553497926568932
TSs151B_x_TSs24,TSs151B,TSs24,-0.3027557115967696,soluble_oxalate_priority,-354.26305849938666,-1.5607572338475426
TSs151B_x_TSs24,TSs151B,TSs24,-0.3027557115967696,crude_protein_priority,-354.26305849938666,-1.5576547711259194
TSs361_x_TSs24,TSs361,TSs24,-0.3017593158770609,balanced,-31.39892441400347,0.3478381479168624
TSs361_x_TSs24,TSs361,TSs24,-0.3017593158770609,soluble_oxalate_priority,-31.39892441400347,0.31542075842606526
TSs361_x_TSs24,TSs361,TSs24,-0.3017593158770609,crude_protein_priority,-31.39892441400347,0.3345583839376708
TSs361_x_TSs303,TSs361,TSs303,-0.301731141234448,balanced,-51.48667860898306,0.22954203610340979
TSs361_x_TSs303,TSs361,TSs303,-0.301731141234448,soluble_oxalate_priority,-51.48667860898306,0.1986899160809205
TSs361_x_TSs303,TSs361,TSs303,-0.301731141234448,crude_protein_priority,-51.48667860898306,0.21682987608993268
TSs303_x_TSs358,TSs303,TSs358,-0.2976693871170167,balanced,-9.711685995367077,0.47555356876451493
TSs303_x_TSs358,TSs303,TSs358,-0.2976693871170167,soluble_oxalate_priority,-9.711685995367077,0.441446275473666
TSs303_x_TSs358,TSs303,TSs358,-0.2976693871170167,crude_protein_priority,-9.711685995367077,0.46166100544437505
TSs151B_x_TSs303,TSs151B,TSs303,-0.2964858016068634,balanced,-446.1854699715861,-2.0948259296960905
TSs151B_x_TSs303,TSs151B,TSs303,-0.2964858016068634,soluble_oxalate_priority,-446.1854699715861,-2.094922497788724
TSs151B_x_TSs303,TSs151B,TSs303,-0.2964858016068634,crude_protein_priority,-446.1854699715861,-2.096385394536897
TSs155_x_TSs317,TSs155,TSs317,-0.2793986116190173,balanced,-35.27234928456685,0.3250276785561963
TSs155_x_TSs317,TSs155,TSs317,-0.2793986116190173,soluble_oxalate_priority,-35.27234928456685,0.2929121124364355
TSs155_x_TSs317,TSs155,TSs317,-0.2793986116190173,crude_protein_priority,-35.27234928456685,0.31185736291533506
TSs157A_x_TSs155,TSs157A,TSs155,-0.2793691293273879,balanced,15.738947142917027,0.6254314950984635
TSs157A_x_TSs155,TSs157A,TSs155,-0.2793691293273879,soluble_oxalate_priority,15.738947142917027,0.5893410483593104
TSs157A_x_TSs155,TSs157A,TSs155,-0.2793691293273879,crude_protein_priority,15.738947142917027,0.6108197931349981
TSs151B_x_TSs56,TSs151B,TSs56,-0.2752544584403438,balanced,-402.9174427715762,-1.840021966350148
TSs151B_x_TSs56,TSs151B,TSs56,-0.2752544584403438,soluble_oxalate_priority,-402.9174427715762,-1.8434900473193683
TSs151B_x_TSs56,TSs151B,TSs56,-0.2752544584403438,crude_protein_priority,-402.9174427715762,-1.8428040220086734
