scenario,lambda,sample,contribution
balanced,0.01,TSs10,6.342278223525621e-16
balanced,0.01,TSs104,0.0
balanced,0.01,TSs10A,2.5010936091565297e-15
balanced,0.01,TSs11,0.0
balanced,0.01,TSs111,0.0
balanced,0.01,TSs116,0.0
balanced,0.01,TSs119A,7.417307031404144e-16
balanced,0.01,TSs120,0.0
balanced,0.01,TSs131,0.0
balanced,0.01,TSs132,0.0
balanced,0.01,TSs133,0.0
balanced,0.01,TSs136,0.0
balanced,0.01,TSs138B,0.0
balanced,0.01,TSs15,0.0
balanced,0.01,TSs151B,0.0
balanced,0.01,TSs155,0.0
balanced,0.01,TSs156A,0.0
balanced,0.01,TSs157A,0.9999999999999138
balanced,0.01,TSs158,0.0
balanced,0.01,TSs161,0.0
balanced,0.01,TSs166,0.0
balanced,0.01,TSs168,0.0
balanced,0.01,TSs195,0.0
balanced,0.01,TSs1A,0.0
balanced,0.01,TSs2,0.0
balanced,0.01,TSs201,0.0
balanced,0.01,TSs209,0.0
balanced,0.01,TSs217,0.0
balanced,0.01,TSs224,0.0
balanced,0.01,TSs22A,1.162897479176966e-14
balanced,0.01,TSs22B,6.726349779353506e-16
balanced,0.01,TSs23,0.0
balanced,0.01,TSs24,0.0
balanced,0.01,TSs266,0.0
balanced,0.01,TSs269,0.0
balanced,0.01,TSs27,0.0
balanced,0.01,TSs274,0.0
balanced,0.01,TSs277,0.0
balanced,0.01,TSs282,2.0539125955563626e-14
balanced,0.01,TSs287,1.2546894543734576e-16
balanced,0.01,TSs291,0.0
balanced,0.01,TSs293,6.585373215581727e-17
balanced,0.01,TSs294,0.0
balanced,0.01,TSs296,3.726321758094234e-16
balanced,0.01,TSs297,2.7782150323190824e-15
balanced,0.01,TSs3,0.0
balanced,0.01,TSs30,0.0
balanced,0.01,TSs303,0.0
balanced,0.01,TSs311,0.0
balanced,0.01,TSs314A,0.0
balanced,0.01,TSs314B,0.0
balanced,0.01,TSs317,0.0
balanced,0.01,TSs325,5.379912022929752e-16
balanced,0.01,TSs33,0.0
balanced,0.01,TSs331,2.0084146005343406e-15
balanced,0.01,TSs333,2.0497857267313502e-15
balanced,0.01,TSs334,2.9189959123169912e-15
balanced,0.01,TSs336,0.0
balanced,0.01,TSs338,0.0
balanced,0.01,TSs357,0.0
balanced,0.01,TSs358,0.0
balanced,0.01,TSs361,0.0
balanced,0.01,TSs363,0.0
balanced,0.01,TSs365,0.0
balanced,0.01,TSs368,9.34602722082783e-16
balanced,0.01,TSs371,0.0
balanced,0.01,TSs378,0.0
balanced,0.01,TSs38,9.002944975007327e-15
balanced,0.01,TSs383,0.0
balanced,0.01,TSs3A,0.0
balanced,0.01,TSs4,5.425562735661849e-18
balanced,0.01,TSs417,0.0
balanced,0.01,TSs44C,0.0
balanced,0.01,TSs48,0.0
balanced,0.01,TSs49,8.742035026100814e-15
balanced,0.01,TSs49A,0.0
balanced,0.01,TSs51,1.0263698477777847e-15
balanced,0.01,TSs53,1.2528835279889868e-15
balanced,0.01,TSs56,0.0
balanced,0.01,TSs56A,1.1344662433827617e-15
balanced,0.01,TSs58,9.365275611837405e-16
balanced,0.01,TSs59B,1.9991379154235023e-15
balanced,0.01,TSs5A,0.0
balanced,0.01,TSs60,0.0
balanced,0.01,TSs60B,7.242349421709866e-16
balanced,0.01,TSs61,0.0
balanced,0.01,TSs63A,8.300950409844355e-16
balanced,0.01,TSs68,9.172910941934528e-15
balanced,0.01,TSs7,0.0
balanced,0.01,TSs78,0.0
balanced,0.01,TSs82,6.936801698396688e-16
balanced,0.01,TSs9,1.3033621640256254e-15
balanced,0.01,TSs95,0.0
balanced,0.01,TSs96,8.26267748653357e-16
balanced,0.01,TSs98,0.0
