scenario,lambda_moderate,sample,contribution
balanced,0.7847599703514611,TSs157A,0.3164451236222397
balanced,0.7847599703514611,TSs22A,0.16082030114213122
balanced,0.7847599703514611,TSs282,0.14868157070909832
balanced,0.7847599703514611,TSs38,0.14094508489858182
balanced,0.7847599703514611,TSs49,0.1274140748332054
balanced,0.7847599703514611,TSs68,0.0538730917620018
balanced,0.7847599703514611,TSs334,0.0518207530326546
balanced,0.7847599703514611,TSs297,5.906442254042885e-15
balanced,0.7847599703514611,TSs333,4.138162950731633e-15
balanced,0.7847599703514611,TSs59B,4.014754640016154e-15
balanced,0.7847599703514611,TSs325,3.749882382814925e-15
balanced,0.7847599703514611,TSs331,3.6560153323422154e-15
balanced,0.7847599703514611,TSs82,3.599655539516715e-15
balanced,0.7847599703514611,TSs7,3.211077480898488e-15
balanced,0.7847599703514611,TSs368,3.176345759246389e-15
soluble_oxalate_priority,0.7847599703514611,TSs157A,0.31077095797730575
soluble_oxalate_priority,0.7847599703514611,TSs22A,0.1505591461991971
soluble_oxalate_priority,0.7847599703514611,TSs282,0.15008881019983863
soluble_oxalate_priority,0.7847599703514611,TSs38,0.12761025871875162
soluble_oxalate_priority,0.7847599703514611,TSs49,0.11703398938668197
soluble_oxalate_priority,0.7847599703514611,TSs325,0.08964660842260726
soluble_oxalate_priority,0.7847599703514611,TSs68,0.04695719235381142
soluble_oxalate_priority,0.7847599703514611,TSs334,0.007333036741723705
soluble_oxalate_priority,0.7847599703514611,TSs151B,1.2689767289226105e-14
soluble_oxalate_priority,0.7847599703514611,TSs156A,9.450627319077654e-15
soluble_oxalate_priority,0.7847599703514611,TSs111,5.524280173001518e-15
soluble_oxalate_priority,0.7847599703514611,TSs303,4.200969240510697e-15
soluble_oxalate_priority,0.7847599703514611,TSs24,3.870429347014225e-15
soluble_oxalate_priority,0.7847599703514611,TSs155,3.690762296919962e-15
soluble_oxalate_priority,0.7847599703514611,TSs3A,3.338726420815665e-15
crude_protein_priority,1.2742749857031335,TSs157A,0.7459362897272825
crude_protein_priority,1.2742749857031335,TSs49,0.11333010366218649
crude_protein_priority,1.2742749857031335,TSs22A,0.10492711026305244
crude_protein_priority,1.2742749857031335,TSs38,0.03580649634744701
crude_protein_priority,1.2742749857031335,TSs10,3.902036352222028e-15
crude_protein_priority,1.2742749857031335,TSs297,3.784805375513878e-15
crude_protein_priority,1.2742749857031335,TSs325,2.4275703552298556e-15
crude_protein_priority,1.2742749857031335,TSs282,2.209442812853304e-15
crude_protein_priority,1.2742749857031335,TSs334,1.929601347485623e-15
crude_protein_priority,1.2742749857031335,TSs104,1.5858219232922294e-15
crude_protein_priority,1.2742749857031335,TSs10A,1.3358549108587004e-15
crude_protein_priority,1.2742749857031335,TSs116,1.2763758803231385e-15
crude_protein_priority,1.2742749857031335,TSs119A,1.1222734115854786e-15
crude_protein_priority,1.2742749857031335,TSs68,1.0038246711058995e-15
crude_protein_priority,1.2742749857031335,TSs166,9.76743795854686e-16
