trait,observed_hits,null_mean,null_sd,null_max,n_top30_chroms,empirical_p,bh_q
Soluble_Oxalate,3,1.253,1.0771031293015312,7,9,0.11688311688311688,0.8883116883116882
Seed_Thickness,2,1.071,1.025187792558032,6,9,0.2897102897102897,0.8883116883116882
Phenol,1,0.376,0.5958011236805273,3,10,0.3206793206793207,0.8883116883116882
Seed_Coat_Tannin,1,0.389,0.6033597956800263,3,9,0.3306693306693307,0.8883116883116882
Seed_Width,2,1.198,1.0620376282994517,6,10,0.34165834165834164,0.8883116883116882
Seed_Length,1,1.091,1.0226264052745582,5,9,0.6673326673326674,1.0
Total_Oxalate,1,1.505,1.193062612941332,6,11,0.7842157842157842,1.0
Tannin,0,0.428,0.6334170957727753,3,9,1.0,1.0
Flavonoid,0,0.456,0.6652116253542978,4,9,1.0,1.0
Antioxidant,0,0.357,0.5965793383171318,4,11,1.0,1.0
Mass_of_Seeds,0,1.04,0.9323461102344286,4,9,1.0,1.0
Crude_Protein,0,0.176,0.4161696735674011,2,10,1.0,1.0
Insoluble_Oxalate,0,1.451,1.1861728398534532,7,8,1.0,1.0
