scenario,trait,b
nutritional,Tannin,-6.387856977165602
nutritional,Phenol,-6.775928579101971
nutritional,Flavonoid,-47.31128443638349
nutritional,Antioxidant,16.836452935669772
nutritional,Mass_of_Seeds,3214.22307646105
nutritional,Seed_Coat_Tannin,5.0800985580463704
nutritional,Crude_Protein,-984.584983567002
nutritional,Total_Oxalate,-23700.51840570833
nutritional,Soluble_Oxalate,23732.915326807943
nutritional,Insoluble_Oxalate,23709.52865342819
anti_nutritional,Tannin,14.362077683056935
anti_nutritional,Phenol,22.369298020246767
anti_nutritional,Flavonoid,151.50877251084003
anti_nutritional,Antioxidant,-46.228946604450336
anti_nutritional,Mass_of_Seeds,-11057.216767284055
anti_nutritional,Seed_Coat_Tannin,-17.370429999195448
anti_nutritional,Crude_Protein,2847.149193564719
anti_nutritional,Total_Oxalate,68464.77113017262
anti_nutritional,Soluble_Oxalate,-68564.72197672495
anti_nutritional,Insoluble_Oxalate,-68493.43729697444
balanced,Tannin,3.217668911503383
balanced,Phenol,7.428208332131724
balanced,Flavonoid,52.07199571112002
balanced,Antioxidant,-12.19735853363166
balanced,Mass_of_Seeds,-3522.974635665441
balanced,Seed_Coat_Tannin,-6.58811613636259
balanced,Crude_Protein,864.4632522144922
balanced,Total_Oxalate,20736.414120601785
balanced,Soluble_Oxalate,-20767.787818289547
balanced,Insoluble_Oxalate,-20745.806767458696
