,index_nutritional,index_anti_nutritional,index_balanced,rank_nutritional,rank_anti_nutritional,rank_balanced
TSs10,-55.6821956837739,226.09123512684891,92.22504804435448,59,36,30
TSs104,-6.537279117375224,-9.082935759647782,-9.452671844350832,52,45,49
TSs10A,-255.15361990825585,798.9771638945228,270.9415257471618,89,8,8
TSs11,215.96174617950868,-626.6962312430538,-196.7962729000357,16,84,86
TSs111,293.64681778166454,-966.6913799109051,-339.87486126474823,6,90,91
TSs116,31.97016790455382,-142.36515756419976,-56.02970292369719,45,56,56
TSs119A,-122.36208423395874,361.4926213438157,103.00160808811779,72,22,24
TSs120,-28.753015596925824,59.324270415307865,6.864922279237911,55,41,43
TSs131,-196.37122314979524,521.1855996956722,148.50460852209858,82,16,18
TSs132,-112.5278268907212,326.30751875459583,96.2725059221254,71,28,28
TSs133,41.13815924412292,-133.1839874475359,-57.38303633695094,39,55,57
TSs136,-213.37184498083172,616.0696643080205,185.10663104691588,85,11,13
TSs138B,-191.74743678898085,532.2112336697755,134.92327695255517,81,15,20
TSs15,93.42502845118227,-291.0684956195687,-88.22006720546528,31,63,66
TSs151B,121.41875812453874,-414.8806257128409,-159.6078092120878,29,69,77
TSs155,145.32131076865778,-504.28730189496747,-188.91476420352845,25,78,83
TSs156A,435.340204985986,-1400.9220264721168,-495.6049148517626,4,93,94
TSs157A,-1427.6636852175861,4124.188325095309,1246.9142048294786,95,1,1
TSs158,-76.13346465394281,156.39546532437987,25.26781830469664,62,39,40
TSs161,-150.7161303108891,353.7352252237759,83.33696311036448,76,25,32
TSs166,-130.07420170877595,232.99298076634295,42.82562364800833,74,35,37
TSs168,271.4534939001145,-790.0195134772297,-253.98728963008801,8,88,88
TSs195,-133.37069522813545,323.654410253861,68.67938926450734,75,29,35
TSs1A,70.67541025709943,-120.68790158553747,-3.315689978058799,34,54,47
TSs2,240.5844882550591,-604.66498623183,-137.78612528310623,11,81,72
TSs201,233.76384235320822,-634.1791999110301,-177.88926749854596,12,85,81
TSs209,50.10603813678662,-98.89402468823312,-20.069349849004396,37,52,51
TSs217,518.0032373358695,-1546.8258716807773,-477.4337658441185,2,94,93
TSs224,54.061283967065926,-169.8954195249031,-59.981255445071035,36,57,58
TSs22A,-105.90404006353698,450.59806016806846,193.60433865123295,68,18,12
TSs22B,-110.95222097998246,414.0669377403292,166.35496408110606,70,20,16
TSs23,-5.667287320139742,-19.311391979853,-18.40496260122643,51,46,50
TSs24,67.38811966412385,-342.46711615710166,-156.50609256692132,35,68,76
TSs266,-171.57310029418477,461.97394033498006,131.8784596304592,79,17,21
TSs269,-79.43952099147282,242.57029244481237,76.02767523783405,63,32,33
TSs27,-33.12038403749562,54.36302509303251,5.42903892820696,56,42,45
TSs274,-157.52643596070993,350.3632676592679,71.9023084895307,78,26,34
TSs277,13.885685993613222,-74.73763676735561,-40.223729785381124,50,50,54
TSs282,-244.447120369905,821.2577770950872,302.95064871285587,88,7,7
TSs287,33.130210585237364,-108.01982366136508,-29.485325979359914,44,53,52
TSs291,167.57081744127578,-527.6957653318781,-174.57231899495633,20,79,80
TSs293,-200.33540342708147,562.2190651250276,173.4727711279811,84,13,15
TSs294,165.6705644628455,-502.1030924748047,-160.63475238408864,21,77,78
TSs296,-102.39626946373207,359.686415876367,135.5177559148499,67,23,19
TSs297,218.68215725483606,-490.36958571185824,-86.42912696441635,15,76,65
TSs3,250.9715379755071,-713.7466956172138,-190.24644306505797,10,86,84
TSs30,-24.925249530708243,21.415134829636372,7.923085826379975,53,43,42
TSs303,-92.92667141379047,165.16599782365284,11.867431391899146,65,38,41
TSs311,132.865911100046,-432.68972367701747,-149.29711927226953,27,70,74
TSs314A,189.74881681617262,-607.4178160299198,-194.4860729372449,18,82,85
TSs314B,-243.04949341687487,730.1667560861681,232.5789431774112,87,10,10
TSs317,-413.0480683128334,1179.9239821388715,357.3233424084756,91,5,3
TSs325,-97.45517207481316,303.3797095133923,99.25972243674914,66,30,27
TSs33,29.41482626741447,-40.972478886989734,0.9489039760981086,46,48,46
TSs331,-126.63088847466861,355.78599061004934,113.08108758124581,73,24,23
TSs333,-64.93999211612191,251.14413403863603,99.30859675495883,61,31,26
TSs334,-61.111061922049565,233.81457624361425,85.26569038169501,60,34,31
TSs336,27.889242447487465,-95.34142182482591,-35.73269725027149,47,51,53
TSs338,168.14439541038882,-460.5245256947819,-132.04076400146005,19,72,71
TSs357,-151.0726408024493,417.395300396136,95.82731843457441,77,19,29
TSs358,-428.52861854754156,1241.2778672237182,335.8751573712798,93,4,6
TSs361,-442.6257226957241,1282.0683792488417,348.5670925376471,94,2,5
TSs363,146.2994309404312,-477.13735297851963,-184.2722257168498,24,74,82
TSs365,-419.03878014179645,1268.1472243415192,375.00754142412916,92,3,2
TSs368,18.248412609559566,12.723947192535405,27.99413753377565,49,44,39
TSs371,38.60680056747515,-192.26846505966387,-84.65609500095161,42,60,64
TSs378,39.61980668155593,-184.2299660675926,-79.86508815945126,41,58,62
TSs38,-89.84793289692347,367.24498777212176,158.8476606437239,64,21,17
TSs383,354.17068567055685,-1061.8805297741346,-338.39569574881534,5,91,90
TSs3A,44.2621448616992,-189.33095636114012,-75.79109573044116,38,59,61
TSs4,41.12053867874653,-58.60470752473151,-3.517737742335136,40,49,48
TSs417,442.30367226098315,-1296.4176221850794,-407.63785138356616,3,92,92
TSs44C,111.762535344551,-324.60838265443454,-109.36771116206,30,66,69
TSs48,-27.41176860492397,108.14596460664146,34.3789655651572,54,40,38
TSs49,-308.26558716564176,1014.5722246300796,353.4708291334416,90,6,4
TSs49A,211.0234501498344,-488.69151553476695,-108.20131958959973,17,75,68
TSs51,-175.34036685787845,541.7923021170284,180.60249563885264,80,14,14
TSs53,-197.74435388215966,614.6575406914926,216.46892423325534,83,12,11
TSs56,164.16872392958604,-473.84341335825457,-138.85094721811376,22,73,73
TSs56A,19.772905107390347,-21.391997948558128,6.361713604150435,48,47,44
TSs58,149.62670209359203,-432.8626117335225,-127.26223288992696,23,71,70
TSs59B,-232.06831655607817,753.352343044455,263.6502672057155,86,9,9
TSs5A,-108.20161097575328,333.6204478703439,99.70866568220663,69,27,25
TSs60,265.77356891543604,-760.6936810145853,-209.50416200060863,9,87,87
TSs60B,143.83807361646905,-330.5946300739015,-66.26179778450023,26,67,60
TSs61,288.7658892421896,-891.8317497269891,-293.71037402648653,7,89,89
TSs63A,233.25727258687897,-622.9513090873592,-173.66193081882463,13,83,79
TSs68,-35.71430401657209,238.10294724744926,125.62274221406264,57,33,22
TSs7,129.56234598977542,-298.28566624345524,-62.062806368309495,28,64,59
TSs78,570.4010555299174,-1713.9381246620615,-536.326419959667,1,95,95
TSs82,90.28619177415905,-214.15938829620129,-42.41719485062623,32,62,55
TSs9,222.33683426789503,-590.2926832497178,-151.09003542532446,14,80,75
TSs95,72.11082217168587,-309.1215622739983,-106.06467051940854,33,65,67
TSs96,-50.54340572447546,186.89174471764306,67.48598301337191,58,37,36
TSs98,34.58157945374114,-202.29758515936555,-80.65628968386591,43,61,63
