sample,in_scenario,scenarios_in_top10,is_robust_elite,index,rank
TSs60,nutritional,1,False,265.77356891543604,9
TSs78,nutritional,1,False,570.4010555299174,1
TSs3,nutritional,1,False,250.9715379755071,10
TSs156A,nutritional,1,False,435.340204985986,4
TSs383,nutritional,1,False,354.17068567055685,5
TSs217,nutritional,1,False,518.0032373358695,2
TSs417,nutritional,1,False,442.30367226098315,3
TSs168,nutritional,1,False,271.4534939001145,8
TSs111,nutritional,1,False,293.64681778166454,6
TSs61,nutritional,1,False,288.7658892421896,7
TSs282,anti_nutritional,2,False,821.2577770950872,7
TSs49,anti_nutritional,2,False,1014.5722246300796,6
TSs361,anti_nutritional,2,False,1282.0683792488417,2
TSs59B,anti_nutritional,2,False,753.352343044455,9
TSs317,anti_nutritional,2,False,1179.9239821388715,5
TSs10A,anti_nutritional,2,False,798.9771638945228,8
TSs358,anti_nutritional,2,False,1241.2778672237182,4
TSs157A,anti_nutritional,2,False,4124.188325095309,1
TSs314B,anti_nutritional,2,False,730.1667560861681,10
TSs365,anti_nutritional,2,False,1268.1472243415192,3
TSs282,balanced,2,False,302.95064871285587,7
TSs49,balanced,2,False,353.4708291334416,4
TSs361,balanced,2,False,348.5670925376471,5
TSs59B,balanced,2,False,263.6502672057155,9
TSs317,balanced,2,False,357.3233424084756,3
TSs10A,balanced,2,False,270.9415257471618,8
TSs358,balanced,2,False,335.8751573712798,6
TSs157A,balanced,2,False,1246.9142048294786,1
TSs314B,balanced,2,False,232.5789431774112,10
TSs365,balanced,2,False,375.00754142412916,2
