chr,start,end,strand,gene_id,name,product,note,highlight
Ss04,66789547,66794706,-,AYBTSS11_014963,KIN13B_2,Kinesin-like protein KIN-13B,"COG:Z,EggNog:ENOG503GFQI",
Ss04,66795069,66796712,-,AYBTSS11_014964,Spste.TSs11.04G149640.1,hypothetical protein,,
Ss04,66797314,66801123,+,AYBTSS11_014965,Spste.TSs11.04G149650.1,hypothetical protein,"COG:Z,EggNog:ENOG503G8ZZ",
Ss04,66802566,66804532,+,AYBTSS11_014966,Spste.TSs11.04G149660.1,hypothetical protein,EggNog:ENOG503GA42,
Ss04,66804864,66805199,-,AYBTSS11_014967,Spste.TSs11.04G149670.1,hypothetical protein,"COG:S,EggNog:ENOG503GM44",
Ss04,66815014,66815265,+,AYBTSS11_014968,Spste.TSs11.04G149680.1,hypothetical protein,EggNog:ENOG503GM3V,
Ss04,66820435,66823036,+,AYBTSS11_014969,Spste.TSs11.04G149690.1,hypothetical protein,"COG:S,EggNog:ENOG503GIDV",
Ss04,66832253,66832594,+,AYBTSS11_014970,Spste.TSs11.04G149700.1,hypothetical protein,EggNog:ENOG503GKT3,
Ss04,66833733,66837176,-,AYBTSS11_014971,ALDH2C4_3,Aldehyde dehydrogenase 2 member C4,"EggNog:ENOG503GBC3,COG:C",
Ss04,66856902,66861842,+,AYBTSS11_014972,ALDH2C4_4,Aldehyde dehydrogenase 2 member C4,"EggNog:ENOG503GBC3,COG:C",
Ss04,66863661,66868148,+,AYBTSS11_014973,ALDH2C4_5,Aldehyde dehydrogenase 2 member C4,"EggNog:ENOG503GBC3,COG:C",
Ss04,66868760,66869197,-,AYBTSS11_014974,MBF1C,Multiprotein-bridging factor 1c,"BUSCO:EOG09360TJO,EggNog:ENOG503GIVG,COG:K",
Ss04,66869252,66878578,+,AYBTSS11_014975,MSH7,DNA mismatch repair protein msh7,"EggNog:ENOG503G7JE,COG:L",
Ss04,66879621,66884786,+,AYBTSS11_014976,GNL2,Nucleolar GTP-binding protein 2,"BUSCO:EOG093600GM,COG:U,EggNog:ENOG503G9AH",
Ss04,66888617,66889675,-,AYBTSS11_014977,Spste.TSs11.04G149770.1,hypothetical protein,"COG:K,EggNog:ENOG503GHFD",
Ss04,66892875,66894223,+,AYBTSS11_014978,Spste.TSs11.04G149780.1,hypothetical protein,,
Ss04,66905959,66910587,+,AYBTSS11_014979,SULTR3,Probable sulfate transporter 3.5,"COG:P,EggNog:ENOG503GATU",
Ss04,66922530,66925035,+,AYBTSS11_014980,LRX4,Leucine-rich repeat extensin-like protein 4,"COG:S,EggNog:ENOG503GFTU",
Ss04,66925047,66925925,-,AYBTSS11_014981,Spste.TSs11.04G149810.1,hypothetical protein,,
Ss04,66944251,66947696,+,AYBTSS11_014982,Spste.TSs11.04G149820.1,hypothetical protein,"COG:S,EggNog:ENOG503GE5S",
Ss04,66951619,66952817,+,AYBTSS11_014983,Spste.TSs11.04G149830.1,hypothetical protein,"EggNog:ENOG503GJ65,COG:P",
Ss04,66954808,66955284,+,AYBTSS11_014984,Spste.TSs11.04G149840.1,hypothetical protein,"COG:S,BUSCO:EOG09360SCW,EggNog:ENOG503GIY8",
Ss04,66970660,66975659,+,AYBTSS11_014985,Spste.TSs11.04G149850.1,hypothetical protein,"COG:S,EggNog:ENOG503GGQC",
