chr,start,end,strand,gene_id,name,product,note,highlight
Ss10,14741499,14746377,-,AYBTSS11_029673,Spste.TSs11.10G296730.1,hypothetical protein,"COG:J,EggNog:ENOG503GB5M",
Ss10,14754126,14754593,-,AYBTSS11_029674,Spste.TSs11.10G296740.1,hypothetical protein,"COG:S,EggNog:ENOG503GJQ4",
Ss10,14755341,14764918,+,AYBTSS11_029675,Spste.TSs11.10G296750.1,hypothetical protein,,
Ss10,14766259,14767577,+,AYBTSS11_029676,Spste.TSs11.10G296760.1,hypothetical protein,"COG:S,EggNog:ENOG503GIXN",
Ss10,14773598,14774644,-,AYBTSS11_029677,Spste.TSs11.10G296770.1,hypothetical protein,"EggNog:ENOG503GP82,COG:T",
Ss10,14777197,14777985,-,AYBTSS11_029678,Spste.TSs11.10G296780.1,hypothetical protein,EggNog:ENOG503GHWB,
Ss10,14823255,14835705,+,AYBTSS11_029679,Spste.TSs11.10G296790.1,hypothetical protein,"COG:J,EggNog:ENOG503GDRY",
Ss10,14835736,14841355,-,AYBTSS11_029680,Spste.TSs11.10G296800.1,hypothetical protein,,
Ss10,14842165,14843294,-,AYBTSS11_029681,Spste.TSs11.10G296810.1,hypothetical protein,"EggNog:ENOG503GFRJ,COG:K",
Ss10,14850090,14858412,+,AYBTSS11_029682,Spste.TSs11.10G296820.1,hypothetical protein,"EggNog:ENOG503GGI7,BUSCO:EOG093605TN,COG:T",
Ss10,14859727,14861624,-,AYBTSS11_029683,ENDO2,Endonuclease 2,"COG:S,EggNog:ENOG503GBCD",
Ss10,14866728,14867528,+,AYBTSS11_029684,Spste.TSs11.10G296840.1,hypothetical protein,EggNog:ENOG503GHPG,
Ss10,14884605,14885198,-,AYBTSS11_029685,Spste.TSs11.10G296850.1,hypothetical protein,"EggNog:ENOG503GHXC,COG:S",
Ss10,14894437,14899362,+,AYBTSS11_029686,Spste.TSs11.10G296860.1,hypothetical protein,,
Ss10,14900128,14901099,-,AYBTSS11_029687,Spste.TSs11.10G296870.1,hypothetical protein,"COG:J,EggNog:ENOG503GEHA",
Ss10,14906342,14906662,+,AYBTSS11_029688,Spste.TSs11.10G296880.1,hypothetical protein,,
Ss10,14926675,14928115,+,AYBTSS11_029689,Spste.TSs11.10G296890.1,hypothetical protein,"COG:I,EggNog:ENOG503GD03,MEROPS:MER0044580",
Ss10,14928144,14938461,+,AYBTSS11_029690,Spste.TSs11.10G296900.1,hypothetical protein,"COG:I,EggNog:ENOG503GD03,MEROPS:MER0044580",
Ss10,14940109,14943573,+,AYBTSS11_029691,Spste.TSs11.10G296910.1,hypothetical protein,"COG:Z,EggNog:ENOG503GFF8",
Ss10,14948149,14951538,+,AYBTSS11_029692,Spste.TSs11.10G296920.1,hypothetical protein,,
Ss10,14961504,14963371,-,AYBTSS11_029693,Spste.TSs11.10G296930.1,hypothetical protein,"COG:S,EggNog:ENOG503GH7U",
Ss10,14972294,14975205,+,AYBTSS11_029694,RPL15_1,60S ribosomal protein L15,"COG:J,EggNog:ENOG503GH06",
Ss10,14977230,14981302,+,AYBTSS11_029695,Spste.TSs11.10G296950.1,hypothetical protein,,
Ss10,14987730,14988123,+,AYBTSS11_029696,Spste.TSs11.10G296960.1,hypothetical protein,"COG:I,EggNog:ENOG503GD03,MEROPS:MER0044580",
Ss10,14989183,14993236,+,AYBTSS11_029697,Spste.TSs11.10G296970.1,hypothetical protein,"COG:Z,EggNog:ENOG503GFF8",
Ss10,14997812,15001203,+,AYBTSS11_029698,Spste.TSs11.10G296980.1,hypothetical protein,,
Ss10,15008471,15021325,-,AYBTSS11_029699,Spste.TSs11.10G296990.1,hypothetical protein,"COG:S,EggNog:ENOG503GH7U",
Ss10,15021954,15024864,+,AYBTSS11_029700,RPL15_2,60S ribosomal protein L15,"COG:J,EggNog:ENOG503GH06",
Ss10,15058553,15060043,+,AYBTSS11_029701,CUT1_2,separase/separin,"COG:I,EggNog:ENOG503G8QQ",
Ss10,15087958,15089833,+,AYBTSS11_029702,Spste.TSs11.10G297020.1,hypothetical protein,"COG:K,EggNog:ENOG503G8M4",
Ss10,15090920,15092776,-,AYBTSS11_029703,Spste.TSs11.10G297030.1,hypothetical protein,"COG:S,EggNog:ENOG503GDS8",
Ss10,15099306,15099599,-,AYBTSS11_029704,Spste.TSs11.10G297040.1,hypothetical protein,"EggNog:ENOG503GKS5,COG:S",
Ss10,15105302,15106056,+,AYBTSS11_029705,Spste.TSs11.10G297050.1,hypothetical protein,EggNog:ENOG503GIGF,
Ss10,15114561,15115007,+,AYBTSS11_029706,Spste.TSs11.10G297060.1,hypothetical protein,EggNog:ENOG503GKXB,
Ss10,15115463,15120227,-,AYBTSS11_029707,Spste.TSs11.10G297070.1,hypothetical protein,,
Ss10,15124830,15124901,+,AYBTSS11_029708,Spste.TSs11.10G297080.1,,,
Ss10,15126475,15126768,+,AYBTSS11_029709,Spste.TSs11.10G297090.1,hypothetical protein,"EggNog:ENOG503GKS5,COG:S",
Ss10,15133302,15134095,+,AYBTSS11_029710,LBD40,LOB domain-containing protein 40,"COG:S,EggNog:ENOG503GDS8",
Ss10,15135715,15139726,-,AYBTSS11_029711,Spste.TSs11.10G297110.1,hypothetical protein,"COG:K,EggNog:ENOG503G8M4",
Ss10,15182938,15184428,-,AYBTSS11_029712,CUT1_3,separase/separin,"COG:I,EggNog:ENOG503G8QQ",
Ss10,15228960,15233524,-,AYBTSS11_029713,Spste.TSs11.10G297130.1,hypothetical protein,"COG:K,EggNog:ENOG503G8VJ",
Ss10,15233681,15237744,-,AYBTSS11_029714,Spste.TSs11.10G297140.1,hypothetical protein,,
Ss10,15252556,15256716,-,AYBTSS11_029715,XYL1_3,NAD(P)H-dependent D-xylose reductase (XR),"CAZy:GH31,COG:G,EggNog:ENOG503GDDI",
Ss10,15256792,15262618,-,AYBTSS11_029716,Spste.TSs11.10G297160.1,hypothetical protein,,
Ss10,15262725,15263024,+,AYBTSS11_029717,Spste.TSs11.10G297170.1,hypothetical protein,EggNog:ENOG503GM9E,
Ss10,15289482,15290018,+,AYBTSS11_029718,Spste.TSs11.10G297180.1,hypothetical protein,"EggNog:ENOG503GJHK,COG:A",
Ss10,15320599,15324546,+,AYBTSS11_029719,RAD23C,Ubiquitin receptor RAD23c,"EggNog:ENOG503G7GW,COG:L",
Ss10,15347010,15350101,-,AYBTSS11_029720,Spste.TSs11.10G297200.1,hypothetical protein,,
Ss10,15355514,15358217,+,AYBTSS11_029721,Spste.TSs11.10G297210.1,hypothetical protein,"COG:S,EggNog:ENOG503GBK1",
Ss10,15360110,15363797,-,AYBTSS11_029722,LTA2,Lta2p,"EggNog:ENOG503GB9V,COG:C",
Ss10,15373207,15374352,+,AYBTSS11_029723,Spste.TSs11.10G297230.1,hypothetical protein,EggNog:ENOG503GKY1,
Ss10,15375793,15379391,-,AYBTSS11_029724,Spste.TSs11.10G297240.1,hypothetical protein,,
Ss10,15393643,15395414,+,AYBTSS11_029725,Spste.TSs11.10G297250.1,hypothetical protein,"COG:Q,EggNog:ENOG503G8WG",
Ss10,15397847,15400688,+,AYBTSS11_029726,ALMT4_2,Aluminum-activated malate transporter 4,"COG:S,EggNog:ENOG503GCE3",ALMT
Ss10,15403266,15409075,+,AYBTSS11_029727,Spste.TSs11.10G297270.1,hypothetical protein,"EggNog:ENOG503GAGK,COG:T",
Ss10,15412639,15413688,-,AYBTSS11_029728,Spste.TSs11.10G297280.1,hypothetical protein,"MEROPS:MER0036039,EggNog:ENOG503G9YR,CAZy:CE10,COG:V",
Ss10,15419141,15419628,+,AYBTSS11_029729,Spste.TSs11.10G297290.1,hypothetical protein,EggNog:ENOG503GMJK,
Ss10,15420245,15423594,-,AYBTSS11_029730,Spste.TSs11.10G297300.1,hypothetical protein,"EggNog:ENOG503GDIC,COG:K",
Ss10,15428680,15432525,-,AYBTSS11_029731,Spste.TSs11.10G297310.1,hypothetical protein,"COG:I,EggNog:ENOG503G83V,BUSCO:EOG093608IL",
Ss10,15457773,15461204,+,AYBTSS11_029732,Spste.TSs11.10G297320.1,hypothetical protein,"COG:S,EggNog:ENOG503GC4P",
Ss10,15463991,15468147,+,AYBTSS11_029733,SPD1,ribonucleotide reductase (RNR) inhibitor,"EggNog:ENOG503G9UP,COG:O",
Ss10,15470233,15474891,+,AYBTSS11_029734,Spste.TSs11.10G297340.1,hypothetical protein,"EggNog:ENOG503GGB2,COG:A",
Ss10,15488763,15490562,+,AYBTSS11_029735,Spste.TSs11.10G297350.1,hypothetical protein,"EggNog:ENOG503GBDF,COG:S",
Ss10,15501496,15503304,+,AYBTSS11_029736,Spste.TSs11.10G297360.1,hypothetical protein,"EggNog:ENOG503GBDF,COG:S",
Ss10,15507180,15508970,+,AYBTSS11_029737,Spste.TSs11.10G297370.1,hypothetical protein,"EggNog:ENOG503GBDF,COG:S",
Ss10,15530826,15538774,+,AYBTSS11_029738,Spste.TSs11.10G297380.1,hypothetical protein,"COG:K,EggNog:ENOG503GC3V",
Ss10,15540808,15543701,+,AYBTSS11_029739,Spste.TSs11.10G297390.1,hypothetical protein,"COG:T,EggNog:ENOG503GF6B",
Ss10,15549203,15553958,-,AYBTSS11_029740,Spste.TSs11.10G297400.1,hypothetical protein,"COG:G,CAZy:PL1,EggNog:ENOG503G8YM",
Ss10,15579630,15580358,-,AYBTSS11_029741,Spste.TSs11.10G297410.1,hypothetical protein,"COG:S,EggNog:ENOG503GDTH",
Ss10,15608466,15613680,-,AYBTSS11_029742,Spste.TSs11.10G297420.1,hypothetical protein,EggNog:ENOG503GKV5,
Ss10,15613702,15620910,+,AYBTSS11_029743,Spste.TSs11.10G297430.1,hypothetical protein,EggNog:ENOG503G99U,
Ss10,15622889,15624748,-,AYBTSS11_029744,Spste.TSs11.10G297440.1,hypothetical protein,"COG:S,EggNog:ENOG503GDF5",
Ss10,15633909,15637909,-,AYBTSS11_029745,CAT7,"Cationic amino acid transporter 7, chloroplastic","EggNog:ENOG503GEF2,COG:E",
Ss10,15661289,15662812,+,AYBTSS11_029746,Spste.TSs11.10G297460.1,hypothetical protein,"EggNog:ENOG503GHP6,COG:K",
Ss10,15665042,15666593,-,AYBTSS11_029747,Spste.TSs11.10G297470.1,hypothetical protein,"EggNog:ENOG503GKTC,COG:S",
Ss10,15673685,15680732,+,AYBTSS11_029748,Spste.TSs11.10G297480.1,hypothetical protein,"EggNog:ENOG503GARN,COG:I",
Ss10,15681102,15690211,-,AYBTSS11_029749,Spste.TSs11.10G297490.1,hypothetical protein,"EggNog:ENOG503GFBK,COG:U",
Ss10,15690623,15692270,+,AYBTSS11_029750,Spste.TSs11.10G297500.1,hypothetical protein,"COG:S,EggNog:ENOG503G8A3",
Ss10,15694670,15696385,-,AYBTSS11_029751,Spste.TSs11.10G297510.1,hypothetical protein,"EggNog:ENOG503GI7K,COG:K",
Ss10,15702184,15708050,+,AYBTSS11_029752,Spste.TSs11.10G297520.1,hypothetical protein,"EggNog:ENOG503GAVX,COG:L",
Ss10,15709147,15710652,-,AYBTSS11_029753,Spste.TSs11.10G297530.1,hypothetical protein,EggNog:ENOG503GVK0,
Ss10,15714101,15715285,-,AYBTSS11_029754,Spste.TSs11.10G297540.1,hypothetical protein,"COG:S,EggNog:ENOG503GJBZ",
Ss10,15719911,15723847,-,AYBTSS11_029755,FDX3_1,"Ferredoxin-3, chloroplastic","EggNog:ENOG503GIWE,COG:C",
Ss10,15724024,15725914,-,AYBTSS11_029756,Spste.TSs11.10G297560.1,hypothetical protein,"EggNog:ENOG503G7BG,COG:V",
