gene_id,name,start,end,strand,product,note,highlight
AYBTSS11_012223,Spste.TSs11.04G122230.1,10010,11521,+,hypothetical protein,"EggNog:ENOG503GD5V,COG:Q",
AYBTSS11_012224,Spste.TSs11.04G122240.1,13390,15111,+,hypothetical protein,"EggNog:ENOG503GD5V,COG:Q",
AYBTSS11_012225,Spste.TSs11.04G122250.1,29518,31140,-,hypothetical protein,"EggNog:ENOG503GD5V,COG:Q",
AYBTSS11_012226,Spste.TSs11.04G122260.1,35340,36836,-,hypothetical protein,"EggNog:ENOG503GD5V,COG:Q",
AYBTSS11_012227,Spste.TSs11.04G122270.1,40005,40567,-,hypothetical protein,"EggNog:ENOG503GD5V,COG:Q",
AYBTSS11_012228,Spste.TSs11.04G122280.1,42505,46052,+,hypothetical protein,,
AYBTSS11_012229,Spste.TSs11.04G122290.1,59426,60926,+,hypothetical protein,"COG:S,EggNog:ENOG503GATJ",
AYBTSS11_012230,Spste.TSs11.04G122300.1,61848,66115,-,hypothetical protein,"COG:S,EggNog:ENOG503GXMD",
AYBTSS11_012231,Spste.TSs11.04G122310.1,67257,70473,-,hypothetical protein,"EggNog:ENOG503GEY3,COG:T",
AYBTSS11_012232,Spste.TSs11.04G122320.1,77968,82308,-,hypothetical protein,"EggNog:ENOG503GB4Z,COG:A",
AYBTSS11_012233,Spste.TSs11.04G122330.1,104327,113931,-,hypothetical protein,"COG:U,COG:Y,EggNog:ENOG503G9GS",
AYBTSS11_012234,Spste.TSs11.04G122340.1,119168,138233,-,hypothetical protein,"COG:U,COG:Y,EggNog:ENOG503G9GS",
AYBTSS11_012235,Spste.TSs11.04G122350.1,149547,154488,+,hypothetical protein,"EggNog:ENOG503GB1F,COG:J",
AYBTSS11_012236,Spste.TSs11.04G122360.1,156486,157049,-,hypothetical protein,,
AYBTSS11_012237,Spste.TSs11.04G122370.1,157137,161650,+,hypothetical protein,"EggNog:ENOG503GB1F,COG:J",
AYBTSS11_012238,Spste.TSs11.04G122380.1,161807,163446,+,hypothetical protein,"EggNog:ENOG503GB1F,COG:J",
AYBTSS11_012239,Spste.TSs11.04G122390.1,178444,179794,-,hypothetical protein,EggNog:ENOG503GIKX,
AYBTSS11_012240,Spste.TSs11.04G122400.1,216865,218982,+,hypothetical protein,"COG:S,EggNog:ENOG503G9F5",
AYBTSS11_012241,BC10,226639,232110,+,Glycosyltransferase bc10,"EggNog:ENOG503GEKT,COG:S",
AYBTSS11_012242,Spste.TSs11.04G122420.1,256492,260306,+,hypothetical protein,"COG:S,EggNog:ENOG503G7A8",
AYBTSS11_012243,Spste.TSs11.04G122430.1,263165,268611,+,hypothetical protein,"COG:S,EggNog:ENOG503G7A8",
AYBTSS11_012244,Spste.TSs11.04G122440.1,286890,291890,+,hypothetical protein,"COG:S,EggNog:ENOG503GHYN",
AYBTSS11_012245,PAF1_1,294681,297009,+,RNA polymerase-associated factor,"EggNog:ENOG503G82H,COG:O,MEROPS:MER0000549",
AYBTSS11_012246,Spste.TSs11.04G122460.1,303755,304318,+,hypothetical protein,"COG:S,EggNog:ENOG503GJM0",
AYBTSS11_012247,Spste.TSs11.04G122470.1,305079,318266,+,hypothetical protein,"EggNog:ENOG503G8P8,COG:S",
AYBTSS11_012248,Spste.TSs11.04G122480.1,320125,321828,+,hypothetical protein,"EggNog:ENOG503GCEW,COG:S",
AYBTSS11_012249,Spste.TSs11.04G122490.1,326071,331198,-,hypothetical protein,"EggNog:ENOG503GFX7,COG:A",
AYBTSS11_012250,Spste.TSs11.04G122500.1,336412,339726,-,hypothetical protein,"COG:S,EggNog:ENOG503GDUU",
AYBTSS11_012251,Spste.TSs11.04G122510.1,341226,342367,-,hypothetical protein,"COG:S,EggNog:ENOG503GN8D",
AYBTSS11_012252,Spste.TSs11.04G122520.1,342623,343979,-,hypothetical protein,"COG:S,EggNog:ENOG503GDUU",
AYBTSS11_012253,Spste.TSs11.04G122530.1,346049,348876,-,hypothetical protein,"BUSCO:EOG093603OJ,COG:O,EggNog:ENOG503GCWY",
AYBTSS11_012254,Spste.TSs11.04G122540.1,350184,353633,-,hypothetical protein,"COG:S,EggNog:ENOG503G7A8",
AYBTSS11_012255,MKK3,361718,365413,+,Mitogen-activated protein kinase kinase 3,"EggNog:ENOG503GGM8,COG:T",
AYBTSS11_012256,Spste.TSs11.04G122560.1,366502,370169,-,hypothetical protein,"COG:S,EggNog:ENOG503GGQY",
AYBTSS11_012257,Spste.TSs11.04G122570.1,371047,374722,+,hypothetical protein,"EggNog:ENOG503GE9S,COG:U",
AYBTSS11_012258,Spste.TSs11.04G122580.1,382462,382770,+,hypothetical protein,"COG:S,EggNog:ENOG503GK5H",
AYBTSS11_012259,Spste.TSs11.04G122590.1,397695,400317,+,hypothetical protein,,
AYBTSS11_012260,Spste.TSs11.04G122600.1,401076,403236,+,hypothetical protein,"COG:S,EggNog:ENOG503GHWI",
AYBTSS11_012261,Spste.TSs11.04G122610.1,405269,410342,+,hypothetical protein,EggNog:ENOG503GJVC,
AYBTSS11_012262,Spste.TSs11.04G122620.1,410709,414523,-,hypothetical protein,"EggNog:ENOG503GF6Y,COG:T",
AYBTSS11_012263,PNP2,440062,448635,-,"Polyribonucleotide nucleotidyltransferase 2, mitochondrial","COG:J,EggNog:ENOG503GEEI",
AYBTSS11_012264,Spste.TSs11.04G122640.1,454716,462784,+,hypothetical protein,"COG:C,EggNog:ENOG503GBTI",
AYBTSS11_012265,Spste.TSs11.04G122650.1,485731,489785,+,hypothetical protein,"EggNog:ENOG503GFJR,COG:E,COG:G",
AYBTSS11_012266,Spste.TSs11.04G122660.1,498957,501027,-,hypothetical protein,"EggNog:ENOG503GC5E,COG:K",
AYBTSS11_012267,Spste.TSs11.04G122670.1,509870,511546,-,hypothetical protein,"COG:C,EggNog:ENOG503GGR5",
AYBTSS11_012268,RH46,514660,519092,-,DEAD-box ATP-dependent RNA helicase 46,"EggNog:ENOG503G7NV,COG:A",
AYBTSS11_012269,DRM2_2,523162,532877,-,DNA (cytosine-5)-methyltransferase,"COG:S,EggNog:ENOG503G815",
AYBTSS11_012270,Spste.TSs11.04G122700.1,559160,561572,+,hypothetical protein,"CAZy:GH28,COG:G,EggNog:ENOG503GC58",
AYBTSS11_012271,Spste.TSs11.04G122710.1,564368,568052,+,hypothetical protein,"EggNog:ENOG503GEW7,COG:U",
AYBTSS11_012272,Spste.TSs11.04G122720.1,571103,579724,-,hypothetical protein,,
AYBTSS11_012273,MYB24_3,580093,583294,+,Myb- protein,"COG:K,EggNog:ENOG503GBY9",MYB
AYBTSS11_012274,Spste.TSs11.04G122740.1,587503,587574,+,,,
AYBTSS11_012275,Spste.TSs11.04G122750.1,589754,593395,+,hypothetical protein,"COG:S,EggNog:ENOG503GXAK",
AYBTSS11_012276,Spste.TSs11.04G122760.1,594126,596599,-,hypothetical protein,"EggNog:ENOG503GC8Q,COG:S",
AYBTSS11_012277,Spste.TSs11.04G122770.1,596737,598103,-,hypothetical protein,,
AYBTSS11_012278,Spste.TSs11.04G122780.1,614331,618448,-,hypothetical protein,"COG:V,EggNog:ENOG503GF6N",
AYBTSS11_012279,Spste.TSs11.04G122790.1,625129,640574,-,hypothetical protein,"EggNog:ENOG503G9QR,COG:T",
AYBTSS11_012280,ALA8,652072,661448,+,Probable phospholipid-transporting ATPase 8,"EggNog:ENOG503GEGU,COG:P",
AYBTSS11_012281,Spste.TSs11.04G122810.1,664760,665116,+,hypothetical protein,"COG:S,EggNog:ENOG50KOG4658",
AYBTSS11_012282,Spste.TSs11.04G122820.1,675381,678944,+,hypothetical protein,"EggNog:ENOG503GAV6,COG:T",
AYBTSS11_012283,Spste.TSs11.04G122830.1,687625,688407,+,hypothetical protein,"COG:S,EggNog:ENOG503GIKN",
AYBTSS11_012284,Spste.TSs11.04G122840.1,711598,715388,+,hypothetical protein,"COG:P,EggNog:ENOG503GAY4",
AYBTSS11_012285,DEGP1,718466,722875,-,"Protease Do-like 1, chloroplastic","MEROPS:MER0001945,EggNog:ENOG503G8QG,BUSCO:EOG09360EEW,COG:O",
AYBTSS11_012286,Spste.TSs11.04G122860.1,725078,729918,-,hypothetical protein,EggNog:ENOG503GBMI,
AYBTSS11_012287,Spste.TSs11.04G122870.1,729965,731111,-,hypothetical protein,EggNog:ENOG503GBMI,
AYBTSS11_012288,Spste.TSs11.04G122880.1,735539,739775,+,hypothetical protein,"COG:C,EggNog:ENOG503G9AT,BUSCO:EOG093604JS",
AYBTSS11_012289,Spste.TSs11.04G122890.1,747911,755312,+,hypothetical protein,"COG:S,EggNog:ENOG503GGYE",
AYBTSS11_012290,KLCR2,756659,759177,-,Protein KINESIN LIGHT CHAIN-RELATED 2,"COG:Z,EggNog:ENOG503GH9Q",
AYBTSS11_012291,Spste.TSs11.04G122910.1,763652,773249,-,hypothetical protein,"EggNog:ENOG50KOG1198,COG:C",
AYBTSS11_012292,Spste.TSs11.04G122920.1,773272,776990,-,hypothetical protein,"COG:C,EggNog:ENOG503GEJQ",
AYBTSS11_012293,Spste.TSs11.04G122930.1,778711,780186,-,hypothetical protein,"COG:S,EggNog:ENOG503GF6Q",
AYBTSS11_012294,Spste.TSs11.04G122940.1,783933,794313,-,hypothetical protein,"EggNog:ENOG503G90C,COG:O",
AYBTSS11_012295,FDH1_1,797848,800228,+,formate dehydrogenase (NAD+),"EggNog:ENOG503GD7U,COG:C",MATE
AYBTSS11_012296,FDH1_2,801714,805223,+,formate dehydrogenase (NAD+),"EggNog:ENOG503GD7U,COG:C",MATE
AYBTSS11_012297,Spste.TSs11.04G122970.1,806814,807275,+,hypothetical protein,"COG:S,EggNog:ENOG503GJG4",
AYBTSS11_012298,Spste.TSs11.04G122980.1,810824,811268,-,hypothetical protein,"COG:S,EggNog:ENOG503GJG4",
AYBTSS11_012299,Spste.TSs11.04G122990.1,825102,825611,-,hypothetical protein,"COG:S,EggNog:ENOG503GDXZ",
AYBTSS11_012300,PSA3,828625,830732,-,Proteasome subunit alpha type-3,"EggNog:ENOG503GCIR,COG:S",
AYBTSS11_012301,Spste.TSs11.04G123010.1,832708,836121,+,hypothetical protein,"COG:S,EggNog:ENOG503GFTY",
